row_id,row_schema,layer,cell_base,cell_id,backend,backend_id,cutoff,convergence_role,seed,seed_position,trajectory_id,round_index,terminal_round,action,probe_id,scenario,initial_state,logical_label,rng_namespace,archive_chunk,archive_row_index,density_index,raw_iq_index,heldout_iq_index,heldout_window_sha256,pre_readout_i,pre_readout_q,pre_measurement_g,pre_measurement_e,pre_measurement_f,pre_reset_g,pre_reset_e,pre_reset_f,integrated_i,integrated_q,integrated_i_mean_error,integrated_q_mean_error,raw_log_evidence,raw_reference_log_evidence,raw_within_window_residual,posterior_g,posterior_e,posterior_f,level_g,level_e,level_f,mean_photon,reset_requested,reset_hidden_success,reset_ack,rao_blackwell_reset_success,leakage_resident,leakage_residence_probability,leakage_age,predictive_mean_i,predictive_mean_q,predictive_cov_ii,predictive_cov_iq,predictive_cov_qq,heldout_reference_log_evidence,heldout_proper_score_per_sample,heldout_llr_ge_per_sample,heldout_llr_gf_per_sample,heldout_llr_ef_per_sample,drift_0,drift_1,drift_2,drift_3,drift_4,logical_survival,logical_block_00_real,logical_block_00_imag,logical_block_01_real,logical_block_01_imag,logical_block_10_real,logical_block_10_imag,logical_block_11_real,logical_block_11_imag,density_trace_error,density_hermiticity_frobenius,density_minimum_eigenvalue,density_quantization_frobenius_error,density_quantization_certified_frobenius_bound,density_quantization_trace_distance_bound,posterior_normalization_error,level_normalization_error,reference_posterior_l1_error,reference_log_evidence_error,conservation_pass,exception_type,exception_message
fault|compound|c36|B|p0000|r000,PHASE9-FRESH-TWIN-ROUND-LEDGER-V1,fault,fault|compound,ab/c36/fault/compound,B,PHASE9-BACKEND-B-DENSE-STRANG-ANALYTIC-KRAUS-V1,36,fresh_cutoff36_40_44_bounded_repair,1801000,0,fault|compound|c36|B|p0000,0,False,X,,compound,,0,BLAKE2B_ADDRESS_PYTHON_RANDOM_BOX_MULLER,repair_c36_fault_compound_B__fd27e8093be68634,0,-1,0,0,4cf69f7cf3052520fe13bdccd9160cb4eb913a07b45deda6c6709eb4b59c2f8c,0.0,0.0,0.9870313581732038,0.012484328630895117,0.0004843131959011889,1.0,5.06066937215632e-30,4.939027275065509e-21,-1.0687481172658122,0.07067736860532675,0.0,0.0,-8.41556196088496,-8.415561960884961,2.0853655956250123,1.0,5.06066937215632e-30,4.939027275065509e-21,1.0,5.06066937215632e-30,4.939027275065509e-21,3.680287489831934,False,False,none,,False,4.939027275065509e-21,0,-0.8283649751109623,0.0005569601752863671,0.06476155172537622,0.0004613663017388887,0.029440193996942466,-20.29732394864378,-2.5371654935804724,0.3077768655965478,-3.8208225770479873,-4.128599442644536,0.004951818110714663,-0.001652387798850145,-0.0012413386362040467,-0.0024008962847809024,0.0014922754428865035,0.8645232143587965,7.460509118189179e-06,0.0,0.0011337674065969182,0.00018328087273366078,0.0011337674065969182,-0.00018328087273366078,0.8645157538496784,0.0,2.220446049250313e-16,0.0,-7.234236086726765e-17,,,,0.0,0.0,3.611118654133858e-35,1.7763568394002505e-15,True,,
fault|compound|c36|B|p0000|r001,PHASE9-FRESH-TWIN-ROUND-LEDGER-V1,fault,fault|compound,ab/c36/fault/compound,B,PHASE9-BACKEND-B-DENSE-STRANG-ANALYTIC-KRAUS-V1,36,fresh_cutoff36_40_44_bounded_repair,1801000,0,fault|compound|c36|B|p0000,1,False,Z,,compound,,0,BLAKE2B_ADDRESS_PYTHON_RANDOM_BOX_MULLER,repair_c36_fault_compound_B__fd27e8093be68634,1,-1,1,1,8cbac80eb7b7fa2aa5bff7d092a52b66bbfa29488a33e1be58ab460af9199be9,-0.0012413386362040467,-0.0024008962847809024,0.9876198896034575,0.011896278862074623,0.00048383153446787403,1.0,3.868165878722019e-23,8.598177930374278e-19,-0.8006548725305078,-0.0015439378497791156,0.0,6.505213034913027e-19,-4.374221823859489,-4.374221823859491,0.6256811716057998,1.0,3.868165878722019e-23,8.598177930374278e-19,1.0,3.868165878722019e-23,8.598177930374278e-19,3.5964374654163724,False,False,none,,False,8.598177930374278e-19,0,-0.8306064077663794,-0.0018444900201428473,0.06310401382304626,0.0004614639201360033,0.029439557616402434,-17.428351459176938,-2.178543932397117,-7.875300726440986,-3.661010770218309,4.214289956222677,0.004899466357182857,0.002228808902579874,-0.0009251931263553159,-0.005167079951658549,0.002112396643596832,0.749667081785906,0.7496542163451353,0.0,-0.00038561438315836636,-0.0003453587467220049,-0.00038561438315836636,0.0003453587467220049,1.2865440770819926e-05,0.0,2.220446049250313e-16,0.0,-9.70671862218984e-19,,,,0.0,0.0,4.04468798208336e-33,1.7763568394002505e-15,True,,
fault|compound|c36|B|p0000|r002,PHASE9-FRESH-TWIN-ROUND-LEDGER-V1,fault,fault|compound,ab/c36/fault/compound,B,PHASE9-BACKEND-B-DENSE-STRANG-ANALYTIC-KRAUS-V1,36,fresh_cutoff36_40_44_bounded_repair,1801000,0,fault|compound|c36|B|p0000,2,False,IDLE,,compound,,0,BLAKE2B_ADDRESS_PYTHON_RANDOM_BOX_MULLER,repair_c36_fault_compound_B__fd27e8093be68634,2,-1,2,2,de6babf747944ca7591cbc7daa8ee938a03914ed70a75239e1313dc6e40132a3,-0.0009251931263553159,-0.005167079951658549,0.9881859084329252,0.011330769908383097,0.0004833216586917626,1.0,1.0448952514297026e-27,8.870406388269958e-24,-0.9777116184041241,-0.1607107509626868,0.0,0.0,-9.28092527756489,-9.28092527756489,2.585282888012947,1.0,1.0448952514297026e-27,8.870406388269958e-24,1.0,1.0448952514297026e-27,8.870406388269958e-24,3.5092649681464447,False,False,none,,False,8.870406388269958e-24,0,-0.831252060872216,-0.004611260044163022,0.0615080928009431,0.0004615122028215549,0.029438883957850288,-13.239248335387991,-1.6549060419234989,-4.7374641436104135,-1.4297421198708857,3.3077220237395277,0.005621528278236017,0.004804567214860823,0.003900277541834091,-0.001754794314441714,0.0025286900298524487,0.7077747042323378,0.7077270726855539,0.0,-0.0011141358710172007,0.0015512493171052424,-0.0011141358710172007,-0.0015512493171052424,4.763154678384611e-05,0.0,0.0,0.0,-4.098858405572227e-17,,,,0.0,0.0,4.4125879706694176e-39,0.0,True,,
fault|compound|c36|B|p0000|r003,PHASE9-FRESH-TWIN-ROUND-LEDGER-V1,fault,fault|compound,ab/c36/fault/compound,B,PHASE9-BACKEND-B-DENSE-STRANG-ANALYTIC-KRAUS-V1,36,fresh_cutoff36_40_44_bounded_repair,1801000,0,fault|compound|c36|B|p0000,3,False,XZ,,compound,,0,BLAKE2B_ADDRESS_PYTHON_RANDOM_BOX_MULLER,repair_c36_fault_compound_B__fd27e8093be68634,3,-1,3,3,d07964aac53c0040bb298fd4f5f532f05eb9994782a70518014d94e88b548d27,0.18390027754183408,-0.14175479431444174,0.988321809581162,0.011194999712630287,0.00048319070620771496,1.0,3.2009806505600433e-21,4.869387782985451e-20,-0.5396622587097701,-0.2688146455224345,0.0,5.551115123125783e-17,-13.14597028016788,-13.14597028016788,4.4314629383714905,1.0,3.2009806505600433e-21,4.869387782985451e-20,1.0,3.2009806505600433e-21,4.869387782985451e-20,3.4978614134920267,False,False,none,,False,4.869387782985451e-20,0,-0.646657510846418,-0.1411991250023029,0.061124654862380605,0.00046151547496528294,0.02943871094057525,-13.25945267640286,-1.6574315845503576,8.811364117659071,4.510257201253297,-4.301106916405774,0.10410032250490361,0.08831984828236994,0.18791055045684052,-0.14232423855072368,0.12401185232749522,0.4050164505556848,0.000537991120326753,0.0,0.0014667594392033343,-0.007470156549724069,0.0014667594392033343,0.007470156549724069,0.404478459435358,0.0,2.220446049250313e-16,0.0,-1.497513476076252e-17,,,,0.0,0.0,1.1134282490988707e-34,0.0,True,,
fault|compound|c36|B|p0000|r004,PHASE9-FRESH-TWIN-ROUND-LEDGER-V1,fault,fault|compound,ab/c36/fault/compound,B,PHASE9-BACKEND-B-DENSE-STRANG-ANALYTIC-KRAUS-V1,36,fresh_cutoff36_40_44_bounded_repair,1801000,0,fault|compound|c36|B|p0000,4,False,RESET,,compound,,0,BLAKE2B_ADDRESS_PYTHON_RANDOM_BOX_MULLER,repair_c36_fault_compound_B__fd27e8093be68634,4,-1,4,4,e3ce7fa89a1db07ff0fd6a3c2c36f981a0350e007bb84e9df2d1b87a4fd3945c,0.18791055045684052,-0.14232423855072368,0.988784805376976,0.010732418748355252,0.00048277587466861874,1.0,2.1344081182900665e-24,6.768200023261247e-18,-0.6588203779944568,-0.05473787412820348,1.1102230246251565e-16,6.938893903907228e-18,-9.69964486326873,-9.699644863268732,3.0392006448759554,1.0,2.1344081182900665e-24,6.768200023261247e-18,1.0,0.0,0.0,3.4207286813601527,True,True,success,1.0,False,0.0,0,-0.6434339781774872,-0.14176904629485476,0.05981746914031934,0.00046155604425676943,0.029438162855808272,-14.610544438230926,-1.8263180547788658,-4.620682846142996,-1.8222357611244497,2.798447085018546,0.10344712413173061,0.08842532336432243,0.1911361845508503,-0.14078843031549088,0.123294357812476,0.3902976667777155,0.38897997345311064,0.0,-0.0016312083929203138,-0.013744092508165173,-0.0016312083929203138,0.013744092508165173,0.0013176933246048413,0.0,0.0,0.0,-6.294631171519598e-17,,,,0.0,0.0,2.3111179169114e-32,1.7763568394002505e-15,True,,
fault|compound|c36|B|p0000|r005,PHASE9-FRESH-TWIN-ROUND-LEDGER-V1,fault,fault|compound,ab/c36/fault/compound,B,PHASE9-BACKEND-B-DENSE-STRANG-ANALYTIC-KRAUS-V1,36,fresh_cutoff36_40_44_bounded_repair,1801000,0,fault|compound|c36|B|p0000,5,False,HOLD,,compound,,0,BLAKE2B_ADDRESS_PYTHON_RANDOM_BOX_MULLER,repair_c36_fault_compound_B__fd27e8093be68634,5,-1,5,5,7fa09c7ee9fea7811afc64d4e0bb91aca27138093cbe21d7ad1f0eba4807fdca,0.1911361845508503,-0.14078843031549088,0.9891890038817293,0.010328623127759397,0.00048237299051131594,1.0,5.3055440836303235e-21,3.033069849603254e-20,-0.5224866177551342,-0.28698606552178996,0.0,5.551115123125783e-17,-8.025175888975097,-8.025175888975095,2.00947022604365,1.0,5.3055440836303235e-21,3.033069849603254e-20,1.0,5.3055440836303235e-21,3.033069849603254e-20,3.3499774732417693,False,False,none,,False,3.033069849603254e-20,0,-0.6408951390900242,-0.14023370137640287,0.05867536199477008,0.00046155185345129774,0.02943763055575535,-8.823481444563528,-1.102935180570441,6.271795010996371,3.0812967955490924,-3.1904982154472785,0.10393290415120754,0.08612775626982068,0.1892685129588722,-0.13645610528798569,0.12049848476139047,0.3717220837894274,0.36918697353452246,0.0,0.0005156337628730703,-0.01994360456560505,0.0005156337628730703,0.01994360456560505,0.0025351102549049337,0.0,2.220446049250313e-16,0.0,-3.237973937623004e-19,,,,0.0,0.0,4.152786442584977e-34,1.7763568394002505e-15,True,,
fault|compound|c36|B|p0000|r006,PHASE9-FRESH-TWIN-ROUND-LEDGER-V1,fault,fault|compound,ab/c36/fault/compound,B,PHASE9-BACKEND-B-DENSE-STRANG-ANALYTIC-KRAUS-V1,36,fresh_cutoff36_40_44_bounded_repair,1801000,0,fault|compound|c36|B|p0000,6,False,X,,compound,,0,BLAKE2B_ADDRESS_PYTHON_RANDOM_BOX_MULLER,repair_c36_fault_compound_B__fd27e8093be68634,6,-1,6,6,234173de1bafe7f75330d3d09e2d93045fa0a87c0a0d34cab2ab37914e0556ac,0.3692685129588722,-0.2764561052879857,0.9891804242424849,0.010337291433441049,0.0004822843240741067,1.0,8.352813606326587e-27,2.3249914758051915e-20,-0.570730963511938,-0.26198549558889633,0.0,5.551115123125783e-17,-5.700470153096063,-5.700470153096063,1.191547300472748,1.0,8.352813606326587e-27,2.3249914758051915e-20,1.0,8.352813606326587e-27,2.3249914758051915e-20,3.3610210925825186,False,False,none,,False,2.3249914758051915e-20,0,-0.462748149928815,-0.2759014783153005,0.05869982225309309,0.00046145888296105945,0.029437513407509174,-15.830981700187486,-1.9788727125234358,-4.240051658260116,-2.9849254019943814,1.2551262562657344,0.2062802685803992,0.1626432496040139,0.3680239868293356,-0.27505938174996913,0.23592522497714946,0.23297896988807837,0.013941095725322256,0.0,0.028872457539398336,0.03280266496811923,0.028872457539398336,-0.03280266496811923,0.2190378741627561,0.0,2.220446049250313e-16,0.0,-4.950463182808936e-17,,,,0.0,0.0,1.8055609012856238e-35,0.0,True,,
fault|compound|c36|B|p0000|r007,PHASE9-FRESH-TWIN-ROUND-LEDGER-V1,fault,fault|compound,ab/c36/fault/compound,B,PHASE9-BACKEND-B-DENSE-STRANG-ANALYTIC-KRAUS-V1,36,fresh_cutoff36_40_44_bounded_repair,1801000,0,fault|compound|c36|B|p0000,7,False,Z,,compound,,0,BLAKE2B_ADDRESS_PYTHON_RANDOM_BOX_MULLER,repair_c36_fault_compound_B__fd27e8093be68634,7,-1,7,7,a39c28bf301c3922b9af515f37d48825115a84c49d2ea5d8079925f2618cdb3a,0.3680239868293356,-0.27505938174996913,0.9893680284459762,0.010149840508149446,0.0004821310458743498,1.0,1.6590521975920583e-30,9.84869539778032e-24,-0.7160706603455069,-0.34857656317754754,1.1102230246251565e-16,0.0,-7.976854237380982,-7.976854237380984,1.8254262678762412,1.0,1.6590521975920583e-30,9.84869539778032e-24,1.0,1.6590521975920583e-30,9.84869539778032e-24,3.3315904330277184,False,False,none,,False,9.84869539778032e-24,0,-0.4643114729178171,-0.27450493104721363,0.05816934276685166,0.0004614889805851328,0.02943731089258704,-25.050319655192865,-3.131289956899108,2.0225412462226906,-6.286946917990587,-8.309488164213278,0.20371454509904238,0.16292249018026708,0.36765874285487354,-0.2749218554478346,0.23134413122175002,0.18954419631072583,0.17475034701422207,0.0,-0.032269345098805705,0.024278230256834572,-0.032269345098805705,-0.024278230256834572,0.014793849296503774,0.0,0.0,0.0,-3.0121792723215466e-17,,,,0.0,0.0,2.2040537645122543e-38,1.7763568394002505e-15,True,,
fault|compound|c36|B|p0000|r008,PHASE9-FRESH-TWIN-ROUND-LEDGER-V1,fault,fault|compound,ab/c36/fault/compound,B,PHASE9-BACKEND-B-DENSE-STRANG-ANALYTIC-KRAUS-V1,36,fresh_cutoff36_40_44_bounded_repair,1801000,0,fault|compound|c36|B|p0000,8,False,IDLE,,compound,,0,BLAKE2B_ADDRESS_PYTHON_RANDOM_BOX_MULLER,repair_c36_fault_compound_B__fd27e8093be68634,8,-1,8,8,20df07c4091983e2c3c60d80be0a76a413da81fda2928cdf6281bf5884dad045,0.36765874285487354,-0.2749218554478346,0.9896661803329934,0.009851981359121804,0.00048183830788485683,1.0,3.2284951001906544e-28,4.8207566113666076e-20,-0.62663027820329,-0.20202665719646906,0.0,0.0,-10.498253263617753,-10.498253263617753,3.260002169242109,1.0,3.2284951001906544e-28,4.8207566113666076e-20,1.0,3.2284951001906544e-28,4.8207566113666076e-20,3.275417032639769,False,False,none,,False,4.8207566113666076e-20,0,-0.46518332627291725,-0.274367741393767,0.05732595971349331,0.0004614894953224363,0.029436924119792807,-18.996387164386544,-2.374548395548318,3.1629203862557134,-2.6644950466517967,-5.82741543290751,0.20177397959587068,0.16036369401024525,0.36405490277920943,-0.2747012886694678,0.22448961841129797,0.18370088692132788,0.16158355908923763,0.0,0.041454669002384904,-0.023163610840707335,0.041454669002384904,0.023163610840707335,0.02211732783209022,0.0,2.220446049250313e-16,0.0,-2.6251853518824506e-17,,,,0.0,0.0,8.004646360058042e-34,0.0,True,,
fault|compound|c36|B|p0000|r009,PHASE9-FRESH-TWIN-ROUND-LEDGER-V1,fault,fault|compound,ab/c36/fault/compound,B,PHASE9-BACKEND-B-DENSE-STRANG-ANALYTIC-KRAUS-V1,36,fresh_cutoff36_40_44_bounded_repair,1801000,0,fault|compound|c36|B|p0000,9,False,XZ,,compound,,0,BLAKE2B_ADDRESS_PYTHON_RANDOM_BOX_MULLER,repair_c36_fault_compound_B__fd27e8093be68634,9,-1,9,9,27ea2275730f81bf52afbbd624df5400f3c9b1bd12fb3aa62f8e4d22c0c20e6c,0.18405490277920944,-0.1347012886694678,0.9893021348634619,0.010215483675492798,0.00048238146104526104,1.0,3.217619088198099e-29,9.35836684706874e-26,-0.8499198311257301,-0.36188670034740616,1.1102230246251565e-16,5.551115123125783e-17,-15.536426033062362,-15.536426033062364,5.1068075866959335,1.0,3.217619088198099e-29,9.35836684706874e-26,1.0,3.217619088198099e-29,9.35836684706874e-26,3.3605405233207994,False,False,none,,False,9.35836684706874e-26,0,-0.6481687507305642,-0.13414654998926573,0.05835526993323881,0.0004616666511809401,0.029437641747229043,-18.178230524929614,-2.2722788156162017,0.2638603780874105,-3.5541746590027974,-3.818035037090208,0.10239703998308505,0.08306261033665119,0.18855315495715946,-0.133621043972494,0.10397955500999148,0.12489323746386809,0.030832315045171206,0.0,-0.04400925620576634,-0.0007633605684059451,-0.04400925620576634,0.0007633605684059451,0.09406092241869686,0.0,2.220446049250313e-16,0.0,-2.6646487889766703e-18,,,,0.0,0.0,1.6874940574846604e-39,1.7763568394002505e-15,True,,
