row_id,row_schema,layer,cell_base,cell_id,backend,backend_id,cutoff,convergence_role,seed,seed_position,trajectory_id,round_index,terminal_round,action,probe_id,scenario,initial_state,logical_label,rng_namespace,archive_chunk,archive_row_index,density_index,raw_iq_index,heldout_iq_index,heldout_window_sha256,pre_readout_i,pre_readout_q,pre_measurement_g,pre_measurement_e,pre_measurement_f,pre_reset_g,pre_reset_e,pre_reset_f,integrated_i,integrated_q,integrated_i_mean_error,integrated_q_mean_error,raw_log_evidence,raw_reference_log_evidence,raw_within_window_residual,posterior_g,posterior_e,posterior_f,level_g,level_e,level_f,mean_photon,reset_requested,reset_hidden_success,reset_ack,rao_blackwell_reset_success,leakage_resident,leakage_residence_probability,leakage_age,predictive_mean_i,predictive_mean_q,predictive_cov_ii,predictive_cov_iq,predictive_cov_qq,heldout_reference_log_evidence,heldout_proper_score_per_sample,heldout_llr_ge_per_sample,heldout_llr_gf_per_sample,heldout_llr_ef_per_sample,drift_0,drift_1,drift_2,drift_3,drift_4,logical_survival,logical_block_00_real,logical_block_00_imag,logical_block_01_real,logical_block_01_imag,logical_block_10_real,logical_block_10_imag,logical_block_11_real,logical_block_11_imag,density_trace_error,density_hermiticity_frobenius,density_minimum_eigenvalue,density_quantization_frobenius_error,density_quantization_certified_frobenius_bound,density_quantization_trace_distance_bound,posterior_normalization_error,level_normalization_error,reference_posterior_l1_error,reference_log_evidence_error,conservation_pass,exception_type,exception_message
fault|step|c36|A|p0000|r000,PHASE9-FRESH-TWIN-ROUND-LEDGER-V1,fault,fault|step,ab/c36/fault/step,A,PHASE9-BACKEND-A-JOINT-FOCK-QUTRIT-GKSL-V1,36,fresh_cutoff36_40_44_bounded_repair,1800000,0,fault|step|c36|A|p0000,0,False,IDLE,,step,,0,NUMPY_SEEDSEQUENCE_ADDRESSED,repair_c36_fault_step_A__5fb04efe4ab5c8f9,0,-1,0,0,7ee3b84924c4ee86d757ca9cf791f73970256380bba85885d94e43b67450fbf4,0.0,0.0,0.9870989729596747,0.01241680892499362,0.0004842181153316516,1.0,1.1003773736275672e-19,8.441515124257493e-18,-0.6654111989278816,-0.0410172323185217,0.0,0.0,-14.503087983459002,-14.503087983459002,5.027253875307156,1.0,1.1003773736275672e-19,8.441515124257493e-18,1.0,1.1003773736275672e-19,8.441515124257493e-18,3.668323570807954,False,False,none,,False,8.441515124257493e-18,0,-0.828479839429479,0.0005568508326313993,0.06457130807057768,0.0004613396884046333,0.029440068374676307,-18.12590455896085,-2.2657380698701064,1.0400106121188424,-4.70795483334632,-5.747965445465162,0.0024288234200251823,-0.00015255219688865292,-0.0005402555345353249,-0.0010393473534301542,-0.0006786501409460411,0.9611750886089498,0.9611727961813258,0.0,-0.00030590799729885625,0.00019758085892827658,-0.00030590799729885625,-0.00019758085892827658,2.292427624163982e-06,0.0,2.220446049250313e-16,0.0,-8.519443789995026e-17,,,,0.0,0.0,1.237409989268799e-32,0.0,True,,
fault|step|c36|A|p0000|r001,PHASE9-FRESH-TWIN-ROUND-LEDGER-V1,fault,fault|step,ab/c36/fault/step,A,PHASE9-BACKEND-A-JOINT-FOCK-QUTRIT-GKSL-V1,36,fresh_cutoff36_40_44_bounded_repair,1800000,0,fault|step|c36|A|p0000,1,False,X,,step,,0,NUMPY_SEEDSEQUENCE_ADDRESSED,repair_c36_fault_step_A__5fb04efe4ab5c8f9,1,-1,1,1,710ab3630c9367b195241667c6ed6d419a8a9a72ab26f600a3fe1bf2e5b659b1,-0.0005402555345353249,-0.0010393473534301542,0.9876742434426917,0.011841969216998803,0.00048378734030947765,0.9999999999988598,7.118395875617894e-20,1.1401761915252038e-12,-0.6725173814886868,0.25868529761531284,0.0,0.0,-11.465896115362732,-11.465896115362732,3.1208355649896355,0.9999999999988598,7.118395875617894e-20,1.1401761915252038e-12,0.9999999999988598,7.118395875617894e-20,1.1401761915252038e-12,3.5862150853412773,False,False,none,,False,1.1401761915252038e-12,0,-0.8299976886263742,-0.000482991912074255,0.06295083033532387,0.00046147315627374135,0.029439499226182157,-21.503252527105513,-2.687906565888189,-2.0657926551414985,-5.157975748110581,-3.0921830929690826,0.005071287308743833,0.00035777465538374114,-0.0010071007088233194,-0.002582656853318914,-0.000382663715533194,0.819301447668606,1.375783703893305e-05,0.0,0.0004357937487448257,-0.0003193468952904666,0.0004357937487448257,0.0003193468952904666,0.819287689831567,0.0,0.0,0.0,-1.0193223983784645e-16,,,,0.0,0.0,2.220446049290703e-16,0.0,True,,
fault|step|c36|A|p0000|r002,PHASE9-FRESH-TWIN-ROUND-LEDGER-V1,fault,fault|step,ab/c36/fault/step,A,PHASE9-BACKEND-A-JOINT-FOCK-QUTRIT-GKSL-V1,36,fresh_cutoff36_40_44_bounded_repair,1800000,0,fault|step|c36|A|p0000,2,False,Z,,step,,0,NUMPY_SEEDSEQUENCE_ADDRESSED,repair_c36_fault_step_A__5fb04efe4ab5c8f9,2,-1,2,2,ba2d66937c0504dc0be3c134818489af6a7fb81d8451c3f92249f40981076dc0,-0.0010071007088233194,-0.002582656853318914,0.9881748472754232,0.011341741797470021,0.00048341092710669825,0.9999999999999999,6.6399019029647956e-18,1.0740085505527003e-16,-0.5954063147093994,-0.032322204182442686,0.0,0.0,-11.159775581177367,-11.159775581177367,3.243471379950726,0.9999999999999999,6.6399019029647956e-18,1.0740085505527003e-16,0.9999999999999999,6.6399019029647956e-18,1.0740085505527003e-16,3.51084709312725,False,False,none,,False,1.0740085505527003e-16,0,-0.8313152403650835,-0.0020267342871462105,0.0615391288257256,0.00046158703171179124,0.029439001901199028,-6.705252631590885,-0.8381565789488606,4.171460725108742,3.4522085308623325,-0.7192521942464092,0.0055473047494843135,0.003714862483053095,0.0025962403831044298,-0.0026138813221079533,-0.000286112779160713,0.7065384166483686,0.7064943458037006,0.0,0.0008048114614230485,-0.001599335203235055,0.0008048114614230485,0.001599335203235055,4.407084466795029e-05,0.0,2.220446049250313e-16,0.0,-4.9076747818501744e-20,,,,0.0,0.0,1.1102230246251597e-16,0.0,True,,
fault|step|c36|A|p0000|r003,PHASE9-FRESH-TWIN-ROUND-LEDGER-V1,fault,fault|step,ab/c36/fault/step,A,PHASE9-BACKEND-A-JOINT-FOCK-QUTRIT-GKSL-V1,36,fresh_cutoff36_40_44_bounded_repair,1800000,0,fault|step|c36|A|p0000,3,False,XZ,,step,,0,NUMPY_SEEDSEQUENCE_ADDRESSED,repair_c36_fault_step_A__5fb04efe4ab5c8f9,3,-1,3,3,b1b013019dd61a531343027df2c9b812ffed7104f736722516b75f9b754997bd,0.0025962403831044298,-0.0026138813221079533,0.9883012368519559,0.011215441516222585,0.0004833216318214916,0.9999999999999984,7.018515363500898e-18,1.455565503761998e-15,-0.5906716289482963,0.032096059628867024,1.1102230246251565e-16,6.938893903907228e-18,-10.526025671357383,-10.526025671357383,2.9442986394791,0.9999999999999984,7.018515363500898e-18,1.455565503761998e-15,0.9999999999999984,7.018515363500898e-18,1.455565503761998e-15,3.5007796871154584,False,False,none,,False,1.455565503761998e-15,0,-0.8279266856522689,-0.002058061445513238,0.061182469450650756,0.00046162115025806305,0.029438883922348703,-14.761818099370903,-1.8452272624213628,-5.274448809910208,-2.5389267200295516,2.735522089880656,0.005894305504384145,0.003739865424275393,0.008432184803912206,-0.008325020110418696,0.0032603075075597126,0.4029383433265944,0.00039326248509126134,0.0,0.0013989400002144031,-0.005756339995328042,0.0013989400002144031,0.005756339995328042,0.40254508084150314,0.0,0.0,0.0,-3.0395090562269406e-17,,,,1.1102230246251565e-16,1.1102230246251565e-16,2.2204460492503417e-16,0.0,True,,
fault|step|c36|A|p0000|r004,PHASE9-FRESH-TWIN-ROUND-LEDGER-V1,fault,fault|step,ab/c36/fault/step,A,PHASE9-BACKEND-A-JOINT-FOCK-QUTRIT-GKSL-V1,36,fresh_cutoff36_40_44_bounded_repair,1800000,0,fault|step|c36|A|p0000,4,False,IDLE,,step,,0,NUMPY_SEEDSEQUENCE_ADDRESSED,repair_c36_fault_step_A__5fb04efe4ab5c8f9,4,-1,4,4,1597f3155c8cadbdb9d8a3287974d2e3ffe970ce4037476ca583b50abc13ac4f,0.10843218480391222,-0.06832502011041869,0.9887911445400392,0.010726067810512059,0.00048278764944867256,1.0,1.6630508780770663e-26,4.369223827912504e-17,-0.8205330342849155,0.12674722761776103,0.0,0.0,-10.260487846416593,-10.260487846416593,3.0047870089360877,1.0,1.6630508780770663e-26,4.369223827912504e-17,1.0,1.6630508780770663e-26,4.369223827912504e-17,3.41625047590849,False,False,none,,False,4.369223827912504e-17,0,-0.7229231304161858,-0.06776981431355271,0.05979952577856461,0.00046157329026553715,0.029438178412918996,-14.590586028930057,-1.823823253616257,5.068138801496611,4.220390667770415,-0.8477481337261956,0.07483228431871519,-0.03703967264272905,0.10665702759345659,-0.06973257767141426,0.042161636740729015,0.40656286452923973,0.4057805280265557,0.0,-0.0028891701508556604,-0.009046350590907566,-0.0028891701508556604,0.009046350590907566,0.000782336502684075,0.0,1.1102230246251565e-16,0.0,-2.889415067174563e-20,,,,0.0,0.0,1.972152263569104e-31,0.0,True,,
fault|step|c36|A|p0000|r005,PHASE9-FRESH-TWIN-ROUND-LEDGER-V1,fault,fault|step,ab/c36/fault/step,A,PHASE9-BACKEND-A-JOINT-FOCK-QUTRIT-GKSL-V1,36,fresh_cutoff36_40_44_bounded_repair,1800000,0,fault|step|c36|A|p0000,5,False,X,,step,,0,NUMPY_SEEDSEQUENCE_ADDRESSED,repair_c36_fault_step_A__5fb04efe4ab5c8f9,5,-1,5,5,0a1c55ac87e471a7a2e2009feb65f78b2e24a031baf3a4c8ccb07bcda224c665,0.10665702759345659,-0.06973257767141426,0.9889321527126669,0.010585137792676233,0.0004827094946569403,1.0,3.4504829643587393e-25,1.3999604753863712e-23,-0.7707085155204608,-0.2872830524543775,0.0,0.0,-8.00344174959364,-8.00344174959364,1.9344987210199984,1.0,3.4504829643587393e-25,1.3999604753863712e-23,1.0,3.4504829643587393e-25,1.3999604753863712e-23,3.3968022635909785,False,False,none,,False,1.3999604753863712e-23,0,-0.7249379350885354,-0.06917746175255879,0.05940106043204668,0.00046163160182480375,0.029438075153000436,-13.213013264176373,-1.6516266580220467,-6.730949452850135,-2.244530201245757,4.486419251604378,0.07699917479905591,-0.03414699105091477,0.10704709267306327,-0.07148488495682372,0.04176612174405152,0.28365545111063506,0.004706086923177502,0.0,0.010136650447285286,0.024754227106429428,0.010136650447285286,-0.024754227106429428,0.2789493641874576,0.0,2.220446049250313e-16,0.0,-8.613789091141404e-17,,,,0.0,0.0,3.9764769836410195e-38,0.0,True,,
fault|step|c36|A|p0000|r006,PHASE9-FRESH-TWIN-ROUND-LEDGER-V1,fault,fault|step,ab/c36/fault/step,A,PHASE9-BACKEND-A-JOINT-FOCK-QUTRIT-GKSL-V1,36,fresh_cutoff36_40_44_bounded_repair,1800000,0,fault|step|c36|A|p0000,6,False,Z,,step,,0,NUMPY_SEEDSEQUENCE_ADDRESSED,repair_c36_fault_step_A__5fb04efe4ab5c8f9,6,-1,6,6,1d802d34855feedca65a053c30dbaae5e5d39413099c44f5f3b1b053bb8af557,0.10704709267306327,-0.07148488495682372,0.9891469516752004,0.01037052046072758,0.0004825278640719699,0.9999999999962168,1.7282086547034437e-16,3.78289749649814e-12,-0.4306048666873027,0.11909336773678955,0.0,0.0,-8.640957839612694,-8.640957839612694,1.5419319166416283,0.9999999999962168,1.7282086547034437e-16,3.78289749649814e-12,0.9999999999962168,1.7282086547034437e-16,3.78289749649814e-12,3.3639096552495706,False,False,none,,False,3.78289749649814e-12,0,-0.7249128738592386,-0.07092997791314096,0.05879398770577903,0.0004616604454908521,0.02943783517840805,-13.612420450958309,-1.7015525563697886,-3.5822066516455333,-1.3666967641252716,2.2155098875202617,0.0754612875442111,-0.029893557579788822,0.10841145049857877,-0.07198974374347303,0.04031538948067535,0.2357542544631908,0.23229529243655678,0.0,-0.010100542228760036,0.017287581788779465,-0.010100542228760036,-0.017287581788779465,0.003458962026634,0.0,0.0,0.0,-5.258578036202416e-19,,,,1.1102230246251565e-16,1.1102230246251565e-16,4.440892098670265e-16,0.0,True,,
fault|step|c36|A|p0000|r007,PHASE9-FRESH-TWIN-ROUND-LEDGER-V1,fault,fault|step,ab/c36/fault/step,A,PHASE9-BACKEND-A-JOINT-FOCK-QUTRIT-GKSL-V1,36,fresh_cutoff36_40_44_bounded_repair,1800000,0,fault|step|c36|A|p0000,7,False,XZ,,step,,0,NUMPY_SEEDSEQUENCE_ADDRESSED,repair_c36_fault_step_A__5fb04efe4ab5c8f9,7,-1,7,7,d96cda0cfbd4e06b41e4f181ea5d9b6564c0aec1de67bea2f9dabf34f98202c8,0.10841145049857877,-0.07198974374347303,0.988850297812461,0.010666791829138414,0.0004829103584006328,1.0,3.085948090391049e-32,7.70938701067703e-20,-1.0440367526883432,0.12948751549933482,0.0,0.0,-16.684622084518573,-16.684622084518573,5.262821120301211,1.0,3.085948090391049e-32,7.70938701067703e-20,1.0,3.085948090391049e-32,7.70938701067703e-20,3.4327680169753645,False,False,none,,False,7.70938701067703e-20,0,-0.7230445295872454,-0.07143439683131231,0.05963205044557712,0.0004617465111382339,0.02943834053879199,-16.42205838830906,-2.0527572985386326,7.186737145350385,4.221542938093288,-2.9651942072570963,0.07676117180031186,-0.025563430393882824,0.11055037008438902,-0.06950301333251964,0.041361629677880575,0.1479287377136275,0.005417536637467306,0.0,-0.01736161845875878,-0.014156769277911024,-0.01736161845875878,0.014156769277911024,0.1425112010761602,0.0,0.0,0.0,-1.9970070978563612e-17,,,,0.0,0.0,2.4074124304966346e-35,0.0,True,,
fault|step|c36|A|p0000|r008,PHASE9-FRESH-TWIN-ROUND-LEDGER-V1,fault,fault|step,ab/c36/fault/step,A,PHASE9-BACKEND-A-JOINT-FOCK-QUTRIT-GKSL-V1,36,fresh_cutoff36_40_44_bounded_repair,1800000,0,fault|step|c36|A|p0000,8,False,IDLE,,step,,0,NUMPY_SEEDSEQUENCE_ADDRESSED,repair_c36_fault_step_A__5fb04efe4ab5c8f9,8,-1,8,8,fc00e470ad81c41941337e920ce17632945b6b409861e1bf9ec9a4f9d3b95111,0.11055037008438902,-0.06950301333251964,0.9892879195987869,0.010229709178237643,0.0004823712229755044,1.0,3.211091326836259e-28,2.2752605832988902e-20,-0.8844740861710895,-0.01490504171739114,1.1102230246251565e-16,0.0,-12.783811841921139,-12.78381184192114,4.329971406767403,1.0,3.211091326836259e-28,2.2752605832988902e-20,1.0,3.211091326836259e-28,2.2752605832988902e-20,3.3513786934698784,False,False,none,,False,2.2752605832988902e-20,0,-0.7216491087730778,-0.06894828642609782,0.05839551418076082,0.0004616434424324616,0.029437628220444396,-17.159312094730026,-2.1449140118412533,-0.6151841438020274,-5.128989897134333,-4.5138057533323055,0.07531418891416171,-0.026142201720091792,0.10671846262390548,-0.06822295021527322,0.03843912764049131,0.1627899734022445,0.15608451841903415,0.0,0.021179122746507975,-0.013753201902324586,0.021179122746507975,0.013753201902324586,0.0067054549832103825,0.0,0.0,0.0,-1.7860243607487185e-19,,,,0.0,0.0,1.2037062865400883e-34,1.7763568394002505e-15,True,,
fault|step|c36|A|p0000|r009,PHASE9-FRESH-TWIN-ROUND-LEDGER-V1,fault,fault|step,ab/c36/fault/step,A,PHASE9-BACKEND-A-JOINT-FOCK-QUTRIT-GKSL-V1,36,fresh_cutoff36_40_44_bounded_repair,1800000,0,fault|step|c36|A|p0000,9,False,X,,step,,0,NUMPY_SEEDSEQUENCE_ADDRESSED,repair_c36_fault_step_A__5fb04efe4ab5c8f9,9,-1,9,9,613e4be318e25e91db91ed391ed762a83652d39d5b0fd55e3ff423ffbd87c28a,0.10671846262390548,-0.06822295021527322,0.989176491734939,0.01034099941947474,0.00048250884558624966,1.0,1.2960796884935825e-21,4.966517907151844e-21,-0.6308018753823709,-0.2420792643127193,0.0,0.0,-11.427458722812698,-11.427458722812698,3.5539946974449457,1.0,1.2960796884935825e-21,4.966517907151844e-21,1.0,1.2960796884935825e-21,4.966517907151844e-21,3.379949192209471,False,False,none,,False,4.966517907151844e-21,0,-0.7252917058442391,-0.06766806504284903,0.05871046692467352,0.00046167010578912335,0.02943781005073324,-12.610785840184827,-1.5763482300231033,-6.544365462365703,-3.1728885060221614,3.3714769563435416,0.0769445224662145,-0.027039863956890776,0.11019892512702963,-0.06951289218983862,0.03919333389953529,0.12663688915517865,0.0173764321484851,0.0,0.03584459519307591,0.006489237785411823,0.03584459519307591,-0.006489237785411823,0.10926045700669354,0.0,1.1102230246251565e-16,0.0,-2.0626312884609688e-18,,,,0.0,0.0,3.76158192263132e-36,0.0,True,,
