row_id,row_schema,layer,cell_base,cell_id,backend,backend_id,cutoff,convergence_role,seed,seed_position,trajectory_id,round_index,terminal_round,action,probe_id,scenario,initial_state,logical_label,rng_namespace,archive_chunk,archive_row_index,density_index,raw_iq_index,heldout_iq_index,heldout_window_sha256,pre_readout_i,pre_readout_q,pre_measurement_g,pre_measurement_e,pre_measurement_f,pre_reset_g,pre_reset_e,pre_reset_f,integrated_i,integrated_q,integrated_i_mean_error,integrated_q_mean_error,raw_log_evidence,raw_reference_log_evidence,raw_within_window_residual,posterior_g,posterior_e,posterior_f,level_g,level_e,level_f,mean_photon,reset_requested,reset_hidden_success,reset_ack,rao_blackwell_reset_success,leakage_resident,leakage_residence_probability,leakage_age,predictive_mean_i,predictive_mean_q,predictive_cov_ii,predictive_cov_iq,predictive_cov_qq,heldout_reference_log_evidence,heldout_proper_score_per_sample,heldout_llr_ge_per_sample,heldout_llr_gf_per_sample,heldout_llr_ef_per_sample,drift_0,drift_1,drift_2,drift_3,drift_4,logical_survival,logical_block_00_real,logical_block_00_imag,logical_block_01_real,logical_block_01_imag,logical_block_10_real,logical_block_10_imag,logical_block_11_real,logical_block_11_imag,density_trace_error,density_hermiticity_frobenius,density_minimum_eigenvalue,density_quantization_frobenius_error,density_quantization_certified_frobenius_bound,density_quantization_trace_distance_bound,posterior_normalization_error,level_normalization_error,reference_posterior_l1_error,reference_log_evidence_error,conservation_pass,exception_type,exception_message
fault|step|c36|B|p0000|r000,PHASE9-FRESH-TWIN-ROUND-LEDGER-V1,fault,fault|step,ab/c36/fault/step,B,PHASE9-BACKEND-B-DENSE-STRANG-ANALYTIC-KRAUS-V1,36,fresh_cutoff36_40_44_bounded_repair,1801000,0,fault|step|c36|B|p0000,0,False,IDLE,,step,,0,BLAKE2B_ADDRESS_PYTHON_RANDOM_BOX_MULLER,repair_c36_fault_step_B__25c1e2da7ae0e4af,0,-1,0,0,7ee3b84924c4ee86d757ca9cf791f73970256380bba85885d94e43b67450fbf4,0.0,0.0,0.9870993139767088,0.012416469140108714,0.00048421688318252916,1.0,5.0328152271607144e-30,4.9377051232346125e-21,-1.0687481172658122,0.07067736860532675,0.0,0.0,-8.415493114577579,-8.41549311457758,2.0853655956250123,1.0,5.0328152271607144e-30,4.9377051232346125e-21,1.0,5.0328152271607144e-30,4.9377051232346125e-21,3.6683236038418796,False,False,none,,False,4.9377051232346125e-21,0,-0.8284804181111101,0.0005568494156599085,0.06457035010834092,0.00046133883671084833,0.029440066746737173,-18.125907103580005,-2.2657383879475006,1.0400106121188424,-4.70795483334632,-5.747965445465162,0.0024518181107146633,-0.001652387798850145,-0.0030413386362040467,-0.0015008962847809025,0.0002922754428865036,0.9611751050568055,0.9611728126295479,0.0,-0.0003059077114678291,0.00019758151312288875,-0.0003059077114678291,-0.00019758151312288875,2.2924272576198396e-06,0.0,1.1102230246251565e-16,0.0,-1.0480426113659774e-16,,,,0.0,0.0,5.2662148051890236e-36,1.7763568394002505e-15,True,,
fault|step|c36|B|p0000|r001,PHASE9-FRESH-TWIN-ROUND-LEDGER-V1,fault,fault|step,ab/c36/fault/step,B,PHASE9-BACKEND-B-DENSE-STRANG-ANALYTIC-KRAUS-V1,36,fresh_cutoff36_40_44_bounded_repair,1801000,0,fault|step|c36|B|p0000,1,False,X,,step,,0,BLAKE2B_ADDRESS_PYTHON_RANDOM_BOX_MULLER,repair_c36_fault_step_B__25c1e2da7ae0e4af,1,-1,1,1,710ab3630c9367b195241667c6ed6d419a8a9a72ab26f600a3fe1bf2e5b659b1,-0.0030413386362040467,-0.0015008962847809025,0.9876747496681464,0.011841465257368938,0.00048378507448467616,1.0,3.8501289507404435e-23,8.59687475220395e-19,-0.8024548725305078,-0.0006439378497791071,0.0,4.336808689942018e-19,-4.374166277650219,-4.374166277650219,0.6256811716058,1.0,3.8501289507404435e-23,8.59687475220395e-19,1.0,3.8501289507404435e-23,8.59687475220395e-19,3.5861696590871928,False,False,none,,False,8.59687475220395e-19,0,-0.8324996303853649,-0.0009445434491235249,0.06294940753224881,0.00046147147267416996,0.02943949623252824,-21.526678976417408,-2.690834872052176,-2.0842468273326302,-5.169506572361761,-3.0852597450291306,0.004936966357182857,-0.00027119109742012584,-0.0027107931263553155,-0.004274279951658548,0.0009423966435968317,0.8195990885328849,1.3710322348395351e-05,0.0,0.0004329134988963435,-0.0003228691798092934,0.0004329134988963435,0.0003228691798092934,0.8195853782105365,0.0,1.1102230246251565e-16,0.0,-4.837976359540652e-19,,,,0.0,0.0,1.1363468624568529e-32,0.0,True,,
fault|step|c36|B|p0000|r002,PHASE9-FRESH-TWIN-ROUND-LEDGER-V1,fault,fault|step,ab/c36/fault/step,B,PHASE9-BACKEND-B-DENSE-STRANG-ANALYTIC-KRAUS-V1,36,fresh_cutoff36_40_44_bounded_repair,1801000,0,fault|step|c36|B|p0000,2,False,Z,,step,,0,BLAKE2B_ADDRESS_PYTHON_RANDOM_BOX_MULLER,repair_c36_fault_step_B__25c1e2da7ae0e4af,2,-1,2,2,ba2d66937c0504dc0be3c134818489af6a7fb81d8451c3f92249f40981076dc0,-0.0027107931263553155,-0.004274279951658548,0.9881754987408751,0.01134113126105469,0.0004833699980702337,1.0,1.0458617667068583e-27,8.871387013744547e-24,-0.9794972184041243,-0.1598179509626868,1.1102230246251565e-16,2.7755575615628914e-17,-9.280935811763754,-9.280935811763758,2.585282888012947,1.0,1.0458617667068583e-27,8.871387013744547e-24,1.0,1.0458617667068583e-27,8.871387013744547e-24,3.5107900446546663,False,False,none,,False,8.871387013744547e-24,0,-0.8330200054842027,-0.0037184044538777785,0.06153737705008545,0.00046154854673137636,0.02943894782487885,-6.7214326773905775,-0.8401790846738222,4.158890077930771,3.437479776009933,-0.7214103019208382,0.005658465778236017,0.004842067214860823,0.003928962341834092,-0.001769136714441713,0.0025879400298524486,0.7068538621403038,0.7068098857947753,0.0,0.0008032575757352246,-0.0016098182083871312,0.0008032575757352246,0.0016098182083871312,4.3976345528392675e-05,0.0,2.220446049250313e-16,0.0,-7.768845818867358e-17,,,,0.0,0.0,5.878368585128605e-39,3.552713678800501e-15,True,,
fault|step|c36|B|p0000|r003,PHASE9-FRESH-TWIN-ROUND-LEDGER-V1,fault,fault|step,ab/c36/fault/step,B,PHASE9-BACKEND-B-DENSE-STRANG-ANALYTIC-KRAUS-V1,36,fresh_cutoff36_40_44_bounded_repair,1801000,0,fault|step|c36|B|p0000,3,False,XZ,,step,,0,BLAKE2B_ADDRESS_PYTHON_RANDOM_BOX_MULLER,repair_c36_fault_step_B__25c1e2da7ae0e4af,3,-1,3,3,b1b013019dd61a531343027df2c9b812ffed7104f736722516b75f9b754997bd,0.003928962341834092,-0.001769136714441713,0.9883019432232855,0.011214739323802582,0.0004833174529120571,1.0,3.206689245666689e-21,4.870762989375989e-20,-0.7196335739097701,-0.1288289879224345,0.0,2.7755575615628914e-17,-13.145990381472286,-13.145990381472288,4.4314629383714905,1.0,3.206689245666689e-21,4.870762989375989e-20,1.0,3.206689245666689e-21,4.870762989375989e-20,3.5007331080886264,False,False,none,,False,4.870762989375989e-20,0,-0.8265951609727263,-0.0012133216435928477,0.06118048373285197,0.0004616178244417744,0.029438878401083213,-14.76110430999293,-1.8451380387491163,-5.264615357957776,-2.5297936038675024,2.734821754090274,0.005636705942403611,0.009556785782369933,0.009379005778440551,-0.003458466211523652,0.00706962107749522,0.4030945905649531,0.0003924092090551386,0.0,0.0014029607532047182,-0.005744545889303282,0.0014029607532047182,0.005744545889303282,0.40270218135589797,0.0,1.1102230246251565e-16,0.0,-1.6644950032423358e-18,,,,0.0,0.0,1.33912316445675e-34,1.7763568394002505e-15,True,,
fault|step|c36|B|p0000|r004,PHASE9-FRESH-TWIN-ROUND-LEDGER-V1,fault,fault|step,ab/c36/fault/step,B,PHASE9-BACKEND-B-DENSE-STRANG-ANALYTIC-KRAUS-V1,36,fresh_cutoff36_40_44_bounded_repair,1801000,0,fault|step|c36|B|p0000,4,False,IDLE,,step,,0,BLAKE2B_ADDRESS_PYTHON_RANDOM_BOX_MULLER,repair_c36_fault_step_B__25c1e2da7ae0e4af,4,-1,4,4,1597f3155c8cadbdb9d8a3287974d2e3ffe970ce4037476ca583b50abc13ac4f,0.10937900577844056,-0.06345846621152365,0.9887904972179906,0.010726720096533958,0.00048278268547539104,1.0,2.1332625198779934e-24,6.768256545496574e-18,-0.7373519226728564,0.024127898210996562,1.1102230246251565e-16,6.938893903907228e-18,-9.699639106885137,-9.699639106885138,3.039200644875955,1.0,2.1332625198779934e-24,6.768256545496574e-18,1.0,2.1332625198779934e-24,6.768256545496574e-18,3.4165728977400254,False,False,none,,False,6.768256545496574e-18,0,-0.7219752047747975,-0.06290326612322696,0.059801366105146136,0.0004615679311049909,0.02943817185440316,-14.598658890882625,-1.8248323613603281,5.075124893756586,4.248174239003394,-0.8269506547531922,0.07541046181766811,-0.028556293198177568,0.11053289222987753,-0.06120358415500445,0.04647568234372601,0.4057434886956491,0.40495413178390344,0.0,-0.0028525150653082366,-0.009125670491074872,-0.0028525150653082366,0.009125670491074872,0.0007893569117455651,0.0,1.1102230246251565e-16,0.0,-1.1477040754026184e-17,,,,0.0,0.0,8.088906537844558e-32,1.7763568394002505e-15,True,,
fault|step|c36|B|p0000|r005,PHASE9-FRESH-TWIN-ROUND-LEDGER-V1,fault,fault|step,ab/c36/fault/step,B,PHASE9-BACKEND-B-DENSE-STRANG-ANALYTIC-KRAUS-V1,36,fresh_cutoff36_40_44_bounded_repair,1801000,0,fault|step|c36|B|p0000,5,False,X,,step,,0,BLAKE2B_ADDRESS_PYTHON_RANDOM_BOX_MULLER,repair_c36_fault_step_B__25c1e2da7ae0e4af,5,-1,5,5,0a1c55ac87e471a7a2e2009feb65f78b2e24a031baf3a4c8ccb07bcda224c665,0.11053289222987753,-0.06120358415500445,0.9889278091482101,0.010589482263553135,0.0004827085882368195,1.0,5.4409772988822106e-21,3.035981673481313e-20,-0.6030899100761069,-0.20740121936130346,0.0,2.7755575615628914e-17,-8.025439973212507,-8.025439973212505,2.00947022604365,1.0,5.4409772988822106e-21,3.035981673481313e-20,1.0,5.4409772988822106e-21,3.035981673481313e-20,3.397982530865532,False,False,none,,False,3.035981673481313e-20,0,-0.721054685622081,-0.06064846927853211,0.05941334340731197,0.0004616266355552242,0.029438073955417112,-13.19500289020121,-1.6493753612751512,-6.70235149329321,-2.1876602902872992,4.514691203005911,0.07881679177185598,-0.029099136044241827,0.11102004697646722,-0.05836293789678317,0.04674027617935924,0.281705213292355,0.004797303977694304,0.0,0.010431089238837177,0.024878959610689873,0.010431089238837177,-0.024878959610689873,0.2769079093146607,0.0,1.1102230246251565e-16,0.0,-8.160421368242395e-19,,,,0.0,0.0,1.0833355937178202e-34,1.7763568394002505e-15,True,,
fault|step|c36|B|p0000|r006,PHASE9-FRESH-TWIN-ROUND-LEDGER-V1,fault,fault|step,ab/c36/fault/step,B,PHASE9-BACKEND-B-DENSE-STRANG-ANALYTIC-KRAUS-V1,36,fresh_cutoff36_40_44_bounded_repair,1801000,0,fault|step|c36|B|p0000,6,False,Z,,step,,0,BLAKE2B_ADDRESS_PYTHON_RANDOM_BOX_MULLER,repair_c36_fault_step_B__25c1e2da7ae0e4af,6,-1,6,6,1d802d34855feedca65a053c30dbaae5e5d39413099c44f5f3b1b053bb8af557,0.11102004697646722,-0.05836293789678317,0.9891409013741811,0.010376570498296388,0.00048252812752237425,1.0,8.384887182305816e-27,2.32625974714023e-20,-0.8289794294943429,-0.04389232819769384,0.0,6.938893903907228e-18,-5.700510109060543,-5.700510109060544,1.1915473004727481,1.0,8.384887182305816e-27,2.32625974714023e-20,1.0,8.384887182305816e-27,2.32625974714023e-20,3.3653049343201653,False,False,none,,False,2.32625974714023e-20,0,-0.7209296342680348,-0.05780803055013243,0.0588111013050364,0.0004616549901663076,0.029437835526484973,-13.585267014585238,-1.6981583768231547,-3.552892318677709,-1.2865437681316085,2.2663485505461,0.08054089788673788,-0.027155239325337675,0.11184150857478989,-0.05871095969789623,0.04701097160966903,0.2338233726236943,0.2302581484954168,0.0,-0.010439263909484391,0.017481728412356918,-0.010439263909484391,-0.017481728412356918,0.0035652241282775297,0.0,2.220446049250313e-16,0.0,-2.8859600999523246e-17,,,,0.0,0.0,2.407413004455896e-35,8.881784197001252e-16,True,,
fault|step|c36|B|p0000|r007,PHASE9-FRESH-TWIN-ROUND-LEDGER-V1,fault,fault|step,ab/c36/fault/step,B,PHASE9-BACKEND-B-DENSE-STRANG-ANALYTIC-KRAUS-V1,36,fresh_cutoff36_40_44_bounded_repair,1801000,0,fault|step|c36|B|p0000,7,False,XZ,,step,,0,BLAKE2B_ADDRESS_PYTHON_RANDOM_BOX_MULLER,repair_c36_fault_step_B__25c1e2da7ae0e4af,7,-1,7,7,d96cda0cfbd4e06b41e4f181ea5d9b6564c0aec1de67bea2f9dabf34f98202c8,0.11184150857478989,-0.05871095969789623,0.9888425362648421,0.010674624234921128,0.0004828395002367172,1.0,1.7457584804138086e-30,9.868408794703719e-24,-0.9722531386000526,-0.13222814112547465,0.0,0.0,-7.977385517723802,-7.977385517723802,1.8254262678762414,1.0,1.7457584804138086e-30,9.868408794703719e-24,1.0,1.7457584804138086e-30,9.868408794703719e-24,3.4343630154622202,False,False,none,,False,9.868408794703719e-24,0,-0.7196012166506429,-0.058155694272624,0.0596541431307843,0.00046167139841179745,0.029438246919370553,-16.377849948860263,-2.047231243607533,7.212045733586316,4.300475885216522,-2.911569848369794,0.08236126496578601,-0.02402902141514422,0.11532572442636417,-0.06120422077217825,0.0483527341884566,0.14642807616787598,0.005618352993950777,0.0,-0.01779836467309598,-0.014157203979899011,-0.01779836467309598,0.014157203979899011,0.1408097231739252,0.0,0.0,0.0,-5.6589826077724425e-18,,,,0.0,0.0,8.816211835062549e-39,0.0,True,,
fault|step|c36|B|p0000|r008,PHASE9-FRESH-TWIN-ROUND-LEDGER-V1,fault,fault|step,ab/c36/fault/step,B,PHASE9-BACKEND-B-DENSE-STRANG-ANALYTIC-KRAUS-V1,36,fresh_cutoff36_40_44_bounded_repair,1801000,0,fault|step|c36|B|p0000,8,False,IDLE,,step,,0,BLAKE2B_ADDRESS_PYTHON_RANDOM_BOX_MULLER,repair_c36_fault_step_B__25c1e2da7ae0e4af,8,-1,8,8,fc00e470ad81c41941337e920ce17632945b6b409861e1bf9ec9a4f9d3b95111,0.11532572442636417,-0.06120422077217825,0.9892818751933186,0.010235754998922883,0.00048236980775855976,1.0,3.3555607779330564e-28,4.8279490075170635e-20,-0.8789632966317993,0.01169097747918729,0.0,0.0,-10.498641656980006,-10.498641656980006,3.2600021692421084,1.0,3.3555607779330564e-28,4.8279490075170635e-20,1.0,3.3555607779330564e-28,4.8279490075170635e-20,3.3525785745002494,False,False,none,,False,4.8279490075170635e-20,0,-0.7168634777388722,-0.060649495493255906,0.05841261961348187,0.00046163638728727335,0.02943762635062562,-17.124944369855402,-2.1406180462319253,-0.5799493244384957,-5.069950562780724,-4.490001238342228,0.08224099866461315,-0.02378354491123488,0.11374054849812817,-0.0626933950712167,0.046073006303836886,0.1612100564636042,0.15420665621691843,0.0,0.021797527903926434,-0.013727525074349316,0.021797527903926434,0.013727525074349316,0.0070034002466857585,0.0,0.0,0.0,-1.148532382299173e-16,,,,0.0,0.0,1.6250034112038436e-34,0.0,True,,
fault|step|c36|B|p0000|r009,PHASE9-FRESH-TWIN-ROUND-LEDGER-V1,fault,fault|step,ab/c36/fault/step,B,PHASE9-BACKEND-B-DENSE-STRANG-ANALYTIC-KRAUS-V1,36,fresh_cutoff36_40_44_bounded_repair,1801000,0,fault|step|c36|B|p0000,9,False,X,,step,,0,BLAKE2B_ADDRESS_PYTHON_RANDOM_BOX_MULLER,repair_c36_fault_step_B__25c1e2da7ae0e4af,9,-1,9,9,613e4be318e25e91db91ed391ed762a83652d39d5b0fd55e3ff423ffbd87c28a,0.11374054849812817,-0.0626933950712167,0.9891687498392013,0.010348741858251185,0.00048250830254742525,1.0,3.260031588259829e-29,9.362089882131248e-26,-0.9202341854068112,-0.2898788067491551,0.0,0.0,-15.536560869541882,-15.536560869541884,5.1068075866959335,1.0,3.260031588259829e-29,9.362089882131248e-26,1.0,3.260031588259829e-29,9.362089882131248e-26,3.381519564441221,False,False,none,,False,9.362089882131248e-26,0,-0.7182564582856794,-0.06213851052328715,0.058732368454194175,0.0004616622829879627,0.029437809333257438,-12.556147045383025,-1.569518380672878,-6.492553196800692,-3.1193825971299995,3.373170599670692,0.0831570537657964,-0.022022420001006737,0.11700131551032684,-0.061289213523028935,0.04582335820521692,0.12550169869326577,0.018048760918860356,0.0,0.03631542005817248,0.0059618106253693515,0.03631542005817248,-0.0059618106253693515,0.1074529377744054,0.0,0.0,0.0,-5.987867510072185e-19,,,,0.0,0.0,5.2815499639788085e-40,1.7763568394002505e-15,True,,
