row_id,row_schema,layer,cell_base,cell_id,backend,backend_id,cutoff,convergence_role,seed,seed_position,trajectory_id,round_index,terminal_round,action,probe_id,scenario,initial_state,logical_label,rng_namespace,archive_chunk,archive_row_index,density_index,raw_iq_index,heldout_iq_index,heldout_window_sha256,pre_readout_i,pre_readout_q,pre_measurement_g,pre_measurement_e,pre_measurement_f,pre_reset_g,pre_reset_e,pre_reset_f,integrated_i,integrated_q,integrated_i_mean_error,integrated_q_mean_error,raw_log_evidence,raw_reference_log_evidence,raw_within_window_residual,posterior_g,posterior_e,posterior_f,level_g,level_e,level_f,mean_photon,reset_requested,reset_hidden_success,reset_ack,rao_blackwell_reset_success,leakage_resident,leakage_residence_probability,leakage_age,predictive_mean_i,predictive_mean_q,predictive_cov_ii,predictive_cov_iq,predictive_cov_qq,heldout_reference_log_evidence,heldout_proper_score_per_sample,heldout_llr_ge_per_sample,heldout_llr_gf_per_sample,heldout_llr_ef_per_sample,drift_0,drift_1,drift_2,drift_3,drift_4,logical_survival,logical_block_00_real,logical_block_00_imag,logical_block_01_real,logical_block_01_imag,logical_block_10_real,logical_block_10_imag,logical_block_11_real,logical_block_11_imag,density_trace_error,density_hermiticity_frobenius,density_minimum_eigenvalue,density_quantization_frobenius_error,density_quantization_certified_frobenius_bound,density_quantization_trace_distance_bound,posterior_normalization_error,level_normalization_error,reference_posterior_l1_error,reference_log_evidence_error,conservation_pass,exception_type,exception_message
fault|telegraph|c36|B|p0000|r000,PHASE9-FRESH-TWIN-ROUND-LEDGER-V1,fault,fault|telegraph,ab/c36/fault/telegraph,B,PHASE9-BACKEND-B-DENSE-STRANG-ANALYTIC-KRAUS-V1,36,fresh_cutoff36_40_44_bounded_repair,1801000,0,fault|telegraph|c36|B|p0000,0,False,X,,telegraph,,0,BLAKE2B_ADDRESS_PYTHON_RANDOM_BOX_MULLER,repair_c36_fault_telegraph_B__b009c2b3eb0050f6,0,-1,0,0,493469c2752a545cefc038320ce4d3d7632b243d9b4a54ec8ad3b1a733ce743d,-0.08,0.05,0.9870280014788332,0.012487708954257923,0.0004842895669090334,1.0,5.062056841002733e-30,4.938803102412115e-21,-1.148748117265812,0.12067736860532674,0.0,0.0,-8.415565361688843,-8.415565361688845,2.0853655956250123,1.0,5.062056841002733e-30,4.938803102412115e-21,1.0,5.062056841002733e-30,4.938803102412115e-21,3.681280064316274,False,False,none,,False,4.938803102412115e-21,0,-0.9083592486458889,0.0505569330019454,0.06477105597072672,0.00046134060303758127,0.02944016277786854,-22.949832726689813,-2.8687290908362266,-8.820578930234904,-4.7656338333003605,4.054945096934542,0.054201818110714665,0.027897612201149856,-0.08060133863620406,0.047199103715219105,0.0307422754428865,0.8571244783767252,8.161186177080644e-06,0.0,0.0012475555471524098,0.0002102578782115202,0.0012475555471524098,-0.0002102578782115202,0.857116317190548,0.0,0.0,0.0,-4.3163078466102293e-19,,,,0.0,0.0,3.535887013299024e-35,1.7763568394002505e-15,True,,
fault|telegraph|c36|B|p0000|r001,PHASE9-FRESH-TWIN-ROUND-LEDGER-V1,fault,fault|telegraph,ab/c36/fault/telegraph,B,PHASE9-BACKEND-B-DENSE-STRANG-ANALYTIC-KRAUS-V1,36,fresh_cutoff36_40_44_bounded_repair,1801000,0,fault|telegraph|c36|B|p0000,1,False,Z,,telegraph,,0,BLAKE2B_ADDRESS_PYTHON_RANDOM_BOX_MULLER,repair_c36_fault_telegraph_B__b009c2b3eb0050f6,1,-1,1,1,75e7f2ffc2cb8dc69e73cec8c59fa87218bb76590cb6cce193da3e469b62fa81,-0.08060133863620406,0.047199103715219105,0.9876246840388762,0.011891513285936581,0.0004838026751872013,1.0,3.8665975447306e-23,8.597623334172221e-19,-0.8800148725305077,0.0480560621502209,0.0,0.0,-4.3742169693361745,-4.3742169693361745,0.6256811716058001,1.0,3.8665975447306e-23,8.597623334172221e-19,1.0,3.8665975447306e-23,8.597623334172221e-19,3.5955134774754587,False,False,none,,False,8.597623334172221e-19,0,-0.9099745337762026,0.04775547679168438,0.06309055575044689,0.00046144091611788124,0.029439519486934858,-12.799908197130062,-1.5999885246412577,-6.699520330162403,-2.4558157304017456,4.243704599760657,0.05341071635718286,0.03133555890257987,-0.07965031312635533,0.04403612004834146,0.030631146643596827,0.7546149902207245,0.7545999366198016,0.0,-0.0005077929338583723,-0.0002025178510097473,-0.0005077929338583723,0.0002025178510097473,1.505360092289001e-05,0.0,0.0,0.0,-3.473693076907283e-17,,,,0.0,0.0,6.06673222206558e-33,0.0,True,,
fault|telegraph|c36|B|p0000|r002,PHASE9-FRESH-TWIN-ROUND-LEDGER-V1,fault,fault|telegraph,ab/c36/fault/telegraph,B,PHASE9-BACKEND-B-DENSE-STRANG-ANALYTIC-KRAUS-V1,36,fresh_cutoff36_40_44_bounded_repair,1801000,0,fault|telegraph|c36|B|p0000,2,False,IDLE,,telegraph,,0,BLAKE2B_ADDRESS_PYTHON_RANDOM_BOX_MULLER,repair_c36_fault_telegraph_B__b009c2b3eb0050f6,2,-1,2,2,bd0f41fc564202e5b35da436aba2fe3c858ee413f7738d28c38caaf7e72487e8,-0.07965031312635533,0.04403612004834146,0.9881911156450472,0.011325590325799984,0.0004832940291527786,1.0,1.0444120997890441e-27,8.869852563725912e-24,-1.0564367384041242,-0.1115075509626868,0.0,0.0,-9.280920008112693,-9.280920008112695,2.585282888012947,1.0,1.0444120997890441e-27,8.869852563725912e-24,1.0,1.0444120997890441e-27,8.869852563725912e-24,3.5082662222764696,False,False,none,,False,8.869852563725912e-24,0,-0.9099860096477154,0.04459190818186716,0.06149345114632479,0.00046149072696936497,0.029438847453105182,-19.388156096426737,-2.423519512053342,-0.851422807327257,-4.345851143551166,-3.4944283362239092,0.05340510952823602,0.03347471596486082,-0.07419504149816593,0.047054780085558294,0.03033447127985244,0.7132176879429769,0.7131640364175097,0.0,-0.001159704552545817,0.0010899131085412752,-0.001159704552545817,-0.0010899131085412752,5.365152546726143e-05,0.0,0.0,0.0,-4.984499092604275e-17,,,,0.0,0.0,3.52700321445682e-38,1.7763568394002505e-15,True,,
fault|telegraph|c36|B|p0000|r003,PHASE9-FRESH-TWIN-ROUND-LEDGER-V1,fault,fault|telegraph,ab/c36/fault/telegraph,B,PHASE9-BACKEND-B-DENSE-STRANG-ANALYTIC-KRAUS-V1,36,fresh_cutoff36_40_44_bounded_repair,1801000,0,fault|telegraph|c36|B|p0000,3,False,X,,telegraph,,0,BLAKE2B_ADDRESS_PYTHON_RANDOM_BOX_MULLER,repair_c36_fault_telegraph_B__b009c2b3eb0050f6,3,-1,3,3,9600054d6d778de4aeee213673a6c4e3f3dad8c1ab763c94f85ef6d666a9ced4,0.005804958501834073,-0.0029452199144417088,0.9884816143503242,0.011035267620154075,0.000483118029521718,1.0,3.1547984245226506e-21,4.86786827817676e-20,-0.7177575777497701,-0.1300050711224345,0.0,0.0,-13.145808600187385,-13.145808600187387,4.4314629383714905,1.0,3.1547984245226506e-21,4.86786827817676e-20,1.0,3.1547984245226506e-21,4.86786827817676e-20,3.466771656169901,False,False,none,,False,4.86786827817676e-20,0,-0.8250244362188106,-0.0023896341804917334,0.06067346409179787,0.00046159695905308336,0.0294386149185347,-11.32363510970742,-1.4154543887134274,6.780816491438128,5.000833917914297,-1.7799825735238315,0.0034171500361536086,0.005709944801119929,0.009439993969160534,-0.0037251407459236484,0.0036724890462452144,0.5083120230919564,0.000688371851569132,0.0,-0.0021049813696983814,0.009516290847948847,-0.0021049813696983814,-0.009516290847948847,0.5076236512403873,0.0,2.220446049250313e-16,0.0,-7.498124583820882e-18,,,,0.0,0.0,5.1533672340049084e-34,1.7763568394002505e-15,True,,
fault|telegraph|c36|B|p0000|r004,PHASE9-FRESH-TWIN-ROUND-LEDGER-V1,fault,fault|telegraph,ab/c36/fault/telegraph,B,PHASE9-BACKEND-B-DENSE-STRANG-ANALYTIC-KRAUS-V1,36,fresh_cutoff36_40_44_bounded_repair,1801000,0,fault|telegraph|c36|B|p0000,4,False,Z,,telegraph,,0,BLAKE2B_ADDRESS_PYTHON_RANDOM_BOX_MULLER,repair_c36_fault_telegraph_B__b009c2b3eb0050f6,4,-1,4,4,0474f16577b9354a31e24853f5dd2c5c36dcc6f3ec80f4f0130f764e6f2d7f2b,0.009439993969160534,-0.0037251407459236484,0.9888031603056985,0.010713994303367252,0.00048284539093412966,1.0,2.130704407126649e-24,6.769048940899281e-18,-0.8372909344821367,0.08386122367659656,0.0,1.3877787807814457e-17,-9.699626300323322,-9.699626300323324,3.039200644875955,1.0,2.130704407126649e-24,6.769048940899281e-18,1.0,2.130704407126649e-24,6.769048940899281e-18,3.417202670893868,False,False,none,,False,6.769048940899281e-18,0,-0.821935797132821,-0.003169868546349399,0.05976543817460424,0.0004616398641979788,0.029438254702294765,-11.96164676140934,-1.4952058451761674,4.857686358815474,4.130508706715691,-0.7271776520997832,0.004274199250011867,0.00955456843529118,0.013193392515071727,-0.002848125293129244,0.005363478613257253,0.4006184092046933,0.39961078697844693,0.0,0.0021639437455580578,0.011343395305813525,0.0021639437455580578,-0.011343395305813525,0.0010076222262463813,0.0,0.0,0.0,-2.6768540874221657e-18,,,,0.0,0.0,3.235563335128113e-32,1.7763568394002505e-15,True,,
fault|telegraph|c36|B|p0000|r005,PHASE9-FRESH-TWIN-ROUND-LEDGER-V1,fault,fault|telegraph,ab/c36/fault/telegraph,B,PHASE9-BACKEND-B-DENSE-STRANG-ANALYTIC-KRAUS-V1,36,fresh_cutoff36_40_44_bounded_repair,1801000,0,fault|telegraph|c36|B|p0000,5,False,IDLE,,telegraph,,0,BLAKE2B_ADDRESS_PYTHON_RANDOM_BOX_MULLER,repair_c36_fault_telegraph_B__b009c2b3eb0050f6,5,-1,5,5,7fac0aff6fba979cc0f2557da1cb7f25c39d6a5ec1bf8f57234bf370c83bab33,0.013193392515071727,-0.002848125293129244,0.98921354656553,0.010304001303934255,0.0004824521305357734,1.0,5.2927651771121106e-21,3.0334922033470965e-20,-0.7004294097909127,-0.14904576049942825,0.0,0.0,-8.02515107836838,-8.02515107836838,2.00947022604365,1.0,5.2927651771121106e-21,3.0334922033470965e-20,1.0,5.2927651771121106e-21,3.0334922033470965e-20,3.345167524460888,False,False,none,,False,3.0334922033470965e-20,0,-0.8188797209572847,-0.0022933053430131043,0.05860576217210708,0.00046165076330971353,0.029437735117456513,-10.355438028003674,-1.2944297535004592,6.5931248421740705,3.7259128281159004,-2.86721201405817,0.006247573142714583,0.00844006266472489,0.01265926325937987,0.0004256772941970289,0.005455877542152199,0.3837124277550678,0.38205771769442254,0.0,-0.0015691015660137199,-0.014747985600506875,-0.0015691015660137199,0.014747985600506875,0.0016547100606452223,0.0,1.1102230246251565e-16,0.0,-3.7634024816800774e-18,,,,0.0,0.0,3.656257628797643e-34,0.0,True,,
fault|telegraph|c36|B|p0000|r006,PHASE9-FRESH-TWIN-ROUND-LEDGER-V1,fault,fault|telegraph,ab/c36/fault/telegraph,B,PHASE9-BACKEND-B-DENSE-STRANG-ANALYTIC-KRAUS-V1,36,fresh_cutoff36_40_44_bounded_repair,1801000,0,fault|telegraph|c36|B|p0000,6,False,X,,telegraph,,0,BLAKE2B_ADDRESS_PYTHON_RANDOM_BOX_MULLER,repair_c36_fault_telegraph_B__b009c2b3eb0050f6,6,-1,6,6,845df0a9c206bbfc92c5156876b6bb3f36e133b2256a6f3971f5a4f4f5e8ca9d,-0.06734073674062013,0.05042567729419703,0.9892668567825307,0.010250718349784802,0.00048242486768457243,1.0,8.282136515993803e-27,2.3254658126514503e-20,-1.0073402132114302,0.06489628699328637,0.0,1.3877787807814457e-17,-5.70038277898109,-5.70038277898109,1.1915473004727481,1.0,8.282136515993803e-27,2.3254658126514503e-20,1.0,8.282136515993803e-27,2.3254658126514503e-20,3.341504992002695,False,False,none,,False,2.3254658126514503e-20,0,-0.8995044544084542,0.05098046589203429,0.05845499503034744,0.00046167494209597764,0.029437699097124556,-16.64759731009836,-2.080949663762295,-5.787585167503199,-2.356470818500049,3.4311143490031504,0.06081021753703361,0.03687087140299454,-0.06509238887256076,0.049207346571556135,0.036008682938392156,0.25544087364156515,0.00843723341035861,0.0,0.01893096751172446,0.02919942445671016,0.01893096751172446,-0.02919942445671016,0.24700364023120655,0.0,0.0,0.0,-1.5236726656355475e-19,,,,0.0,0.0,1.5347257688166892e-34,0.0,True,,
fault|telegraph|c36|B|p0000|r007,PHASE9-FRESH-TWIN-ROUND-LEDGER-V1,fault,fault|telegraph,ab/c36/fault/telegraph,B,PHASE9-BACKEND-B-DENSE-STRANG-ANALYTIC-KRAUS-V1,36,fresh_cutoff36_40_44_bounded_repair,1801000,0,fault|telegraph|c36|B|p0000,7,False,Z,,telegraph,,0,BLAKE2B_ADDRESS_PYTHON_RANDOM_BOX_MULLER,repair_c36_fault_telegraph_B__b009c2b3eb0050f6,7,-1,7,7,f70965c1cf55909edd75fdb7fdedb53d582c9c4e84d4c44f18eecb7aa4827dff,-0.06509238887256076,0.049207346571556135,0.9894392764474843,0.010078446691878561,0.0004822768606371527,1.0,1.647263825413492e-30,9.85096461389204e-24,-1.1491870360474032,-0.02430983485602229,0.0,6.938893903907228e-18,-7.976782226325271,-7.976782226325271,1.8254262678762414,1.0,1.647263825413492e-30,9.85096461389204e-24,1.0,1.647263825413492e-30,9.85096461389204e-24,3.315604025553595,False,False,none,,False,9.85096461389204e-24,0,-0.8975490941648255,0.04976196496128886,0.05796738878213693,0.00046169579741140603,0.029437503546634405,-19.145056665781276,-2.3931320832226595,-8.391526288342236,-3.177419434730898,5.214106853611338,0.060426544821327303,0.03903669765226301,-0.061992701841407684,0.046750739047118496,0.03642550273396165,0.21262791228649466,0.20622056129790708,0.0,-0.018356168419086046,0.019246182643220627,-0.018356168419086046,-0.019246182643220627,0.006407350988587584,0.0,1.1102230246251565e-16,0.0,-9.001146447483949e-18,,,,0.0,0.0,6.171346462855781e-38,0.0,True,,
fault|telegraph|c36|B|p0000|r008,PHASE9-FRESH-TWIN-ROUND-LEDGER-V1,fault,fault|telegraph,ab/c36/fault/telegraph,B,PHASE9-BACKEND-B-DENSE-STRANG-ANALYTIC-KRAUS-V1,36,fresh_cutoff36_40_44_bounded_repair,1801000,0,fault|telegraph|c36|B|p0000,8,False,IDLE,,telegraph,,0,BLAKE2B_ADDRESS_PYTHON_RANDOM_BOX_MULLER,repair_c36_fault_telegraph_B__b009c2b3eb0050f6,8,-1,8,8,7d247670e6478fb43415f85aab24c57ed200c33c5ff67fb18380fde01c8eebd9,-0.061992701841407684,0.046750739047118496,0.9897807613911146,0.00973730195080741,0.00048193665807802797,1.0,3.190545255376287e-28,4.821182413411933e-20,-1.0562817228995711,0.11964593729848404,0.0,0.0,-10.498137492837708,-10.498137492837708,3.260002169242108,1.0,3.190545255376287e-28,4.821182413411933e-20,1.0,3.190545255376287e-28,4.821182413411933e-20,3.2501815159819833,False,False,none,,False,4.821182413411933e-20,0,-0.8950296423656687,0.04730496620390823,0.05700125648651734,0.0004616916950475784,0.02943705406256687,-13.271767690685197,-1.6589709613356496,-5.239550059238804,-1.3895653129476262,3.849984746291178,0.060635299322321326,0.03833618837016124,-0.06215933035950152,0.044397925069525675,0.03444395563570431,0.21203351112299995,0.2038517708067474,0.0,0.022138807050258797,-0.01840464064217086,0.022138807050258797,0.01840464064217086,0.008181740316252526,0.0,0.0,0.0,-3.4550589869953124e-20,,,,0.0,0.0,3.5509333802539325e-34,0.0,True,,
fault|telegraph|c36|B|p0000|r009,PHASE9-FRESH-TWIN-ROUND-LEDGER-V1,fault,fault|telegraph,ab/c36/fault/telegraph,B,PHASE9-BACKEND-B-DENSE-STRANG-ANALYTIC-KRAUS-V1,36,fresh_cutoff36_40_44_bounded_repair,1801000,0,fault|telegraph|c36|B|p0000,9,False,X,,telegraph,,0,BLAKE2B_ADDRESS_PYTHON_RANDOM_BOX_MULLER,repair_c36_fault_telegraph_B__b009c2b3eb0050f6,9,-1,9,9,4bcb05d51cdef9bd7471d3e78c0e0540f4616f47aabf678593ddbaafab7f5e2d,0.017840669640498484,-0.005602074930474328,0.9896675793752436,0.009850323415143919,0.0004820972096124706,1.0,3.101457171541923e-29,9.349398638237873e-26,-1.016134064264441,-0.2327874866084128,0.0,5.551115123125783e-17,-15.53605670500918,-15.53605670500918,5.1068075866959335,1.0,3.101457171541923e-29,9.349398638237873e-26,1.0,3.101457171541923e-29,9.349398638237873e-26,3.27871030681099,False,False,none,,False,9.349398638237873e-26,0,-0.8150039979255862,-0.005047663139419987,0.05732144447279279,0.0004617389038153704,0.029437266187278432,-14.300513908219843,-1.7875642385274804,-4.609634362375228,-2.1813053966417146,2.428328965733513,0.01262543991363894,0.009615517281168445,0.021868635683558194,-0.004654623943412498,0.0052350338037876615,0.15574868512148313,0.020767746975839902,0.0,0.0404168416293913,0.010772425553374428,0.0404168416293913,-0.010772425553374428,0.13498093814564321,0.0,0.0,0.0,-1.3724193939696638e-16,,,,0.0,0.0,1.1499055198249449e-40,0.0,True,,
