row_id,row_schema,layer,cell_base,cell_id,backend,backend_id,cutoff,convergence_role,seed,seed_position,trajectory_id,round_index,terminal_round,action,probe_id,scenario,initial_state,logical_label,rng_namespace,archive_chunk,archive_row_index,density_index,raw_iq_index,heldout_iq_index,heldout_window_sha256,pre_readout_i,pre_readout_q,pre_measurement_g,pre_measurement_e,pre_measurement_f,pre_reset_g,pre_reset_e,pre_reset_f,integrated_i,integrated_q,integrated_i_mean_error,integrated_q_mean_error,raw_log_evidence,raw_reference_log_evidence,raw_within_window_residual,posterior_g,posterior_e,posterior_f,level_g,level_e,level_f,mean_photon,reset_requested,reset_hidden_success,reset_ack,rao_blackwell_reset_success,leakage_resident,leakage_residence_probability,leakage_age,predictive_mean_i,predictive_mean_q,predictive_cov_ii,predictive_cov_iq,predictive_cov_qq,heldout_reference_log_evidence,heldout_proper_score_per_sample,heldout_llr_ge_per_sample,heldout_llr_gf_per_sample,heldout_llr_ef_per_sample,drift_0,drift_1,drift_2,drift_3,drift_4,logical_survival,logical_block_00_real,logical_block_00_imag,logical_block_01_real,logical_block_01_imag,logical_block_10_real,logical_block_10_imag,logical_block_11_real,logical_block_11_imag,density_trace_error,density_hermiticity_frobenius,density_minimum_eigenvalue,density_quantization_frobenius_error,density_quantization_certified_frobenius_bound,density_quantization_trace_distance_bound,posterior_normalization_error,level_normalization_error,reference_posterior_l1_error,reference_log_evidence_error,conservation_pass,exception_type,exception_message
fault|burst|c40|A|p0000|r000,PHASE9-FRESH-TWIN-ROUND-LEDGER-V1,fault,fault|burst,ab/c40/fault/burst,A,PHASE9-BACKEND-A-JOINT-FOCK-QUTRIT-GKSL-V1,40,fresh_cutoff36_40_44_bounded_repair,1800000,0,fault|burst|c40|A|p0000,0,False,XZ,,burst,,0,NUMPY_SEEDSEQUENCE_ADDRESSED,repair_c40_fault_burst_A__5d761bc71a9cbd09,0,-1,0,0,395903fff1ad7a554afe068319c45deee1d9284f11e19fd611892efb9ea61a8a,0.0,0.0,0.986943471680411,0.012572100061128464,0.0004844282584606153,1.0,1.1143148132457147e-19,8.446509219709292e-18,-0.6654111989278816,-0.0410172323185217,0.0,0.0,-14.503245529493546,-14.503245529493546,5.027253875307156,1.0,1.1143148132457147e-19,8.446509219709292e-18,1.0,1.1143148132457147e-19,8.446509219709292e-18,3.693296215201149,False,False,none,,False,8.446509219709292e-18,0,-0.8282156658763901,0.0005570924972297075,0.06500881138018999,0.0004613927335478432,0.029440346019763693,-13.207172587366362,-1.6508965734207952,-5.320000065854681,-3.0187669558286903,2.301233110025991,0.004928823420025182,0.0023474478031113473,0.003059744465464675,-0.002839347353430154,0.0017213498590539587,0.7800422304338117,6.71876992297817e-06,0.0,-0.0009757129871506723,-0.00017119198368271244,-0.0009757129871506723,0.00017119198368271244,0.7800355116638887,0.0,0.0,0.0,-8.731158484453524e-20,,,,0.0,0.0,5.26741839789909e-32,0.0,True,,
fault|burst|c40|A|p0000|r001,PHASE9-FRESH-TWIN-ROUND-LEDGER-V1,fault,fault|burst,ab/c40/fault/burst,A,PHASE9-BACKEND-A-JOINT-FOCK-QUTRIT-GKSL-V1,40,fresh_cutoff36_40_44_bounded_repair,1800000,0,fault|burst|c40|A|p0000,1,False,IDLE,,burst,,0,NUMPY_SEEDSEQUENCE_ADDRESSED,repair_c40_fault_burst_A__5d761bc71a9cbd09,1,-1,1,1,b714b7f8fd2c0e100e3393876180fe9493a664bec0575675bb07652c8a12a2e1,0.003059744465464675,-0.002839347353430154,0.9876081282802261,0.011908071424344493,0.0004838002954293543,0.9999999999988597,7.158610162041609e-20,1.1402830546165518e-12,-0.6689173814886868,0.2568852976153128,0.0,0.0,-11.465963057855042,-11.465963057855042,3.120835564989636,0.9999999999988597,7.158610162041609e-20,1.1402830546165518e-12,0.9999999999988597,7.158610162041609e-20,1.1402830546165518e-12,3.597100802581877,False,False,none,,False,1.1402830546165518e-12,0,-0.8262853038620347,-0.0022829770136863965,0.06313724510120997,0.0004614229863027737,0.029439516342750372,-17.71542279379566,-2.2144278492244576,-1.0908385657474096,-4.641763945118318,-3.5509253793709084,0.005033787308743832,0.0028202746553837414,0.0007640992911766807,-0.003468256853318913,0.0007573362844668057,0.7451929663331474,0.745179087602334,0.0,0.00019844885325882635,0.0003552026601997354,0.00019844885325882635,-0.0003552026601997354,1.3878730813419495e-05,0.0,1.1102230246251565e-16,0.0,-2.738772294863355e-17,,,,0.0,0.0,1.1102230246453514e-16,0.0,True,,
fault|burst|c40|A|p0000|r002,PHASE9-FRESH-TWIN-ROUND-LEDGER-V1,fault,fault|burst,ab/c40/fault/burst,A,PHASE9-BACKEND-A-JOINT-FOCK-QUTRIT-GKSL-V1,40,fresh_cutoff36_40_44_bounded_repair,1800000,0,fault|burst|c40|A|p0000,2,False,HOLD,,burst,,0,NUMPY_SEEDSEQUENCE_ADDRESSED,repair_c40_fault_burst_A__5d761bc71a9cbd09,2,-1,2,2,63be3a14de3daa103e66ab3d99d20b194a0596a824e2c44bbffd597e743141de,0.0007640992911766807,-0.003468256853318913,0.9881780885945327,0.011338542875068367,0.00048336853039889703,1.0,6.638007354551784e-18,1.0739108339735156e-16,-0.5936351147093993,-0.03320780418244268,0.0,6.938893903907228e-18,-11.159772301075872,-11.159772301075874,3.243471379950726,1.0,6.638007354551784e-18,1.0739108339735156e-16,1.0,6.638007354551784e-18,1.0739108339735156e-16,3.509717981546601,False,False,none,,False,1.0739108339735156e-16,0,-0.829549514570368,-0.002912383043360182,0.06153006887296841,0.00046154959199781997,0.029438945885759942,-12.70311004638696,-1.58788875579837,-5.671320111577631,-0.21127153183237457,5.460048579745257,0.005510367249484312,0.0036404249830530953,0.00264327078310443,-0.0026373965221079525,-0.0003146127791607133,0.7041937175887909,0.7041410506762017,0.0,-0.0014574314702102186,0.0014494553182655193,-0.0014574314702102186,-0.0014494553182655193,5.2666912589172864e-05,0.0,1.1102230246251565e-16,0.0,-1.427326926926227e-18,,,,2.220446049250313e-16,2.220446049250313e-16,6.0551237451534695e-31,1.7763568394002505e-15,True,,
fault|burst|c40|A|p0000|r003,PHASE9-FRESH-TWIN-ROUND-LEDGER-V1,fault,fault|burst,ab/c40/fault/burst,A,PHASE9-BACKEND-A-JOINT-FOCK-QUTRIT-GKSL-V1,40,fresh_cutoff36_40_44_bounded_repair,1800000,0,fault|burst|c40|A|p0000,3,False,XZ,,burst,,0,NUMPY_SEEDSEQUENCE_ADDRESSED,repair_c40_fault_burst_A__5d761bc71a9cbd09,3,-1,3,3,cd41f9662bc16e0c42fef83cd2dec1ed357bd2d8c10d1bfd6de96f8fac5e8b2d,0.00264327078310443,-0.0026373965221079525,0.988314084313489,0.011202605623432796,0.0004833100630782347,0.9999999999999986,7.010391653458373e-18,1.4555117424933459e-15,-0.5906245985482962,0.03207254442886702,0.0,0.0,-10.526012671901803,-10.526012671901803,2.9442986394791,0.9999999999999986,7.010391653458373e-18,1.4555117424933459e-15,0.9999999999999986,7.010391653458373e-18,1.4555117424933459e-15,3.498697694110265,False,False,none,,False,1.4555117424933459e-15,0,-0.8279014861034433,-0.002081589949567983,0.06114621528769127,0.00046162223466615464,0.029438868637474885,-16.063263944292157,-2.0079079930365196,-6.172733272797631,-1.2820211695357893,4.8907121032618415,0.005857922066884145,0.0036665444867753924,0.008478838960712207,-0.008348347188818696,0.0032325200075597124,0.40128957309451563,0.00047103196586419934,0.0,0.0019864558292960275,-0.006538119879645973,0.0019864558292960275,0.006538119879645973,0.40081854112865145,0.0,0.0,0.0,-5.2421992700651035e-20,,,,0.0,0.0,3.330669073875486e-16,0.0,True,,
fault|burst|c40|A|p0000|r004,PHASE9-FRESH-TWIN-ROUND-LEDGER-V1,fault,fault|burst,ab/c40/fault/burst,A,PHASE9-BACKEND-A-JOINT-FOCK-QUTRIT-GKSL-V1,40,fresh_cutoff36_40_44_bounded_repair,1800000,0,fault|burst|c40|A|p0000,4,False,IDLE,,burst,,0,NUMPY_SEEDSEQUENCE_ADDRESSED,repair_c40_fault_burst_A__5d761bc71a9cbd09,4,-1,4,4,3c9eea8a05d2a5344c71ecfaf77652b99d6e709bf41bb1e168375f0f23624a99,0.1684788389607122,0.1116516528111813,0.9888226202567278,0.010694664670752248,0.0004827150725198183,1.0,1.6581291147580764e-26,4.368427949285323e-17,-0.7604863801281155,0.306723900539361,0.0,0.0,-10.260456014400402,-10.260456014400402,3.004787008936088,1.0,1.6581291147580764e-26,4.368427949285323e-17,1.0,1.6581291147580764e-26,4.368427949285323e-17,3.408400548117945,False,False,none,,False,4.368427949285323e-17,0,-0.662929923287367,0.11220677514457908,0.05971070841722112,0.00046153357210652305,0.02943808252260242,-15.813607977704171,-1.9767009972130214,-2.6191887408229317,0.3222376286339914,2.941426369456923,0.12404644663277768,-0.09621189376616655,0.16622330851700215,0.10880428186681293,0.09088454392822902,0.42157387756075093,0.4207295732621104,0.0,-0.003966138046245448,-0.009443743758395105,-0.003966138046245448,0.009443743758395105,0.0008443042986405468,0.0,0.0,0.0,-9.88563335227908e-19,,,,0.0,0.0,3.6977855018330706e-32,0.0,True,,
fault|burst|c40|A|p0000|r005,PHASE9-FRESH-TWIN-ROUND-LEDGER-V1,fault,fault|burst,ab/c40/fault/burst,A,PHASE9-BACKEND-A-JOINT-FOCK-QUTRIT-GKSL-V1,40,fresh_cutoff36_40_44_bounded_repair,1800000,0,fault|burst|c40|A|p0000,5,False,HOLD,,burst,,0,NUMPY_SEEDSEQUENCE_ADDRESSED,repair_c40_fault_burst_A__5d761bc71a9cbd09,5,-1,5,5,13534d50d5c64db70d79b7b633fd6e51dabcd3135f0db0dc906be8b4d20748dc,0.16622330851700215,0.10880428186681293,0.9892870337114822,0.010230646346465509,0.0004823199420522432,1.0,3.333731541927011e-25,1.3983288956221535e-23,-0.7111422345969153,-0.10874619291615031,0.0,0.0,-8.003082961239894,-8.003082961239894,1.9344987210199986,1.0,3.333731541927011e-25,1.3983288956221535e-23,1.0,3.333731541927011e-25,1.3983288956221535e-23,3.32563988314788,False,False,none,,False,1.3983288956221535e-23,0,-0.665974620743262,0.10935894980017301,0.058398130376795504,0.00046159350556932853,0.02943756046684779,-11.77597319582575,-1.4719966494782188,6.721368149833184,5.4812725434775835,-1.2400956063555997,0.12297512467840746,-0.09243162885750071,0.16442684334922045,0.10647867970509765,0.08813095625186403,0.4312062711567357,0.42995867299382756,0.0,-0.0053586858244357395,-0.010878319083102196,-0.0053586858244357395,0.010878319083102196,0.00124759816290821,0.0,0.0,0.0,-2.8905970910605098e-18,,,,0.0,0.0,3.2555683388007884e-38,0.0,True,,
fault|burst|c40|A|p0000|r006,PHASE9-FRESH-TWIN-ROUND-LEDGER-V1,fault,fault|burst,ab/c40/fault/burst,A,PHASE9-BACKEND-A-JOINT-FOCK-QUTRIT-GKSL-V1,40,fresh_cutoff36_40_44_bounded_repair,1800000,0,fault|burst|c40|A|p0000,6,False,XZ,,burst,,0,NUMPY_SEEDSEQUENCE_ADDRESSED,repair_c40_fault_burst_A__5d761bc71a9cbd09,6,-1,6,6,7cbb4f0ff0ed9381ab7c804f8b680dff32a55413ecdf6f71bf20e1c890816398,0.16442684334922045,0.10647867970509765,0.9892422969758061,0.010275253891112604,0.00048244913308128154,0.9999999999962179,1.7121677969625647e-16,3.781915720958789e-12,-0.3732251160111455,0.2970569323987109,0.0,0.0,-8.640861452816473,-8.640861452816473,1.541931916641628,0.9999999999962179,1.7121677969625647e-16,3.781915720958789e-12,0.9999999999962179,1.7121677969625647e-16,3.781915720958789e-12,3.341834473162912,False,False,none,,False,3.781915720958789e-12,0,-0.667695143272769,0.10703349620814112,0.05852442988162233,0.00046167501072320036,0.029437731157147946,-20.747674676995565,-2.5934593346244457,3.570813960564581,-3.355621170575704,-6.926435131140285,0.12324759817537237,-0.08730392581927597,0.1671321631693267,0.10365011240115297,0.08672110312579254,0.2622096003478161,0.0032449884715975807,0.0,-0.008102720424706169,-0.018040877677447782,-0.008102720424706169,0.018040877677447782,0.2589646118762185,0.0,0.0,0.0,-6.968012141314653e-17,,,,0.0,0.0,2.2204460493068596e-16,0.0,True,,
fault|burst|c40|A|p0000|r007,PHASE9-FRESH-TWIN-ROUND-LEDGER-V1,fault,fault|burst,ab/c40/fault/burst,A,PHASE9-BACKEND-A-JOINT-FOCK-QUTRIT-GKSL-V1,40,fresh_cutoff36_40_44_bounded_repair,1800000,0,fault|burst|c40|A|p0000,7,False,IDLE,,burst,,0,NUMPY_SEEDSEQUENCE_ADDRESSED,repair_c40_fault_burst_A__5d761bc71a9cbd09,7,-1,7,7,46fc3c09c1487f87c4d7ab823988351b22b3b840e7853b7946c19726290a90b1,0.0071321631693266885,-0.01634988759884702,0.989626001944722,0.00989182393873795,0.0004821741165401513,1.0,2.859503455798626e-32,7.691599652113309e-20,-1.1453160400175952,0.18512737164396081,0.0,2.7755575615628914e-17,-16.68383794151711,-16.68383794151711,5.262821120301211,1.0,2.859503455798626e-32,7.691599652113309e-20,1.0,2.859503455798626e-32,7.691599652113309e-20,3.2754813983614177,False,False,none,,False,7.691599652113309e-20,0,-0.8256418881357597,-0.015795387364825848,0.057439008673713134,0.0004617734063354314,0.02943736779861482,-12.432311150536579,-1.5540388938170724,-5.118467873472135,-2.325013868231629,2.7934540052405064,0.00313068777200572,0.013887356890222339,0.006481317053770947,-0.012508276037050643,-0.003542799518130158,0.258632974956048,0.2545257628594522,0.0,0.010721505100045388,-0.0179832456786739,0.010721505100045388,0.0179832456786739,0.004107212096595764,0.0,0.0,0.0,-8.635298406165452e-17,,,,0.0,0.0,9.870390964986992e-34,0.0,True,,
fault|burst|c40|A|p0000|r008,PHASE9-FRESH-TWIN-ROUND-LEDGER-V1,fault,fault|burst,ab/c40/fault/burst,A,PHASE9-BACKEND-A-JOINT-FOCK-QUTRIT-GKSL-V1,40,fresh_cutoff36_40_44_bounded_repair,1800000,0,fault|burst|c40|A|p0000,8,False,HOLD,,burst,,0,NUMPY_SEEDSEQUENCE_ADDRESSED,repair_c40_fault_burst_A__5d761bc71a9cbd09,8,-1,8,8,54f677dab66428d2dec13eea5f29d4a18f6dece590aa2cabe94dbaf9758288e8,0.006481317053770947,-0.012508276037050643,0.9899486306908418,0.009569550067550841,0.0004818192416072721,1.0,3.0018634697515265e-28,2.271140168097947e-20,-0.9885431392017076,0.042089695578077846,1.1102230246251565e-16,1.3877787807814457e-17,-12.78314419952488,-12.783144199524884,4.329971406767403,1.0,3.0018634697515265e-28,2.271140168097947e-20,1.0,3.0018634697515265e-28,2.271140168097947e-20,3.2129941977608305,False,False,none,,False,2.271140168097947e-20,0,-0.8268409014760264,-0.011954183909202278,0.05652596570251535,0.00046173728124849383,0.029436898928939473,-14.96474221692635,-1.8705927771157937,-8.368344333682572,-3.7535063638577038,4.614837969824868,0.002788162146280169,0.012716823754751794,0.003571962017532353,-0.011729170818167968,-0.005282690825619151,0.25365137968973417,0.24876221609847565,0.0,0.012373910813271303,-0.016486868012521992,0.012373910813271303,0.016486868012521992,0.004889163591258533,0.0,1.1102230246251565e-16,0.0,-5.5359375029321913e-17,,,,0.0,0.0,1.2638915618773642e-34,3.552713678800501e-15,True,,
fault|burst|c40|A|p0000|r009,PHASE9-FRESH-TWIN-ROUND-LEDGER-V1,fault,fault|burst,ab/c40/fault/burst,A,PHASE9-BACKEND-A-JOINT-FOCK-QUTRIT-GKSL-V1,40,fresh_cutoff36_40_44_bounded_repair,1800000,0,fault|burst|c40|A|p0000,9,False,XZ,,burst,,0,NUMPY_SEEDSEQUENCE_ADDRESSED,repair_c40_fault_burst_A__5d761bc71a9cbd09,9,-1,9,9,54b1e059dbd46c11362f1ae1c042297aa468e5d09b2076338608346ec1cdf59b,0.003571962017532353,-0.011729170818167968,0.9896352452594958,0.00988257114833117,0.000482183592173156,1.0,1.2380488272733855e-21,4.960869319001146e-21,-0.733948375988744,-0.18558548491561402,0.0,2.7755575615628914e-17,-11.426995057144865,-11.426995057144865,3.5539946974449457,1.0,1.2380488272733855e-21,4.960869319001146e-21,1.0,1.2380488272733855e-21,4.960869319001146e-21,3.288705598651743,False,False,none,,False,4.960869319001146e-21,0,-0.8292178109769575,-0.01117465968716884,0.057412816350440994,0.0004617911989076828,0.029437380318054596,-15.090245739221022,-1.8862807174026277,-5.828492075642222,-1.5431107438955403,4.285381331746681,0.005506386099851181,0.013736276135830155,0.009677596525507483,-0.014371063027910214,-0.002235439104922408,0.179654383827986,0.0060759701850235165,0.0,-0.020191261854704615,-0.01225501740020065,-0.020191261854704615,0.01225501740020065,0.17357841364296248,0.0,2.220446049250313e-16,0.0,-4.4274791814680025e-20,,,,0.0,0.0,1.6739039555709374e-35,0.0,True,,
