row_id,row_schema,layer,cell_base,cell_id,backend,backend_id,cutoff,convergence_role,seed,seed_position,trajectory_id,round_index,terminal_round,action,probe_id,scenario,initial_state,logical_label,rng_namespace,archive_chunk,archive_row_index,density_index,raw_iq_index,heldout_iq_index,heldout_window_sha256,pre_readout_i,pre_readout_q,pre_measurement_g,pre_measurement_e,pre_measurement_f,pre_reset_g,pre_reset_e,pre_reset_f,integrated_i,integrated_q,integrated_i_mean_error,integrated_q_mean_error,raw_log_evidence,raw_reference_log_evidence,raw_within_window_residual,posterior_g,posterior_e,posterior_f,level_g,level_e,level_f,mean_photon,reset_requested,reset_hidden_success,reset_ack,rao_blackwell_reset_success,leakage_resident,leakage_residence_probability,leakage_age,predictive_mean_i,predictive_mean_q,predictive_cov_ii,predictive_cov_iq,predictive_cov_qq,heldout_reference_log_evidence,heldout_proper_score_per_sample,heldout_llr_ge_per_sample,heldout_llr_gf_per_sample,heldout_llr_ef_per_sample,drift_0,drift_1,drift_2,drift_3,drift_4,logical_survival,logical_block_00_real,logical_block_00_imag,logical_block_01_real,logical_block_01_imag,logical_block_10_real,logical_block_10_imag,logical_block_11_real,logical_block_11_imag,density_trace_error,density_hermiticity_frobenius,density_minimum_eigenvalue,density_quantization_frobenius_error,density_quantization_certified_frobenius_bound,density_quantization_trace_distance_bound,posterior_normalization_error,level_normalization_error,reference_posterior_l1_error,reference_log_evidence_error,conservation_pass,exception_type,exception_message
fault|burst|c40|B|p0000|r000,PHASE9-FRESH-TWIN-ROUND-LEDGER-V1,fault,fault|burst,ab/c40/fault/burst,B,PHASE9-BACKEND-B-DENSE-STRANG-ANALYTIC-KRAUS-V1,40,fresh_cutoff36_40_44_bounded_repair,1801000,0,fault|burst|c40|B|p0000,0,False,XZ,,burst,,0,BLAKE2B_ADDRESS_PYTHON_RANDOM_BOX_MULLER,repair_c40_fault_burst_B__a412a1b88634b35a,0,-1,0,0,395903fff1ad7a554afe068319c45deee1d9284f11e19fd611892efb9ea61a8a,0.0,0.0,0.9869438127366448,0.012571760286186288,0.00048442697716894964,1.0,5.096562864653494e-30,4.940625829003269e-21,-1.0687481172658122,0.07067736860532675,0.0,0.0,-8.41565066051797,-8.415650660517972,2.0853655956250123,1.0,5.096562864653494e-30,4.940625829003269e-21,1.0,5.096562864653494e-30,4.940625829003269e-21,3.6932962421964897,False,False,none,,False,4.940625829003269e-21,0,-0.8282162445828897,0.000557091023744292,0.06500785371801046,0.000461391835576335,0.029440344326897197,-13.207199613840212,-1.6508999517300265,-5.320000065854681,-3.0187669558286903,2.301233110025991,0.004951818110714663,0.000847612201149855,0.0005586613637959532,-0.003300896284780902,0.0026922754428865036,0.7800422849942151,6.7187605073419675e-06,0.0,-0.0009757128557166017,-0.00017119094708048472,-0.0009757128557166017,0.00017119094708048472,0.7800355662337078,0.0,0.0,0.0,-2.09190662525407e-17,,,,0.0,0.0,2.0312542458579894e-35,1.7763568394002505e-15,True,,
fault|burst|c40|B|p0000|r001,PHASE9-FRESH-TWIN-ROUND-LEDGER-V1,fault,fault|burst,ab/c40/fault/burst,B,PHASE9-BACKEND-B-DENSE-STRANG-ANALYTIC-KRAUS-V1,40,fresh_cutoff36_40_44_bounded_repair,1801000,0,fault|burst|c40|B|p0000,1,False,IDLE,,burst,,0,BLAKE2B_ADDRESS_PYTHON_RANDOM_BOX_MULLER,repair_c40_fault_burst_B__a412a1b88634b35a,1,-1,1,1,b714b7f8fd2c0e100e3393876180fe9493a664bec0575675bb07652c8a12a2e1,0.0005586613637959532,-0.003300896284780902,0.9876086395058039,0.011907562466739241,0.0004837980274569409,1.0,3.871878933950131e-23,8.597680413965495e-19,-0.7988548725305078,-0.002443937849779112,0.0,8.673617379884035e-19,-4.37423321504536,-4.374233215045359,0.6256811716058,1.0,3.871878933950131e-23,8.597680413965495e-19,1.0,3.871878933950131e-23,8.597680413965495e-19,3.597053770545646,False,False,none,,False,8.597680413965495e-19,0,-0.8287872541194091,-0.0027445285532054203,0.06313580839648712,0.0004614213056887821,0.029439513346259064,-17.72728196919533,-2.2159102461494165,-1.1092927379385422,-4.653294769369498,-3.5440020314309555,0.004899466357182857,0.002191308902579874,-0.0009395931263553158,-0.005159879951658548,0.0020823966435968315,0.7454784411773949,0.7454646089546595,0.0,0.0001961081137046384,0.0003585021530665869,0.0001961081137046384,-0.0003585021530665869,1.3832222735453663e-05,0.0,0.0,0.0,-5.3278865754249166e-17,,,,0.0,0.0,2.6000230573380307e-33,8.881784197001252e-16,True,,
fault|burst|c40|B|p0000|r002,PHASE9-FRESH-TWIN-ROUND-LEDGER-V1,fault,fault|burst,ab/c40/fault/burst,B,PHASE9-BACKEND-B-DENSE-STRANG-ANALYTIC-KRAUS-V1,40,fresh_cutoff36_40_44_bounded_repair,1801000,0,fault|burst|c40|B|p0000,2,False,HOLD,,burst,,0,BLAKE2B_ADDRESS_PYTHON_RANDOM_BOX_MULLER,repair_c40_fault_burst_B__a412a1b88634b35a,2,-1,2,2,63be3a14de3daa103e66ab3d99d20b194a0596a824e2c44bbffd597e743141de,-0.0009395931263553158,-0.005159879951658548,0.9881787585658228,0.011337913834224245,0.00048332759995296207,1.0,1.0455616113968853e-27,8.87057960999973e-24,-0.9777260184041241,-0.16070355096268682,0.0,0.0,-9.280932512937209,-9.280932512937209,2.5852828880129475,1.0,1.0455616113968853e-27,8.87057960999973e-24,1.0,1.0455616113968853e-27,8.87057960999973e-24,3.5096579564623234,False,False,none,,False,8.87057960999973e-24,0,-0.831254311148214,-0.004604053211712642,0.06152826484531515,0.00046151112284719423,0.02943889180757295,-12.682891475673426,-1.5853614344591782,-5.683890758755601,-0.22600028668477368,5.457890472070828,0.005621528278236017,0.004767629714860822,0.003975992741834091,-0.001792651914441713,0.0025594400298524487,0.7045256352214972,0.7044731081568492,0.0,-0.001455039481144235,0.0014607944753139727,-0.001455039481144235,-0.0014607944753139727,5.252706464800097e-05,0.0,2.220446049250313e-16,0.0,-1.0932720671174433e-16,,,,0.0,0.0,1.6173809296012468e-38,0.0,True,,
fault|burst|c40|B|p0000|r003,PHASE9-FRESH-TWIN-ROUND-LEDGER-V1,fault,fault|burst,ab/c40/fault/burst,B,PHASE9-BACKEND-B-DENSE-STRANG-ANALYTIC-KRAUS-V1,40,fresh_cutoff36_40_44_bounded_repair,1801000,0,fault|burst|c40|B|p0000,3,False,XZ,,burst,,0,BLAKE2B_ADDRESS_PYTHON_RANDOM_BOX_MULLER,repair_c40_fault_burst_B__a412a1b88634b35a,3,-1,3,3,cd41f9662bc16e0c42fef83cd2dec1ed357bd2d8c10d1bfd6de96f8fac5e8b2d,0.003975992741834091,-0.001792651914441713,0.9883148027826211,0.011201891341166177,0.00048330587621268683,1.0,3.2029738782277825e-21,4.8705829471280864e-20,-0.7195865435097699,-0.12885250312243451,0.0,0.0,-13.145977369785157,-13.145977369785157,4.43146293837149,1.0,3.2029738782277825e-21,4.8705829471280864e-20,1.0,3.2029738782277825e-21,4.8705829471280864e-20,3.4986499545952836,False,False,none,,False,4.8705829471280864e-20,0,-0.8265699819834026,-0.001236850156797123,0.06114419537214279,0.00046161891255692565,0.029438863105697478,-16.06694315855205,-2.0083678948190062,-6.162899820845198,-1.2728880533737383,4.89001176747146,0.0056003225049036124,0.009483464844869931,0.009425659935240551,-0.0034817932899236523,0.00704183357749522,0.40144890725161664,0.0004700673761001252,0.0,0.0019911642683721155,-0.006525974536141313,0.0019911642683721155,0.006525974536141313,0.4009788398755165,0.0,2.220446049250313e-16,0.0,-2.894851654000779e-19,,,,0.0,0.0,6.056146895436425e-34,0.0,True,,
fault|burst|c40|B|p0000|r004,PHASE9-FRESH-TWIN-ROUND-LEDGER-V1,fault,fault|burst,ab/c40/fault/burst,B,PHASE9-BACKEND-B-DENSE-STRANG-ANALYTIC-KRAUS-V1,40,fresh_cutoff36_40_44_bounded_repair,1801000,0,fault|burst|c40|B|p0000,4,False,IDLE,,burst,,0,BLAKE2B_ADDRESS_PYTHON_RANDOM_BOX_MULLER,repair_c40_fault_burst_B__a412a1b88634b35a,4,-1,4,4,3c9eea8a05d2a5344c71ecfaf77652b99d6e709bf41bb1e168375f0f23624a99,0.16942565993524056,0.11651820671007634,0.9888219877074538,0.010695302660625999,0.00048270963192011135,1.0,2.1269466802383693e-24,6.767016876166143e-18,-0.6773052685160568,0.20410457113259656,1.1102230246251565e-16,0.0,-9.699607259908333,-9.699607259908335,3.0392006448759554,1.0,2.1269466802383693e-24,6.767016876166143e-18,1.0,2.1269466802383693e-24,6.767016876166143e-18,3.4087150264546593,False,False,none,,False,6.767016876166143e-18,0,-0.661982022354563,0.11707332278678446,0.059712508120434535,0.00046152777073771355,0.029438075334355728,-15.841412697570927,-1.980176587196366,-2.612202648562958,0.3500211998669691,2.962223848429927,0.1246246241317306,-0.08772851432161508,0.17009917315342313,0.11733327538322276,0.095198589531226,0.42074136918344707,0.41988977264737165,0.0,-0.0039293831913380225,-0.009526443933956895,-0.0039293831913380225,0.009526443933956895,0.0008515965360754577,0.0,4.440892098500626e-16,0.0,-1.9536491268854712e-17,,,,0.0,0.0,2.3111317289700222e-33,1.7763568394002505e-15,True,,
fault|burst|c40|B|p0000|r005,PHASE9-FRESH-TWIN-ROUND-LEDGER-V1,fault,fault|burst,ab/c40/fault/burst,B,PHASE9-BACKEND-B-DENSE-STRANG-ANALYTIC-KRAUS-V1,40,fresh_cutoff36_40_44_bounded_repair,1801000,0,fault|burst|c40|B|p0000,5,False,HOLD,,burst,,0,BLAKE2B_ADDRESS_PYTHON_RANDOM_BOX_MULLER,repair_c40_fault_burst_B__a412a1b88634b35a,5,-1,5,5,13534d50d5c64db70d79b7b633fd6e51dabcd3135f0db0dc906be8b4d20748dc,0.17009917315342313,0.11733327538322276,0.9892844716540431,0.010233211268602162,0.00048231707735460976,1.0,5.2560262370429255e-21,3.032425615385988e-20,-0.5435236291525612,-0.028864359823076273,0.0,3.469446951953614e-18,-8.025079382477974,-8.025079382477973,2.00947022604365,1.0,5.2560262370429255e-21,3.032425615385988e-20,1.0,5.2560262370429255e-21,3.032425615385988e-20,3.3263674350058303,False,False,none,,False,3.032425615385988e-20,0,-0.6620943981742017,0.11788794002218055,0.05840538575258456,0.0004615883467834402,0.029437556681939762,-11.834264789294235,-1.4792830986617793,6.74996610939011,5.538142454436045,-1.211823654954065,0.12479274165120753,-0.08738377385082777,0.16839979765262447,0.11960062676513822,0.09310511068717171,0.4293053492916842,0.42803091195374426,0.0,-0.005219930445731583,-0.011181099397430313,-0.005219930445731583,0.011181099397430313,0.0012744373379399503,0.0,2.220446049250313e-16,0.0,-7.306085926750971e-18,,,,0.0,0.0,1.670142373648306e-34,1.7763568394002505e-15,True,,
fault|burst|c40|B|p0000|r006,PHASE9-FRESH-TWIN-ROUND-LEDGER-V1,fault,fault|burst,ab/c40/fault/burst,B,PHASE9-BACKEND-B-DENSE-STRANG-ANALYTIC-KRAUS-V1,40,fresh_cutoff36_40_44_bounded_repair,1801000,0,fault|burst|c40|B|p0000,6,False,XZ,,burst,,0,BLAKE2B_ADDRESS_PYTHON_RANDOM_BOX_MULLER,repair_c40_fault_burst_B__a412a1b88634b35a,6,-1,6,6,7cbb4f0ff0ed9381ab7c804f8b680dff32a55413ecdf6f71bf20e1c890816398,0.16839979765262447,0.11960062676513822,0.9892365089895805,0.010281042440870865,0.0004824485695486207,1.0,8.306891899369627e-27,2.3256514085132356e-20,-0.7715996788181856,0.13407123646422753,0.0,0.0,-5.700413456505806,-5.700413456505807,1.191547300472748,1.0,8.306891899369627e-27,2.3256514085132356e-20,1.0,8.306891899369627e-27,2.3256514085132356e-20,3.3431587927443194,False,False,none,,False,2.3256514085132356e-20,0,-0.6637123489137787,0.12015544262011914,0.05854080644515383,0.0004616690120372423,0.029437730412595113,-20.753519438798882,-2.5941899298498603,3.600128293532407,-3.2754681745820395,-6.875596468114447,0.12832720851789917,-0.08456560756482481,0.17056222124553788,0.1169288964467298,0.09341668525478619,0.2601846047539599,0.00334576707953324,0.0,-0.008448680490467155,-0.018281203231093158,-0.008448680490467155,0.018281203231093158,0.25683883767442667,0.0,1.1102230246251565e-16,0.0,-8.553494464621634e-17,,,,0.0,0.0,1.2939849849457655e-34,8.881784197001252e-16,True,,
fault|burst|c40|B|p0000|r007,PHASE9-FRESH-TWIN-ROUND-LEDGER-V1,fault,fault|burst,ab/c40/fault/burst,B,PHASE9-BACKEND-B-DENSE-STRANG-ANALYTIC-KRAUS-V1,40,fresh_cutoff36_40_44_bounded_repair,1801000,0,fault|burst|c40|B|p0000,7,False,IDLE,,burst,,0,BLAKE2B_ADDRESS_PYTHON_RANDOM_BOX_MULLER,repair_c40_fault_burst_B__a412a1b88634b35a,7,-1,7,7,46fc3c09c1487f87c4d7ab823988351b22b3b840e7853b7946c19726290a90b1,0.010562221245537878,-0.003071103553270199,0.9896205035561912,0.009897394535596488,0.0004821019082123556,1.0,1.617375656711151e-30,9.845587711956314e-24,-1.0735324259293046,-0.07658828498084863,0.0,0.0,-7.9765990816713845,-7.976599081671385,1.8254262678762412,1.0,1.617375656711151e-30,9.845587711956314e-24,1.0,1.617375656711151e-30,9.845587711956314e-24,3.2766602808276777,False,False,none,,False,9.845587711956314e-24,0,-0.8222024214219678,-0.002516686358825991,0.057454731294178496,0.0004616990368200525,0.029437272395185343,-12.354985532761651,-1.5443731915952064,-5.093159285236203,-2.2460809211083963,2.8470783641278063,0.008730780937479882,0.015421765868960952,0.011256671395746173,-0.004209483476709229,0.0034483049924458327,0.2567221708959727,0.25245513713192125,0.0,0.011226422150680532,-0.018325485904171133,0.011226422150680532,0.018325485904171133,0.004267033764051445,0.0,0.0,0.0,-3.259434835752776e-17,,,,0.0,0.0,3.3795472395230016e-38,8.881784197001252e-16,True,,
fault|burst|c40|B|p0000|r008,PHASE9-FRESH-TWIN-ROUND-LEDGER-V1,fault,fault|burst,ab/c40/fault/burst,B,PHASE9-BACKEND-B-DENSE-STRANG-ANALYTIC-KRAUS-V1,40,fresh_cutoff36_40_44_bounded_repair,1801000,0,fault|burst|c40|B|p0000,8,False,HOLD,,burst,,0,BLAKE2B_ADDRESS_PYTHON_RANDOM_BOX_MULLER,repair_c40_fault_burst_B__a412a1b88634b35a,8,-1,8,8,54f677dab66428d2dec13eea5f29d4a18f6dece590aa2cabe94dbaf9758288e8,0.011256671395746173,-0.004209483476709229,0.9899440644539445,0.009574117869750747,0.0004818176763047946,1.0,3.136558511104327e-28,4.819197032275306e-20,-0.9830323496624174,0.06868571477465629,0.0,0.0,-10.49797251732084,-10.497972517320841,3.260002169242109,1.0,3.136558511104327e-28,4.819197032275306e-20,1.0,3.136558511104327e-28,4.819197032275306e-20,3.2139230173382916,False,False,none,,False,4.819197032275306e-20,0,-0.8220577832008185,-0.0036553931489587154,0.05653890648929977,0.00046173147926665105,0.029436896860821783,-14.868432698661866,-1.8585540873327333,-8.333109514319041,-3.6944670295040947,4.638642484814946,0.009714971896731614,0.015075480563608714,0.010594047891755113,-0.006199615674111425,0.002351187837726384,0.2518765068307556,0.246771169288202,0.0,0.013043505016916649,-0.01690526905747865,0.013043505016916649,0.01690526905747865,0.005105337542553568,0.0,1.1102230246251565e-16,0.0,-9.710337080071467e-18,,,,0.0,0.0,2.106485922411921e-34,1.7763568394002505e-15,True,,
fault|burst|c40|B|p0000|r009,PHASE9-FRESH-TWIN-ROUND-LEDGER-V1,fault,fault|burst,ab/c40/fault/burst,B,PHASE9-BACKEND-B-DENSE-STRANG-ANALYTIC-KRAUS-V1,40,fresh_cutoff36_40_44_bounded_repair,1801000,0,fault|burst|c40|B|p0000,9,False,XZ,,burst,,0,BLAKE2B_ADDRESS_PYTHON_RANDOM_BOX_MULLER,repair_c40_fault_burst_B__a412a1b88634b35a,9,-1,9,9,54b1e059dbd46c11362f1ae1c042297aa468e5d09b2076338608346ec1cdf59b,0.010594047891755113,-0.006199615674111425,0.9896313660398396,0.00988645322826706,0.0004821807318934231,1.0,3.112946854191515e-29,9.351360580482866e-26,-1.0233806860131844,-0.23338502735204983,0.0,2.7755575615628914e-17,-15.53609329709194,-15.53609329709194,5.1068075866959335,1.0,3.112946854191515e-29,9.351360580482866e-26,1.0,3.112946854191515e-29,9.351360580482866e-26,3.2894592679048,False,False,none,,False,9.351360580482866e-26,0,-0.8221891279980815,-0.005645107832433989,0.057423806376044495,0.00046178480144795436,0.029437376538982568,-15.10854198522373,-1.8885677481529664,-5.776679810077209,-1.4896048350033757,4.287074975073834,0.011718917399433076,0.018753720091714204,0.01647998690880477,-0.006147384361100498,0.004394585200759186,0.17777471611686485,0.006433155843638874,0.0,-0.021070426816986326,-0.012236391455038648,-0.021070426816986326,0.012236391455038648,0.17134156027322597,0.0,0.0,0.0,-1.275555744413976e-16,,,,0.0,0.0,2.526541131177645e-40,0.0,True,,
