row_id,row_schema,layer,cell_base,cell_id,backend,backend_id,cutoff,convergence_role,seed,seed_position,trajectory_id,round_index,terminal_round,action,probe_id,scenario,initial_state,logical_label,rng_namespace,archive_chunk,archive_row_index,density_index,raw_iq_index,heldout_iq_index,heldout_window_sha256,pre_readout_i,pre_readout_q,pre_measurement_g,pre_measurement_e,pre_measurement_f,pre_reset_g,pre_reset_e,pre_reset_f,integrated_i,integrated_q,integrated_i_mean_error,integrated_q_mean_error,raw_log_evidence,raw_reference_log_evidence,raw_within_window_residual,posterior_g,posterior_e,posterior_f,level_g,level_e,level_f,mean_photon,reset_requested,reset_hidden_success,reset_ack,rao_blackwell_reset_success,leakage_resident,leakage_residence_probability,leakage_age,predictive_mean_i,predictive_mean_q,predictive_cov_ii,predictive_cov_iq,predictive_cov_qq,heldout_reference_log_evidence,heldout_proper_score_per_sample,heldout_llr_ge_per_sample,heldout_llr_gf_per_sample,heldout_llr_ef_per_sample,drift_0,drift_1,drift_2,drift_3,drift_4,logical_survival,logical_block_00_real,logical_block_00_imag,logical_block_01_real,logical_block_01_imag,logical_block_10_real,logical_block_10_imag,logical_block_11_real,logical_block_11_imag,density_trace_error,density_hermiticity_frobenius,density_minimum_eigenvalue,density_quantization_frobenius_error,density_quantization_certified_frobenius_bound,density_quantization_trace_distance_bound,posterior_normalization_error,level_normalization_error,reference_posterior_l1_error,reference_log_evidence_error,conservation_pass,exception_type,exception_message
fault|compound|c40|A|p0000|r000,PHASE9-FRESH-TWIN-ROUND-LEDGER-V1,fault,fault|compound,ab/c40/fault/compound,A,PHASE9-BACKEND-A-JOINT-FOCK-QUTRIT-GKSL-V1,40,fresh_cutoff36_40_44_bounded_repair,1800000,0,fault|compound|c40|A|p0000,0,False,X,,compound,,0,NUMPY_SEEDSEQUENCE_ADDRESSED,repair_c40_fault_compound_A__d682a3a23b28d688,0,-1,0,0,4cf69f7cf3052520fe13bdccd9160cb4eb913a07b45deda6c6709eb4b59c2f8c,0.0,0.0,0.9870126151830004,0.012503060239384139,0.00048432457761539405,1.0,1.1081179087809756e-19,8.444109857313302e-18,-0.6654111989278816,-0.0410172323185217,0.0,0.0,-14.503175473727788,-14.503175473727788,5.027253875307156,1.0,1.1081179087809756e-19,8.444109857313302e-18,1.0,1.1081179087809756e-19,8.444109857313302e-18,3.681268063050358,False,False,none,,False,8.444109857313302e-18,0,-0.8283331217020738,0.0005569732642577032,0.06481431498397014,0.0004613594026871774,0.02944020903467926,-20.29730044818878,-2.5371625560235973,0.3077768655965478,-3.8208225770479873,-4.128599442644536,0.004928823420025182,-0.00015255219688865292,0.0012597444654646752,-0.0019393473534301542,0.0005213498590539588,0.8644319357869914,7.443833306099997e-06,0.0,0.0011307689194837685,0.00019314132058839058,0.0011307689194837685,-0.00019314132058839058,0.8644244919536853,0.0,0.0,0.0,-4.1997263036763545e-17,,,,0.0,0.0,2.1064858766735392e-32,0.0,True,,
fault|compound|c40|A|p0000|r001,PHASE9-FRESH-TWIN-ROUND-LEDGER-V1,fault,fault|compound,ab/c40/fault/compound,A,PHASE9-BACKEND-A-JOINT-FOCK-QUTRIT-GKSL-V1,40,fresh_cutoff36_40_44_bounded_repair,1800000,0,fault|compound|c40|A|p0000,1,False,Z,,compound,,0,NUMPY_SEEDSEQUENCE_ADDRESSED,repair_c40_fault_compound_A__d682a3a23b28d688,1,-1,1,1,8cbac80eb7b7fa2aa5bff7d092a52b66bbfa29488a33e1be58ab460af9199be9,0.0012597444654646752,-0.0019393473534301542,0.9876079879478238,0.011908171950037915,0.00048384010213835027,0.9999999999988596,7.158671610877253e-20,1.1403770382521089e-12,-0.6707173814886868,0.2577852976153128,0.0,0.0,-11.465963199948256,-11.465963199948256,3.120835564989636,0.9999999999988596,7.158671610877253e-20,1.1403770382521089e-12,0.9999999999988596,7.158671610877253e-20,1.1403770382521089e-12,3.5970917253161105,False,False,none,,False,1.1403770382521089e-12,0,-0.8280850991326533,-0.0013829312359710515,0.06313755592341833,0.0004614608379095916,0.0294395689361822,-17.40529800885131,-2.175662251106414,-7.856846554249853,-3.64947994596713,4.207366608282723,0.005033787308743832,0.002857774655383741,0.0007784992911766806,-0.0034754568533189134,0.0007873362844668058,0.7493344980259198,0.7493215483095049,0.0,-0.0003759063286997839,-0.0003502523462946094,-0.0003759063286997839,0.0003502523462946094,1.2949716414890698e-05,0.0,1.1102230246251565e-16,0.0,-5.582401894904509e-17,,,,0.0,0.0,2.423380917506067e-27,0.0,True,,
fault|compound|c40|A|p0000|r002,PHASE9-FRESH-TWIN-ROUND-LEDGER-V1,fault,fault|compound,ab/c40/fault/compound,A,PHASE9-BACKEND-A-JOINT-FOCK-QUTRIT-GKSL-V1,40,fresh_cutoff36_40_44_bounded_repair,1800000,0,fault|compound|c40|A|p0000,2,False,IDLE,,compound,,0,NUMPY_SEEDSEQUENCE_ADDRESSED,repair_c40_fault_compound_A__d682a3a23b28d688,2,-1,2,2,de6babf747944ca7591cbc7daa8ee938a03914ed70a75239e1313dc6e40132a3,0.0007784992911766806,-0.0034754568533189134,0.9881782353455174,0.011338398176918753,0.00048336647756386003,1.0,6.637921657064256e-18,1.0739061136611615e-16,-0.5936207147093994,-0.03321500418244268,0.0,6.938893903907228e-18,-11.159772152569268,-11.159772152569268,3.243471379950726,1.0,6.637921657064256e-18,1.0739061136611615e-16,1.0,6.637921657064256e-18,1.0739061136611615e-16,3.50970032075692,False,False,none,,False,1.0739061136611615e-16,0,-0.8295353623021322,-0.002919585404120474,0.06152965896596768,0.0004615477695334247,0.02943894317351017,-13.246703141311112,-1.655837892663889,-4.724893496432445,-1.4150133650184875,3.3098801314139576,0.005510367249484312,0.003677362483053095,0.0025675555831044293,-0.0025995389221079527,-0.00034536277916071315,0.707413261269317,0.7073655271768333,0.0,-0.0011253086034346148,0.001535550083259625,-0.0011253086034346148,-0.001535550083259625,4.7734092483736924e-05,0.0,1.1102230246251565e-16,0.0,-8.181589231020867e-17,,,,2.220446049250313e-16,2.220446049250313e-16,2.1339303783810573e-31,0.0,True,,
fault|compound|c40|A|p0000|r003,PHASE9-FRESH-TWIN-ROUND-LEDGER-V1,fault,fault|compound,ab/c40/fault/compound,A,PHASE9-BACKEND-A-JOINT-FOCK-QUTRIT-GKSL-V1,40,fresh_cutoff36_40_44_bounded_repair,1800000,0,fault|compound|c40|A|p0000,3,False,XZ,,compound,,0,NUMPY_SEEDSEQUENCE_ADDRESSED,repair_c40_fault_compound_A__d682a3a23b28d688,3,-1,3,3,d07964aac53c0040bb298fd4f5f532f05eb9994782a70518014d94e88b548d27,0.18256755558310442,-0.14259953892210797,0.9883166013216219,0.011200200540068596,0.0004831981383094037,0.9999999999999984,7.008868745027729e-18,1.4551709696277832e-15,-0.4107003137482962,-0.10788959797113301,0.0,0.0,-10.52601012513558,-10.52601012513558,2.9442986394791,0.9999999999999984,7.008868745027729e-18,1.4551709696277832e-15,0.9999999999999984,7.008868745027729e-18,1.4551709696277832e-15,3.4981456831314395,False,False,none,,False,1.4551709696277832e-15,0,-0.6479813850812158,-0.14204386106305214,0.06113934650644665,0.000461517657189424,0.02943872076003114,-13.250610476952758,-1.6563263096190948,8.801530665706636,4.501124085091248,-4.300406580615389,0.10435792206688414,0.0825029279242754,0.18696372948231219,-0.14719079244961872,0.12020253875755971,0.40482598392196056,0.0005388551183607291,0.0,0.001461283673689736,-0.007485115677164713,0.001461283673689736,0.007485115677164713,0.40428712880359985,0.0,0.0,0.0,-2.7220677295607258e-17,,,,1.1102230246251565e-16,1.1102230246251565e-16,2.2204460492503905e-16,0.0,True,,
fault|compound|c40|A|p0000|r004,PHASE9-FRESH-TWIN-ROUND-LEDGER-V1,fault,fault|compound,ab/c40/fault/compound,A,PHASE9-BACKEND-A-JOINT-FOCK-QUTRIT-GKSL-V1,40,fresh_cutoff36_40_44_bounded_repair,1800000,0,fault|compound|c40|A|p0000,4,False,RESET,,compound,,0,NUMPY_SEEDSEQUENCE_ADDRESSED,repair_c40_fault_compound_A__d682a3a23b28d688,4,-1,4,4,e3ce7fa89a1db07ff0fd6a3c2c36f981a0350e007bb84e9df2d1b87a4fd3945c,0.18696372948231219,-0.14719079244961872,0.9887828234404282,0.010734393585610388,0.00048278297396134334,1.0,1.6643557756384634e-26,4.369218283631942e-17,-0.7420014896065156,0.047881455278560976,0.0,6.938893903907228e-18,-10.260496261878918,-10.26049626187892,3.004787008936088,1.0,1.6643557756384634e-26,4.369218283631942e-17,1.0,0.0,0.0,3.420514322044701,True,True,success,1.0,False,0.0,0,-0.644377435894283,-0.14663559202956317,0.05982305605159753,0.00046156096422655176,0.029438172235557447,-14.630987491227737,-1.8288734364034671,-4.6276689384029694,-1.8500193323574283,2.7776496060455416,0.10286894663277768,0.07994194391977096,0.18726031991442935,-0.1493174238319007,0.118980312209479,0.39115383608078996,0.3898476221931742,0.0,-0.001688388786508982,-0.013663135124645271,-0.001688388786508982,0.013663135124645271,0.0013062138876157759,0.0,0.0,0.0,-1.553075866142604e-19,,,,0.0,0.0,1.1709654073066845e-31,1.7763568394002505e-15,True,,
fault|compound|c40|A|p0000|r005,PHASE9-FRESH-TWIN-ROUND-LEDGER-V1,fault,fault|compound,ab/c40/fault/compound,A,PHASE9-BACKEND-A-JOINT-FOCK-QUTRIT-GKSL-V1,40,fresh_cutoff36_40_44_bounded_repair,1800000,0,fault|compound|c40|A|p0000,5,False,HOLD,,compound,,0,NUMPY_SEEDSEQUENCE_ADDRESSED,repair_c40_fault_compound_A__d682a3a23b28d688,5,-1,5,5,7fa09c7ee9fea7811afc64d4e0bb91aca27138093cbe21d7ad1f0eba4807fdca,0.18726031991442935,-0.1493174238319007,0.9891905983925247,0.010327025262049056,0.00048237634542627007,1.0,3.365465386435216e-25,1.3986287565469043e-23,-0.6901052231994881,-0.3668678986148639,0.0,5.551115123125783e-17,-8.003180445606125,-8.003180445606125,1.9344987210199986,1.0,3.365465386435216e-25,1.3986287565469043e-23,1.0,3.365465386435216e-25,1.3986287565469043e-23,3.349133523223916,False,False,none,,False,1.3986287565469043e-23,0,-0.6447737172464749,-0.1487626910346605,0.05867084409615648,0.0004615565688333337,0.029437634988349906,-8.905496793698816,-1.113187099212352,6.243197051439446,3.0244268845906337,-3.2187701668488122,0.10211528717840745,0.08107990126314774,0.18529555865546823,-0.14957805234802626,0.11552433032608275,0.3737908222164099,0.3713113817323741,0.0,0.00028299497399242866,-0.019683413178206422,0.00028299497399242866,0.019683413178206422,0.0024794404840357866,0.0,0.0,0.0,-5.765592040231351e-17,,,,0.0,0.0,1.5841623087253484e-38,0.0,True,,
fault|compound|c40|A|p0000|r006,PHASE9-FRESH-TWIN-ROUND-LEDGER-V1,fault,fault|compound,ab/c40/fault/compound,A,PHASE9-BACKEND-A-JOINT-FOCK-QUTRIT-GKSL-V1,40,fresh_cutoff36_40_44_bounded_repair,1800000,0,fault|compound|c40|A|p0000,6,False,X,,compound,,0,NUMPY_SEEDSEQUENCE_ADDRESSED,repair_c40_fault_compound_A__d682a3a23b28d688,6,-1,6,6,234173de1bafe7f75330d3d09e2d93045fa0a87c0a0d34cab2ab37914e0556ac,0.36529555865546826,-0.28957805234802625,0.9891872074354112,0.010330507044159847,0.00048228552042891757,0.9999999999962189,1.7214705082263373e-16,3.7808437123821195e-12,-0.17235640070489766,-0.098999799654413,0.0,0.0,-8.640917142989196,-8.640917142989197,1.5419319166416283,0.9999999999962189,1.7214705082263373e-16,3.7808437123821195e-12,0.9999999999962189,1.7214705082263373e-16,3.7808437123821195e-12,3.359223792581525,False,False,none,,False,3.7808437123821195e-12,0,-0.4667326366770954,-0.289023423999533,0.05868063088312736,0.00046146642387712335,0.02943751498816229,-15.994725257792016,-1.999340657224002,-4.26936599122794,-3.0650783979880454,1.204287593239895,0.20120065823787237,0.15990493134956274,0.3645939287531245,-0.28833816579554594,0.22922964284815578,0.2351326077918092,0.013641884373864644,0.0,0.02831329686696952,0.032870242078044426,0.02831329686696952,-0.032870242078044426,0.2214907234179445,0.0,2.220446049250313e-16,0.0,-3.3014024600775894e-17,,,,1.1102230246251565e-16,1.1102230246251565e-16,9.992007221723358e-16,1.7763568394002505e-15,True,,
fault|compound|c40|A|p0000|r007,PHASE9-FRESH-TWIN-ROUND-LEDGER-V1,fault,fault|compound,ab/c40/fault/compound,A,PHASE9-BACKEND-A-JOINT-FOCK-QUTRIT-GKSL-V1,40,fresh_cutoff36_40_44_bounded_repair,1800000,0,fault|compound|c40|A|p0000,7,False,Z,,compound,,0,NUMPY_SEEDSEQUENCE_ADDRESSED,repair_c40_fault_compound_A__d682a3a23b28d688,7,-1,7,7,a39c28bf301c3922b9af515f37d48825115a84c49d2ea5d8079925f2618cdb3a,0.3645939287531245,-0.28833816579554594,0.9893756553059164,0.010142140834544303,0.00048220385953924745,1.0,2.9326062954166673e-32,7.694020473591162e-20,-0.7878542744337975,-0.08686090655273812,1.1102230246251565e-16,0.0,-16.6840909444787,-16.6840909444787,5.262821120301211,1.0,2.9326062954166673e-32,7.694020473591162e-20,1.0,2.9326062954166673e-32,7.694020473591162e-20,3.3297710842988817,False,False,none,,False,7.694020473591162e-20,0,-0.4677545585475417,-0.2877836313570758,0.0581476033997754,0.0004615659010167409,0.029437407095797206,-25.28500362775898,-3.1606254534698723,1.997232657986757,-6.36587986511382,-8.363112523100577,0.1981144519335682,0.16138808120152845,0.3628833885128984,-0.28322064800817603,0.22435302671117402,0.19119112962906293,0.17678929170657742,0.0,-0.03170874097347425,0.024353380562254952,-0.03170874097347425,-0.024353380562254952,0.014401837922485526,0.0,2.220446049250313e-16,0.0,-4.9743781860733004e-18,,,,0.0,0.0,3.3703774026788122e-34,0.0,True,,
fault|compound|c40|A|p0000|r008,PHASE9-FRESH-TWIN-ROUND-LEDGER-V1,fault,fault|compound,ab/c40/fault/compound,A,PHASE9-BACKEND-A-JOINT-FOCK-QUTRIT-GKSL-V1,40,fresh_cutoff36_40_44_bounded_repair,1800000,0,fault|compound|c40|A|p0000,8,False,IDLE,,compound,,0,NUMPY_SEEDSEQUENCE_ADDRESSED,repair_c40_fault_compound_A__d682a3a23b28d688,8,-1,8,8,20df07c4091983e2c3c60d80be0a76a413da81fda2928cdf6281bf5884dad045,0.3628833885128984,-0.28322064800817603,0.9896744470807125,0.009843712221821453,0.00048184069746605933,1.0,3.08872062220298e-28,2.2718705384137947e-20,-0.6321410677425802,-0.22862267639304756,0.0,0.0,-12.783421205400357,-12.783421205400357,4.329971406767402,1.0,3.08872062220298e-28,2.2718705384137947e-20,1.0,3.08872062220298e-28,2.2718705384137947e-20,3.27352869130734,False,False,none,,False,2.2718705384137947e-20,0,-0.4699727361171589,-0.28266653120609003,0.057302545762283094,0.00046149957237771996,0.02943692727696851,-18.9158131629665,-2.3644766453708126,3.1276855668921826,-2.723534381005406,-5.851219947897588,0.19484716984541922,0.1580050372013883,0.35703281690498684,-0.28023084381352437,0.21685573974795244,0.18501476948163922,0.16351791928373302,0.0,0.040792047958940404,-0.02329813769103383,0.040792047958940404,0.02329813769103383,0.02149685019790621,0.0,1.1102230246251565e-16,0.0,-4.961629720279029e-19,,,,0.0,0.0,1.3240768654648172e-34,0.0,True,,
fault|compound|c40|A|p0000|r009,PHASE9-FRESH-TWIN-ROUND-LEDGER-V1,fault,fault|compound,ab/c40/fault/compound,A,PHASE9-BACKEND-A-JOINT-FOCK-QUTRIT-GKSL-V1,40,fresh_cutoff36_40_44_bounded_repair,1800000,0,fault|compound|c40|A|p0000,9,False,XZ,,compound,,0,NUMPY_SEEDSEQUENCE_ADDRESSED,repair_c40_fault_compound_A__d682a3a23b28d688,9,-1,9,9,27ea2275730f81bf52afbbd624df5400f3c9b1bd12fb3aa62f8e4d22c0c20e6c,0.17703281690498684,-0.14023084381352435,0.9893112513558687,0.010206366892175467,0.00048238175195577644,1.0,1.2790313962678426e-21,4.964533379097972e-21,-0.5604875211012895,-0.31408715791097036,0.0,5.551115123125783e-17,-11.42732249793932,-11.427322497939322,3.5539946974449452,1.0,1.2790313962678426e-21,4.964533379097972e-21,1.0,1.2790313962678426e-21,4.964533379097972e-21,3.3585187925848263,False,False,none,,False,4.964533379097972e-21,0,-0.6552063348891524,-0.1396761047987752,0.058329473405183525,0.0004616755271019432,0.02943764213158703,-18.14197731594212,-2.267747164492765,0.21204811252240052,-3.6076805678949593,-3.81972868041736,0.09618450868350314,0.07804516638076711,0.18175076457386233,-0.14184472263930376,0.09734953070430989,0.1255291494966185,0.029836574670521587,0.0,-0.04364918536125065,-0.0012521353043406637,-0.04364918536125065,0.0012521353043406637,0.09569257482609692,0.0,2.220446049250313e-16,0.0,-9.442846942288407e-17,,,,0.0,0.0,2.6519152554550806e-35,1.7763568394002505e-15,True,,
