row_id,row_schema,layer,cell_base,cell_id,backend,backend_id,cutoff,convergence_role,seed,seed_position,trajectory_id,round_index,terminal_round,action,probe_id,scenario,initial_state,logical_label,rng_namespace,archive_chunk,archive_row_index,density_index,raw_iq_index,heldout_iq_index,heldout_window_sha256,pre_readout_i,pre_readout_q,pre_measurement_g,pre_measurement_e,pre_measurement_f,pre_reset_g,pre_reset_e,pre_reset_f,integrated_i,integrated_q,integrated_i_mean_error,integrated_q_mean_error,raw_log_evidence,raw_reference_log_evidence,raw_within_window_residual,posterior_g,posterior_e,posterior_f,level_g,level_e,level_f,mean_photon,reset_requested,reset_hidden_success,reset_ack,rao_blackwell_reset_success,leakage_resident,leakage_residence_probability,leakage_age,predictive_mean_i,predictive_mean_q,predictive_cov_ii,predictive_cov_iq,predictive_cov_qq,heldout_reference_log_evidence,heldout_proper_score_per_sample,heldout_llr_ge_per_sample,heldout_llr_gf_per_sample,heldout_llr_ef_per_sample,drift_0,drift_1,drift_2,drift_3,drift_4,logical_survival,logical_block_00_real,logical_block_00_imag,logical_block_01_real,logical_block_01_imag,logical_block_10_real,logical_block_10_imag,logical_block_11_real,logical_block_11_imag,density_trace_error,density_hermiticity_frobenius,density_minimum_eigenvalue,density_quantization_frobenius_error,density_quantization_certified_frobenius_bound,density_quantization_trace_distance_bound,posterior_normalization_error,level_normalization_error,reference_posterior_l1_error,reference_log_evidence_error,conservation_pass,exception_type,exception_message
fault|step|c40|B|p0000|r000,PHASE9-FRESH-TWIN-ROUND-LEDGER-V1,fault,fault|step,ab/c40/fault/step,B,PHASE9-BACKEND-B-DENSE-STRANG-ANALYTIC-KRAUS-V1,40,fresh_cutoff36_40_44_bounded_repair,1801000,0,fault|step|c40|B|p0000,0,False,IDLE,,step,,0,BLAKE2B_ADDRESS_PYTHON_RANDOM_BOX_MULLER,repair_c40_fault_step_B__ab51bad90e7eab7d,0,-1,0,0,7ee3b84924c4ee86d757ca9cf791f73970256380bba85885d94e43b67450fbf4,0.0,0.0,0.9870809547047109,0.012434818237714848,0.00048422705757423303,1.0,5.040346484004552e-30,4.9379007156406545e-21,-1.0687481172658122,0.07067736860532675,0.0,0.0,-8.415511713965172,-8.415511713965174,2.0853655956250123,1.0,5.040346484004552e-30,4.9379007156406545e-21,1.0,5.040346484004552e-30,4.9379007156406545e-21,3.669306568141822,False,False,none,,False,4.9379007156406545e-21,0,-0.8284492159969467,0.0005568611162103679,0.06462204246494703,0.0004613311551436639,0.029440080189339177,-18.125886091745915,-2.2657357614682394,1.0400106121188424,-4.70795483334632,-5.747965445465162,0.0024518181107146633,-0.001652387798850145,-0.0030413386362040467,-0.0015008962847809025,0.0002922754428865036,0.9610759629311549,0.9610736604014308,0.0,-0.0003142116374728032,0.00020230517200346243,-0.0003142116374728032,-0.00020230517200346243,2.3025297241402075e-06,0.0,0.0,0.0,-2.161692574781395e-19,,,,0.0,0.0,6.018531179205549e-36,1.7763568394002505e-15,True,,
fault|step|c40|B|p0000|r001,PHASE9-FRESH-TWIN-ROUND-LEDGER-V1,fault,fault|step,ab/c40/fault/step,B,PHASE9-BACKEND-B-DENSE-STRANG-ANALYTIC-KRAUS-V1,40,fresh_cutoff36_40_44_bounded_repair,1801000,0,fault|step|c40|B|p0000,1,False,X,,step,,0,BLAKE2B_ADDRESS_PYTHON_RANDOM_BOX_MULLER,repair_c40_fault_step_B__ab51bad90e7eab7d,1,-1,1,1,710ab3630c9367b195241667c6ed6d419a8a9a72ab26f600a3fe1bf2e5b659b1,-0.0030413386362040467,-0.0015008962847809025,0.9876633812130259,0.011852827422716133,0.0004837913642580414,1.0,3.853867599583153e-23,8.597085476886762e-19,-0.8024548725305078,-0.0006439378497791071,0.0,4.336808689942018e-19,-4.374177788039193,-4.374177788039193,0.6256811716058,1.0,3.853867599583153e-23,8.597085476886762e-19,1.0,3.853867599583153e-23,8.597085476886762e-19,3.586778748114085,False,False,none,,False,8.597085476886762e-19,0,-0.8324803093579672,-0.000944536215884155,0.06298145458734555,0.0004614667228964076,0.029439504542704997,-21.526665975328655,-2.690833246916082,-2.0842468273326302,-5.169506572361761,-3.0852597450291306,0.004936966357182857,-0.00027119109742012584,-0.0027107931263553155,-0.004274279951658548,0.0009423966435968317,0.8195239952776238,1.3712726164101132e-05,0.0,0.0004299523170528998,-0.00032686744371000315,0.0004299523170528998,0.00032686744371000315,0.8195102825514595,0.0,1.1102230246251565e-16,0.0,-3.8243637584356915e-20,,,,0.0,0.0,1.3770781138032754e-32,0.0,True,,
fault|step|c40|B|p0000|r002,PHASE9-FRESH-TWIN-ROUND-LEDGER-V1,fault,fault|step,ab/c40/fault/step,B,PHASE9-BACKEND-B-DENSE-STRANG-ANALYTIC-KRAUS-V1,40,fresh_cutoff36_40_44_bounded_repair,1801000,0,fault|step|c40|B|p0000,2,False,Z,,step,,0,BLAKE2B_ADDRESS_PYTHON_RANDOM_BOX_MULLER,repair_c40_fault_step_B__ab51bad90e7eab7d,2,-1,2,2,ba2d66937c0504dc0be3c134818489af6a7fb81d8451c3f92249f40981076dc0,-0.0027107931263553155,-0.004274279951658548,0.9881684433956339,0.01134818268992344,0.0004833739144425617,1.0,1.0465195105925918e-27,8.871522232338813e-24,-0.9794972184041243,-0.1598179509626868,1.1102230246251565e-16,2.7755575615628914e-17,-9.280942951558698,-9.2809429515587,2.585282888012947,1.0,1.0465195105925918e-27,8.871522232338813e-24,1.0,1.0465195105925918e-27,8.871522232338813e-24,3.5111691818800344,False,False,none,,False,8.871522232338813e-24,0,-0.8330080147262092,-0.0037183999500496013,0.06155728615037823,0.0004615456208788302,0.0294389529992741,-6.721439817185519,-0.8401799771481899,4.158890077930771,3.437479776009933,-0.7214103019208382,0.005658465778236017,0.004842067214860823,0.003928962341834092,-0.001769136714441713,0.0025879400298524486,0.7068144942866953,0.7067705455182443,0.0,0.0008113574343903204,-0.0016048138463761246,0.0008113574343903204,0.0016048138463761246,4.394876845106863e-05,0.0,0.0,0.0,-1.1104179873215342e-18,,,,0.0,0.0,7.533380544210217e-42,1.7763568394002505e-15,True,,
fault|step|c40|B|p0000|r003,PHASE9-FRESH-TWIN-ROUND-LEDGER-V1,fault,fault|step,ab/c40/fault/step,B,PHASE9-BACKEND-B-DENSE-STRANG-ANALYTIC-KRAUS-V1,40,fresh_cutoff36_40_44_bounded_repair,1801000,0,fault|step|c40|B|p0000,3,False,XZ,,step,,0,BLAKE2B_ADDRESS_PYTHON_RANDOM_BOX_MULLER,repair_c40_fault_step_B__ab51bad90e7eab7d,3,-1,3,3,b1b013019dd61a531343027df2c9b812ffed7104f736722516b75f9b754997bd,0.003928962341834092,-0.001769136714441713,0.9882974347813334,0.011219245323644024,0.0004833198950226925,1.0,3.207992304078388e-21,4.870809820100177e-20,-0.7196335739097701,-0.1288289879224345,0.0,2.7755575615628914e-17,-13.145994943288912,-13.145994943288912,4.4314629383714905,1.0,3.207992304078388e-21,4.870809820100177e-20,1.0,3.207992304078388e-21,4.870809820100177e-20,3.500968422583175,False,False,none,,False,4.870809820100177e-20,0,-0.8265874986972019,-0.0012133188351656167,0.061193209319041715,0.00046161589807860553,0.029438881627652586,-14.760702598039144,-1.845087824754893,-5.264615357957776,-2.5297936038675024,2.734821754090274,0.005636705942403611,0.009556785782369933,0.009379005778440551,-0.003458466211523652,0.00706962107749522,0.4030716336937625,0.00039218821245717915,0.0,0.001403218956089547,-0.005746451376975468,0.001403218956089547,0.005746451376975468,0.40267944548130524,0.0,0.0,0.0,-4.5332100391431635e-20,,,,0.0,0.0,6.770847460736376e-35,0.0,True,,
fault|step|c40|B|p0000|r004,PHASE9-FRESH-TWIN-ROUND-LEDGER-V1,fault,fault|step,ab/c40/fault/step,B,PHASE9-BACKEND-B-DENSE-STRANG-ANALYTIC-KRAUS-V1,40,fresh_cutoff36_40_44_bounded_repair,1801000,0,fault|step|c40|B|p0000,4,False,IDLE,,step,,0,BLAKE2B_ADDRESS_PYTHON_RANDOM_BOX_MULLER,repair_c40_fault_step_B__ab51bad90e7eab7d,4,-1,4,4,1597f3155c8cadbdb9d8a3287974d2e3ffe970ce4037476ca583b50abc13ac4f,0.10937900577844056,-0.06345846621152365,0.9887877755509388,0.010729440288149249,0.00048278416091205044,1.0,2.1338093678066608e-24,6.768295859907935e-18,-0.7373519226728564,0.024127898210996562,1.1102230246251565e-16,6.938893903907228e-18,-9.699641859410374,-9.699641859410374,3.039200644875955,1.0,2.1338093678066608e-24,6.768295859907935e-18,1.0,2.1338093678066608e-24,6.768295859907935e-18,3.4167163450141267,False,False,none,,False,6.768295859907935e-18,0,-0.7219705791949305,-0.0629032644264748,0.059809056008344776,0.0004615667735768428,0.029438173803784065,-14.59866164340786,-1.8248327054259825,5.075124893756586,4.248174239003394,-0.8269506547531922,0.07541046181766811,-0.028556293198177568,0.11053289222987753,-0.06120358415500445,0.04647568234372601,0.40572336391656433,0.40493417466706333,0.0,-0.0028547621795196373,-0.009123301139907085,-0.0028547621795196373,0.009123301139907085,0.000789189249501,0.0,0.0,0.0,-4.475682716371001e-17,,,,0.0,0.0,5.392604652436627e-32,0.0,True,,
fault|step|c40|B|p0000|r005,PHASE9-FRESH-TWIN-ROUND-LEDGER-V1,fault,fault|step,ab/c40/fault/step,B,PHASE9-BACKEND-B-DENSE-STRANG-ANALYTIC-KRAUS-V1,40,fresh_cutoff36_40_44_bounded_repair,1801000,0,fault|step|c40|B|p0000,5,False,X,,step,,0,BLAKE2B_ADDRESS_PYTHON_RANDOM_BOX_MULLER,repair_c40_fault_step_B__ab51bad90e7eab7d,5,-1,5,5,0a1c55ac87e471a7a2e2009feb65f78b2e24a031baf3a4c8ccb07bcda224c665,0.11053289222987753,-0.06120358415500445,0.9889261140541178,0.010591176463463777,0.0004827094824184467,1.0,5.441857122743436e-21,3.035992501322397e-20,-0.6030899100761069,-0.20740121936130346,0.0,2.7755575615628914e-17,-8.025441687286607,-8.025441687286605,2.00947022604365,1.0,5.441857122743436e-21,3.035992501322397e-20,1.0,5.441857122743436e-21,3.035992501322397e-20,3.398069815578398,False,False,none,,False,3.035992501322397e-20,0,-0.7210518047221784,-0.060648468250223235,0.05941813419411003,0.0004616258914507519,0.029438075136830655,-13.194842914070524,-1.6493553642588155,-6.70235149329321,-2.1876602902872992,4.514691203005911,0.07881679177185598,-0.029099136044241827,0.11102004697646722,-0.05836293789678317,0.04674027617935924,0.2816892827232999,0.004796689239334054,0.0,0.010428470946696786,0.024877141825774943,0.010428470946696786,-0.024877141825774943,0.2768925934839659,0.0,2.220446049250313e-16,0.0,-4.2043077587547237e-17,,,,0.0,0.0,6.69561582228375e-35,1.7763568394002505e-15,True,,
fault|step|c40|B|p0000|r006,PHASE9-FRESH-TWIN-ROUND-LEDGER-V1,fault,fault|step,ab/c40/fault/step,B,PHASE9-BACKEND-B-DENSE-STRANG-ANALYTIC-KRAUS-V1,40,fresh_cutoff36_40_44_bounded_repair,1801000,0,fault|step|c40|B|p0000,6,False,Z,,step,,0,BLAKE2B_ADDRESS_PYTHON_RANDOM_BOX_MULLER,repair_c40_fault_step_B__ab51bad90e7eab7d,6,-1,6,6,1d802d34855feedca65a053c30dbaae5e5d39413099c44f5f3b1b053bb8af557,0.11102004697646722,-0.05836293789678317,0.9891398462317716,0.010377625086507676,0.00048252868172069614,1.0,8.385748297707757e-27,2.326264900408212e-20,-0.8289794294943429,-0.04389232819769384,0.0,6.938893903907228e-18,-5.700511175787206,-5.700511175787207,1.1915473004727481,1.0,8.385748297707757e-27,2.326264900408212e-20,1.0,8.385748297707757e-27,2.326264900408212e-20,3.3653584892552417,False,False,none,,False,2.326264900408212e-20,0,-0.7209278409970071,-0.05780802991280437,0.05881408472393215,0.00046165452529078167,0.029437836258704938,-13.58516538807727,-1.6981456735096587,-3.552892318677709,-1.2865437681316085,2.2663485505461,0.08054089788673788,-0.027155239325337675,0.11184150857478989,-0.05871095969789623,0.04701097160966903,0.23381112434747184,0.23024600318572955,0.0,-0.010436779739688627,0.017481652210422194,-0.010436779739688627,-0.017481652210422194,0.003565121161742257,0.0,3.3306690738754696e-16,0.0,-2.804778282218929e-17,,,,0.0,0.0,4.212973618755594e-35,8.881784197001252e-16,True,,
fault|step|c40|B|p0000|r007,PHASE9-FRESH-TWIN-ROUND-LEDGER-V1,fault,fault|step,ab/c40/fault/step,B,PHASE9-BACKEND-B-DENSE-STRANG-ANALYTIC-KRAUS-V1,40,fresh_cutoff36_40_44_bounded_repair,1801000,0,fault|step|c40|B|p0000,7,False,XZ,,step,,0,BLAKE2B_ADDRESS_PYTHON_RANDOM_BOX_MULLER,repair_c40_fault_step_B__ab51bad90e7eab7d,7,-1,7,7,d96cda0cfbd4e06b41e4f181ea5d9b6564c0aec1de67bea2f9dabf34f98202c8,0.11184150857478989,-0.05871095969789623,0.9888418056220427,0.010675354529552431,0.00048283984840480354,1.0,1.7458792048871383e-30,9.868423202309132e-24,-0.9722531386000526,-0.13222814112547465,0.0,0.0,-7.977386256610979,-7.977386256610979,1.8254262678762414,1.0,1.7458792048871383e-30,9.868423202309132e-24,1.0,1.7458792048871383e-30,9.868423202309132e-24,3.434395389728346,False,False,none,,False,9.868423202309132e-24,0,-0.7195999748538269,-0.058155693872230706,0.059656207843548685,0.000461671041788559,0.0294382473793782,-16.37785068774744,-2.04723133596843,7.212045733586316,4.300475885216522,-2.911569848369794,0.08236126496578601,-0.02402902141514422,0.11532572442636417,-0.06120422077217825,0.0483527341884566,0.14642143111147984,0.005618330515493536,0.0,-0.017797267355561138,-0.014156754317330345,-0.017797267355561138,0.014156754317330345,0.1408031005959863,0.0,0.0,0.0,-6.881848642946408e-17,,,,0.0,0.0,4.4081311409036325e-39,0.0,True,,
fault|step|c40|B|p0000|r008,PHASE9-FRESH-TWIN-ROUND-LEDGER-V1,fault,fault|step,ab/c40/fault/step,B,PHASE9-BACKEND-B-DENSE-STRANG-ANALYTIC-KRAUS-V1,40,fresh_cutoff36_40_44_bounded_repair,1801000,0,fault|step|c40|B|p0000,8,False,IDLE,,step,,0,BLAKE2B_ADDRESS_PYTHON_RANDOM_BOX_MULLER,repair_c40_fault_step_B__ab51bad90e7eab7d,8,-1,8,8,fc00e470ad81c41941337e920ce17632945b6b409861e1bf9ec9a4f9d3b95111,0.11532572442636417,-0.06120422077217825,0.9892814817458778,0.01023614826292083,0.00048236999120137257,1.0,3.35569103523285e-28,4.827952763687609e-20,-0.8789632966317993,0.01169097747918729,0.0,0.0,-10.498642054690233,-10.498642054690233,3.2600021692421084,1.0,3.35569103523285e-28,4.827952763687609e-20,1.0,3.35569103523285e-28,4.827952763687609e-20,3.352595805312972,False,False,none,,False,4.827952763687609e-20,0,-0.7168628090341492,-0.06064949528229667,0.058413732458196935,0.00046163619189771557,0.02943762659299469,-17.1249439895605,-2.1406179986950624,-0.5799493244384957,-5.069950562780724,-4.490001238342228,0.08224099866461315,-0.02378354491123488,0.11374054849812817,-0.0626933950712167,0.046073006303836886,0.16120192004192843,0.1541991055851989,0.0,0.0217955720906486,-0.013726828422011932,0.0217955720906486,0.013726828422011932,0.007002814456729535,0.0,0.0,0.0,-7.280244500445594e-18,,,,0.0,0.0,3.009265838543447e-35,0.0,True,,
fault|step|c40|B|p0000|r009,PHASE9-FRESH-TWIN-ROUND-LEDGER-V1,fault,fault|step,ab/c40/fault/step,B,PHASE9-BACKEND-B-DENSE-STRANG-ANALYTIC-KRAUS-V1,40,fresh_cutoff36_40_44_bounded_repair,1801000,0,fault|step|c40|B|p0000,9,False,X,,step,,0,BLAKE2B_ADDRESS_PYTHON_RANDOM_BOX_MULLER,repair_c40_fault_step_B__ab51bad90e7eab7d,9,-1,9,9,613e4be318e25e91db91ed391ed762a83652d39d5b0fd55e3ff423ffbd87c28a,0.11374054849812817,-0.0626933950712167,0.9891684655636309,0.01034902603111338,0.0004825084052555717,1.0,3.260122044517652e-29,9.362094565530285e-26,-0.9202341854068112,-0.2898788067491551,0.0,0.0,-15.536561156930269,-15.53656115693027,5.1068075866959335,1.0,3.260122044517652e-29,9.362094565530285e-26,1.0,3.260122044517652e-29,9.362094565530285e-26,3.3815286317972797,False,False,none,,False,9.362094565530285e-26,0,-0.7182559751045118,-0.06213851040517278,0.05873317239032452,0.0004616621131489428,0.029437809468957882,-12.556119586106863,-1.569514948263358,-6.492553196800692,-3.1193825971299995,3.373170599670692,0.0831570537657964,-0.022022420001006737,0.11700131551032684,-0.061289213523028935,0.04582335820521692,0.1254942117871044,0.0180475596588381,0.0,0.03631285136075659,0.005961515401592317,0.03631285136075659,-0.005961515401592317,0.10744665212826632,0.0,0.0,0.0,-1.5311221355484912e-19,,,,0.0,0.0,7.807586627709297e-40,1.7763568394002505e-15,True,,
