row_id,row_schema,layer,cell_base,cell_id,backend,backend_id,cutoff,convergence_role,seed,seed_position,trajectory_id,round_index,terminal_round,action,probe_id,scenario,initial_state,logical_label,rng_namespace,archive_chunk,archive_row_index,density_index,raw_iq_index,heldout_iq_index,heldout_window_sha256,pre_readout_i,pre_readout_q,pre_measurement_g,pre_measurement_e,pre_measurement_f,pre_reset_g,pre_reset_e,pre_reset_f,integrated_i,integrated_q,integrated_i_mean_error,integrated_q_mean_error,raw_log_evidence,raw_reference_log_evidence,raw_within_window_residual,posterior_g,posterior_e,posterior_f,level_g,level_e,level_f,mean_photon,reset_requested,reset_hidden_success,reset_ack,rao_blackwell_reset_success,leakage_resident,leakage_residence_probability,leakage_age,predictive_mean_i,predictive_mean_q,predictive_cov_ii,predictive_cov_iq,predictive_cov_qq,heldout_reference_log_evidence,heldout_proper_score_per_sample,heldout_llr_ge_per_sample,heldout_llr_gf_per_sample,heldout_llr_ef_per_sample,drift_0,drift_1,drift_2,drift_3,drift_4,logical_survival,logical_block_00_real,logical_block_00_imag,logical_block_01_real,logical_block_01_imag,logical_block_10_real,logical_block_10_imag,logical_block_11_real,logical_block_11_imag,density_trace_error,density_hermiticity_frobenius,density_minimum_eigenvalue,density_quantization_frobenius_error,density_quantization_certified_frobenius_bound,density_quantization_trace_distance_bound,posterior_normalization_error,level_normalization_error,reference_posterior_l1_error,reference_log_evidence_error,conservation_pass,exception_type,exception_message
shared|c40|shared|vacuum_f|RESET|A|p0000,PHASE9-FRESH-TWIN-ROUND-LEDGER-V1,shared,shared|vacuum_f|RESET,ab/c40/shared/vacuum_f/RESET,A,PHASE9-BACKEND-A-JOINT-FOCK-QUTRIT-GKSL-V1,40,rao_blackwell_expected_reset_repair,1803000,0,,0,True,RESET,,,vacuum_f,,NUMPY_SEEDSEQUENCE_ADDRESSED,repair_c40_shared_vacuum_f_RESET_A__33670dbe1a489af6,0,0,0,0,556b894ec651b768ade273d080462f97d8f94cee37e02677eaa759da391a8c3c,0.0,0.0,0.0013118264709090083,0.007069461788035199,0.9916187117410559,8.025004698851738e-17,9.384336034479218e-25,0.9999999999999999,-0.3379521601793255,1.2728201383553692,5.551115123125783e-17,2.220446049250313e-16,-7.64467948589518,-7.64467948589518,1.120676258565286,8.025004698851738e-17,9.384336034479218e-25,0.9999999999999999,0.82,1.4076504051718843e-26,0.18000000000000005,0.0,True,True,success,0.82,False,0.18000000000000005,0,0.004893990019557262,1.1403615185022142,0.03483152962877566,-0.005580917890236999,0.03979135339687055,-7.215575704223806,-0.9019469630279757,0.09246889805330216,-4.45387051896356,-4.5463394170168625,4.80167828444903e-05,-0.0008758672774018114,0.0018865997876387874,-0.0011414593562452339,0.0026118033959696726,,,,,,,,,,1.1102230246251565e-16,0.0,0.0,1.0115243514652034e-08,5.003951305505442e-08,2.7407770066827554e-07,0.0,0.0,1.110223024625159e-16,0.0,True,,
shared|c40|shared|vacuum_f|RESET|A|p0001,PHASE9-FRESH-TWIN-ROUND-LEDGER-V1,shared,shared|vacuum_f|RESET,ab/c40/shared/vacuum_f/RESET,A,PHASE9-BACKEND-A-JOINT-FOCK-QUTRIT-GKSL-V1,40,rao_blackwell_expected_reset_repair,1803001,1,,0,True,RESET,,,vacuum_f,,NUMPY_SEEDSEQUENCE_ADDRESSED,repair_c40_shared_vacuum_f_RESET_A__33670dbe1a489af6,1,1,1,1,c16af8ce1ac90124b168fd61fc6b8baaa73d4d3dc49ab16a6b3ad605786f0304,0.0,0.0,0.0013118264709090083,0.007069461788035199,0.9916187117410559,2.5543814348105093e-14,6.110200266393096e-16,0.9999999999999738,-0.09177686958638774,0.9465388454610336,0.0,0.0,-10.719911787430624,-10.719911787430624,3.1735594131776192,2.5543814348105093e-14,6.110200266393096e-16,0.9999999999999738,0.8200000000000045,9.16530039958966e-18,0.17999999999999547,0.0,True,True,success,0.8200000000000045,False,0.17999999999999547,0,0.004893990019557262,1.1403615185022142,0.03483152962877566,-0.005580917890236999,0.03979135339687055,-17.2126009563447,-2.1515751195430877,3.9632155993854647,4.223121294333302,0.2599056949478369,0.00013903998722186942,-0.0016937603721151361,0.005415466335977627,-0.003017637603966933,0.0019184845864980778,,,,,,,,,,0.0,0.0,0.0,1.0115250030535736e-08,5.003951305505442e-08,2.7407770066827554e-07,0.0,0.0,4.440892098500793e-16,0.0,True,,
shared|c40|shared|vacuum_f|RESET|A|p0002,PHASE9-FRESH-TWIN-ROUND-LEDGER-V1,shared,shared|vacuum_f|RESET,ab/c40/shared/vacuum_f/RESET,A,PHASE9-BACKEND-A-JOINT-FOCK-QUTRIT-GKSL-V1,40,rao_blackwell_expected_reset_repair,1803002,2,,0,True,RESET,,,vacuum_f,,NUMPY_SEEDSEQUENCE_ADDRESSED,repair_c40_shared_vacuum_f_RESET_A__33670dbe1a489af6,2,2,2,2,8d353289e1536ec793512af70506d61e3402ffb66808fbbe194e7643367e97bb,0.0,0.0,0.0013118264709090083,0.007069461788035199,0.9916187117410559,3.574891509687634e-25,4.674108371098927e-20,1.0,0.17104938566256514,1.3781703655929278,0.0,0.0,-8.777472178524237,-8.777472178524237,2.0264818584099804,3.574891509687634e-25,4.674108371098927e-20,1.0,0.82,7.011162556648397e-22,0.18000000000000002,0.0,True,True,success,0.82,False,0.18000000000000002,0,0.004893990019557262,1.1403615185022142,0.03483152962877566,-0.005580917890236999,0.03979135339687055,-12.701274825844152,-1.587659353230519,-5.321164943548018,-1.5819910708056373,3.7391738727423807,0.0018565054708484627,-0.0005671540720859507,0.005298484423228796,-0.0024962505152605276,0.0013771385787029497,,,,,,,,,,0.0,0.0,0.0,1.0115243593156655e-08,5.003951305505442e-08,2.7407770066827554e-07,0.0,0.0,1.805573557364938e-34,0.0,True,,
shared|c40|shared|vacuum_f|RESET|A|p0003,PHASE9-FRESH-TWIN-ROUND-LEDGER-V1,shared,shared|vacuum_f|RESET,ab/c40/shared/vacuum_f/RESET,A,PHASE9-BACKEND-A-JOINT-FOCK-QUTRIT-GKSL-V1,40,rao_blackwell_expected_reset_repair,1803003,3,,0,True,RESET,,,vacuum_f,,NUMPY_SEEDSEQUENCE_ADDRESSED,repair_c40_shared_vacuum_f_RESET_A__33670dbe1a489af6,3,3,3,3,4796a4ca4ec3a8a985642799c437b10f4b6db2249b6d1c1d92667817d58f5a22,0.0,0.0,0.0013118264709090083,0.007069461788035199,0.9916187117410559,8.752826573686699e-15,2.729107967465491e-15,0.9999999999999886,-0.04827838554365038,0.9412098206165603,2.0816681711721685e-17,1.1102230246251565e-16,-15.276984663856584,-15.276984663856584,5.304620944072581,8.752826573686699e-15,2.729107967465491e-15,0.9999999999999886,0.8200000000000021,4.093661951198238e-17,0.1799999999999979,0.0,True,True,success,0.8200000000000021,False,0.1799999999999979,0,0.004893990019557262,1.1403615185022142,0.03483152962877566,-0.005580917890236999,0.03979135339687055,-7.860397599821704,-0.982549699977713,-1.179100541077247,-5.353888450602355,-4.174787909525108,0.0009595001606844977,-0.002156186725534045,0.001610436294624508,-0.001524139335432979,0.00226524808772568,,,,,,,,,,0.0,0.0,0.0,1.0115246576332327e-08,5.003951305505442e-08,2.7407770066827554e-07,0.0,0.0,7.771561172376889e-16,0.0,True,,
shared|c40|shared|vacuum_f|RESET|A|p0004,PHASE9-FRESH-TWIN-ROUND-LEDGER-V1,shared,shared|vacuum_f|RESET,ab/c40/shared/vacuum_f/RESET,A,PHASE9-BACKEND-A-JOINT-FOCK-QUTRIT-GKSL-V1,40,rao_blackwell_expected_reset_repair,1803004,4,,0,True,RESET,,,vacuum_f,,NUMPY_SEEDSEQUENCE_ADDRESSED,repair_c40_shared_vacuum_f_RESET_A__33670dbe1a489af6,4,4,4,4,e3c553caf25a7e5f8945aaa60601a034ef1a8470e0ac521fcf6c7179e3235ffe,0.0,0.0,0.0013118264709090083,0.007069461788035199,0.9916187117410559,1.3329822296213719e-14,1.2716782936060154e-11,0.9999999999872698,0.08769278381909326,0.830175425007003,1.3877787807814457e-17,0.0,-12.437633115572146,-12.437633115572146,3.4838186179431876,1.3329822296213719e-14,1.2716782936060154e-11,0.9999999999872698,0.8200000000021006,1.907517440409025e-13,0.17999999999770866,0.0,True,True,success,0.8200000000021006,False,0.17999999999770866,0,0.004893990019557262,1.1403615185022142,0.03483152962877566,-0.005580917890236999,0.03979135339687055,-16.434425995358048,-2.054303249419756,-6.297321554391391,-1.344206118179894,4.953115436211497,-0.00021601483821894824,-0.0007200108567021249,0.0013559923702662863,9.16889826589073e-05,0.0028655812052621513,,,,,,,,,,1.1102230246251565e-16,0.0,0.0,1.0118349158438622e-08,5.003951305505604e-08,2.7407770066828443e-07,0.0,0.0,7.771561172974352e-16,0.0,True,,
shared|c40|shared|vacuum_f|RESET|A|p0005,PHASE9-FRESH-TWIN-ROUND-LEDGER-V1,shared,shared|vacuum_f|RESET,ab/c40/shared/vacuum_f/RESET,A,PHASE9-BACKEND-A-JOINT-FOCK-QUTRIT-GKSL-V1,40,rao_blackwell_expected_reset_repair,1803005,5,,0,True,RESET,,,vacuum_f,,NUMPY_SEEDSEQUENCE_ADDRESSED,repair_c40_shared_vacuum_f_RESET_A__33670dbe1a489af6,5,5,5,5,3f55d5fb8e18c161830081b80f97573d510fd2b6385679ff9084201ba5cff041,0.0,0.0,0.0013118264709090083,0.007069461788035199,0.9916187117410559,2.3689020016923367e-23,4.552362204391102e-22,1.0,0.021539704109360167,1.3836536405315152,1.0408340855860843e-17,0.0,-11.261662694051484,-11.261662694051484,3.3812898518337526,2.3689020016923367e-23,4.552362204391102e-22,1.0,0.82,6.828543306586658e-24,0.18000000000000002,0.0,True,True,success,0.82,False,0.18000000000000002,0,0.004893990019557262,1.1403615185022142,0.03483152962877566,-0.005580917890236999,0.03979135339687055,-8.832297963445367,-1.1040372454306708,-0.12194161757916877,-4.333242445342057,-4.211300827762888,-0.000856519544321474,-0.0034915261211129057,-0.00010313753899825195,0.0006172765483455902,0.0010347718286974478,,,,,,,,,,0.0,0.0,0.0,1.0115243593156655e-08,5.003951305505442e-08,2.7407770066827554e-07,0.0,0.0,4.898872707051883e-36,0.0,True,,
shared|c40|shared|vacuum_f|RESET|A|p0006,PHASE9-FRESH-TWIN-ROUND-LEDGER-V1,shared,shared|vacuum_f|RESET,ab/c40/shared/vacuum_f/RESET,A,PHASE9-BACKEND-A-JOINT-FOCK-QUTRIT-GKSL-V1,40,rao_blackwell_expected_reset_repair,1803006,6,,0,True,RESET,,,vacuum_f,,NUMPY_SEEDSEQUENCE_ADDRESSED,repair_c40_shared_vacuum_f_RESET_A__33670dbe1a489af6,6,6,6,6,3ebf2d75af9968b2ab43df1bdfc5215062adc27fb386fbb57852f63ae180539f,0.0,0.0,0.0013118264709090083,0.007069461788035199,0.9916187117410559,4.713241886833873e-18,1.8758556362745298e-17,1.0,-0.0051346997259616445,1.0978171594763504,8.673617379884035e-19,0.0,-7.466554669428156,-7.466554669428156,2.050972622890178,4.713241886833873e-18,1.8758556362745298e-17,1.0,0.82,2.8137834544117967e-19,0.18000000000000002,0.0,True,False,failure,0.82,True,0.18000000000000002,1,0.004893990019557262,1.1403615185022142,0.03483152962877566,-0.005580917890236999,0.03979135339687055,-14.89115108648376,-1.86139388581047,-8.358810069154357,-2.514176377583822,5.844633691570535,0.0006367339865101522,-0.00043583669131785473,0.0014083771014727397,-0.0029478194858431053,0.0013993060935507898,,,,,,,,,,0.0,0.0,0.0,1.0115243593156655e-08,5.003951305505442e-08,2.7407770066827554e-07,0.0,0.0,8.551128953079327e-32,0.0,True,,
shared|c40|shared|vacuum_f|RESET|A|p0007,PHASE9-FRESH-TWIN-ROUND-LEDGER-V1,shared,shared|vacuum_f|RESET,ab/c40/shared/vacuum_f/RESET,A,PHASE9-BACKEND-A-JOINT-FOCK-QUTRIT-GKSL-V1,40,rao_blackwell_expected_reset_repair,1803007,7,,0,True,RESET,,,vacuum_f,,NUMPY_SEEDSEQUENCE_ADDRESSED,repair_c40_shared_vacuum_f_RESET_A__33670dbe1a489af6,7,7,7,7,2aa181f6ba52ac8c5c681d91a52d5476d05a6e2cdbe34c20e607c80a17ed2297,0.0,0.0,0.0013118264709090083,0.007069461788035199,0.9916187117410559,1.0436112970427941e-16,8.894025294807894e-19,0.9999999999999999,-0.10926087372863688,1.0972082777552954,0.0,2.220446049250313e-16,-12.592760206712965,-12.592760206712965,4.317324210638101,1.0436112970427941e-16,8.894025294807894e-19,0.9999999999999999,0.82,1.3341037942211853e-20,0.18000000000000005,0.0,True,True,success,0.82,False,0.18000000000000005,0,0.004893990019557262,1.1403615185022142,0.03483152962877566,-0.005580917890236999,0.03979135339687055,-7.708505038833706,-0.9635631298542132,-0.6216939048403107,-4.311297322251714,-3.689603417411403,-0.002637524449713437,-0.0009071467930042551,0.0025288766265826237,-0.0019517132636281895,0.0010798414790383964,,,,,,,,,,1.1102230246251565e-16,0.0,0.0,1.0115243514652034e-08,5.003951305505442e-08,2.7407770066827554e-07,0.0,0.0,1.1102230246251607e-16,0.0,True,,
shared|c40|shared|vacuum_f|RESET|A|p0008,PHASE9-FRESH-TWIN-ROUND-LEDGER-V1,shared,shared|vacuum_f|RESET,ab/c40/shared/vacuum_f/RESET,A,PHASE9-BACKEND-A-JOINT-FOCK-QUTRIT-GKSL-V1,40,rao_blackwell_expected_reset_repair,1803008,8,,0,True,RESET,,,vacuum_f,,NUMPY_SEEDSEQUENCE_ADDRESSED,repair_c40_shared_vacuum_f_RESET_A__33670dbe1a489af6,8,8,8,8,f1647b69bb1454f58cd399856de59b5dea440b5106ddc79663e78ae6b7e85e2e,0.0,0.0,0.0013118264709090083,0.007069461788035199,0.9916187117410559,9.468315312183695e-15,9.47024114487169e-13,0.9999999999990435,0.049485339627885205,0.8669819019293695,6.938893903907228e-18,0.0,-9.479501833735231,-9.479501833735231,2.340149646705625,9.468315312183695e-15,9.47024114487169e-13,0.9999999999990435,0.8200000000001579,1.4205361717307544e-14,0.17999999999982783,0.0,True,True,success,0.8200000000001579,False,0.17999999999982783,0,0.004893990019557262,1.1403615185022142,0.03483152962877566,-0.005580917890236999,0.03979135339687055,-15.896165801859544,-1.987020725232443,-7.800106707282733,-3.1394056120998366,4.660701095182897,-0.0036175604876372185,-0.0008278990240699415,0.000680523870956031,-0.0022368238042793677,0.003390908233464518,,,,,,,,,,0.0,0.0,0.0,1.0115477065910575e-08,5.0039513055054545e-08,2.740777006682762e-07,0.0,0.0,7.771561172419199e-16,0.0,True,,
shared|c40|shared|vacuum_f|RESET|A|p0009,PHASE9-FRESH-TWIN-ROUND-LEDGER-V1,shared,shared|vacuum_f|RESET,ab/c40/shared/vacuum_f/RESET,A,PHASE9-BACKEND-A-JOINT-FOCK-QUTRIT-GKSL-V1,40,rao_blackwell_expected_reset_repair,1803009,9,,0,True,RESET,,,vacuum_f,,NUMPY_SEEDSEQUENCE_ADDRESSED,repair_c40_shared_vacuum_f_RESET_A__33670dbe1a489af6,9,9,9,9,f060d4052b52491398a4fd20952bb9bd229d08dff17665a5b0b280c83448f041,0.0,0.0,0.0013118264709090083,0.007069461788035199,0.9916187117410559,3.7035495304977707e-16,1.778029288578798e-18,0.9999999999999997,-0.11898330692981814,1.07267423944301,1.3877787807814457e-17,0.0,-8.815362908435622,-8.815362908435622,2.5334083667265794,3.7035495304977707e-16,1.778029288578798e-18,0.9999999999999997,0.8200000000000001,2.6670439328681994e-20,0.17999999999999994,0.0,True,True,success,0.8200000000000001,False,0.17999999999999994,0,0.004893990019557262,1.1403615185022142,0.03483152962877566,-0.005580917890236999,0.03979135339687055,-13.365460825177632,-1.670682603147204,-6.483282195076331,-2.4484055072626045,4.0348766878137265,0.0019868710911119395,0.0012301931740180958,0.0012931582134393187,-0.002358422725547375,0.00276002517257019,,,,,,,,,,1.1102230246251565e-16,0.0,0.0,1.0115243671661278e-08,5.003951305505442e-08,2.7407770066827554e-07,0.0,0.0,3.3306690738754815e-16,0.0,True,,
