row_id,row_schema,layer,cell_base,cell_id,backend,backend_id,cutoff,convergence_role,seed,seed_position,trajectory_id,round_index,terminal_round,action,probe_id,scenario,initial_state,logical_label,rng_namespace,archive_chunk,archive_row_index,density_index,raw_iq_index,heldout_iq_index,heldout_window_sha256,pre_readout_i,pre_readout_q,pre_measurement_g,pre_measurement_e,pre_measurement_f,pre_reset_g,pre_reset_e,pre_reset_f,integrated_i,integrated_q,integrated_i_mean_error,integrated_q_mean_error,raw_log_evidence,raw_reference_log_evidence,raw_within_window_residual,posterior_g,posterior_e,posterior_f,level_g,level_e,level_f,mean_photon,reset_requested,reset_hidden_success,reset_ack,rao_blackwell_reset_success,leakage_resident,leakage_residence_probability,leakage_age,predictive_mean_i,predictive_mean_q,predictive_cov_ii,predictive_cov_iq,predictive_cov_qq,heldout_reference_log_evidence,heldout_proper_score_per_sample,heldout_llr_ge_per_sample,heldout_llr_gf_per_sample,heldout_llr_ef_per_sample,drift_0,drift_1,drift_2,drift_3,drift_4,logical_survival,logical_block_00_real,logical_block_00_imag,logical_block_01_real,logical_block_01_imag,logical_block_10_real,logical_block_10_imag,logical_block_11_real,logical_block_11_imag,density_trace_error,density_hermiticity_frobenius,density_minimum_eigenvalue,density_quantization_frobenius_error,density_quantization_certified_frobenius_bound,density_quantization_trace_distance_bound,posterior_normalization_error,level_normalization_error,reference_posterior_l1_error,reference_log_evidence_error,conservation_pass,exception_type,exception_message
fault|burst|c44|B|p0000|r000,PHASE9-FRESH-TWIN-ROUND-LEDGER-V1,fault,fault|burst,ab/c44/fault/burst,B,PHASE9-BACKEND-B-DENSE-STRANG-ANALYTIC-KRAUS-V1,44,fresh_cutoff36_40_44_bounded_repair,1801000,0,fault|burst|c44|B|p0000,0,False,XZ,,burst,,0,BLAKE2B_ADDRESS_PYTHON_RANDOM_BOX_MULLER,repair_c44_fault_burst_B__a7ffb5b3c540f36a,0,-1,0,0,395903fff1ad7a554afe068319c45deee1d9284f11e19fd611892efb9ea61a8a,0.0,0.0,0.9868665520091687,0.012648984910885768,0.00048446307994554847,1.0,5.1282710062967714e-30,4.941380863016425e-21,-1.0687481172658122,0.07067736860532675,0.0,0.0,-8.415728946384633,-8.415728946384634,2.0853655956250123,1.0,5.1282710062967714e-30,4.941380863016425e-21,1.0,5.1282710062967714e-30,4.941380863016425e-21,3.6966954185798206,False,False,none,,False,4.941380863016425e-21,0,-0.8280849320335405,0.0005571325419373807,0.06522532076374599,0.00046135306312388954,0.029440392026558702,-13.201075697563482,-1.6501344621954352,-5.320000065854681,-3.0187669558286903,2.301233110025991,0.004951818110714663,0.000847612201149855,0.0005586613637959532,-0.003300896284780902,0.0026922754428865036,0.7798155812955964,6.702652061373438e-06,0.0,-0.0009704664064366397,-0.0001549978903974754,-0.0009704664064366397,0.0001549978903974754,0.779808878643535,0.0,0.0,0.0,-1.6423428154119414e-19,,,,0.0,0.0,1.504632778231033e-35,1.7763568394002505e-15,True,,
fault|burst|c44|B|p0000|r001,PHASE9-FRESH-TWIN-ROUND-LEDGER-V1,fault,fault|burst,ab/c44/fault/burst,B,PHASE9-BACKEND-B-DENSE-STRANG-ANALYTIC-KRAUS-V1,44,fresh_cutoff36_40_44_bounded_repair,1801000,0,fault|burst|c44|B|p0000,1,False,IDLE,,burst,,0,BLAKE2B_ADDRESS_PYTHON_RANDOM_BOX_MULLER,repair_c44_fault_burst_B__a7ffb5b3c540f36a,1,-1,1,1,b714b7f8fd2c0e100e3393876180fe9493a664bec0575675bb07652c8a12a2e1,0.0005586613637959532,-0.003300896284780902,0.987566861814427,0.011949320461569032,0.00048381772400386944,1.0,3.885621388433224e-23,8.598394173747653e-19,-0.7988548725305078,-0.002443937849779112,0.0,8.673617379884035e-19,-4.3742755178091945,-4.3742755178091945,0.6256811716058,1.0,3.885621388433224e-23,8.598394173747653e-19,1.0,3.885621388433224e-23,8.598394173747653e-19,3.5989089068468965,False,False,none,,False,8.598394173747653e-19,0,-0.8287162487861334,-0.002744505902176452,0.06325356509023379,0.00046140058454258994,0.029439539369737262,-17.72724125768992,-2.21590515721124,-1.1092927379385422,-4.653294769369498,-3.5440020314309555,0.004899466357182857,0.002191308902579874,-0.0009395931263553158,-0.005159879951658548,0.0020823966435968315,0.7453120543366532,0.7452982714498432,0.0,0.00018702341065966903,0.00035033939850922754,0.00018702341065966903,-0.00035033939850922754,1.3782886809944622e-05,0.0,1.1102230246251565e-16,0.0,-7.27726011067709e-17,,,,0.0,0.0,2.022249951493614e-33,0.0,True,,
fault|burst|c44|B|p0000|r002,PHASE9-FRESH-TWIN-ROUND-LEDGER-V1,fault,fault|burst,ab/c44/fault/burst,B,PHASE9-BACKEND-B-DENSE-STRANG-ANALYTIC-KRAUS-V1,44,fresh_cutoff36_40_44_bounded_repair,1801000,0,fault|burst|c44|B|p0000,2,False,HOLD,,burst,,0,BLAKE2B_ADDRESS_PYTHON_RANDOM_BOX_MULLER,repair_c44_fault_burst_B__a7ffb5b3c540f36a,2,-1,2,2,63be3a14de3daa103e66ab3d99d20b194a0596a824e2c44bbffd597e743141de,-0.0009395931263553158,-0.005159879951658548,0.9881560499755524,0.011360611622063857,0.0004833384023837695,1.0,1.0476788356630107e-27,8.870981725872005e-24,-0.9777260184041241,-0.16070355096268682,0.0,0.0,-9.280955493446557,-9.280955493446557,2.5852828880129475,1.0,1.0476788356630107e-27,8.870981725872005e-24,1.0,1.0476788356630107e-27,8.870981725872005e-24,3.5106759226443742,False,False,none,,False,8.870981725872005e-24,0,-0.8312157157268205,-0.004604040788917213,0.06159234824381494,0.0004614999848303645,0.0294389060799777,-12.680891539999298,-1.5851114424999122,-5.683890758755601,-0.22600028668477368,5.457890472070828,0.005621528278236017,0.004767629714860822,0.003975992741834091,-0.001792651914441713,0.0025594400298524487,0.7043882879915162,0.7043356722065889,0.0,-0.0014560972647702922,0.0014634293783374254,-0.0014560972647702922,-0.0014634293783374254,5.261578492730422e-05,0.0,2.220446049250313e-16,0.0,-2.6679414582266924e-18,,,,0.0,0.0,7.053235154238875e-38,0.0,True,,
fault|burst|c44|B|p0000|r003,PHASE9-FRESH-TWIN-ROUND-LEDGER-V1,fault,fault|burst,ab/c44/fault/burst,B,PHASE9-BACKEND-B-DENSE-STRANG-ANALYTIC-KRAUS-V1,44,fresh_cutoff36_40_44_bounded_repair,1801000,0,fault|burst|c44|B|p0000,3,False,XZ,,burst,,0,BLAKE2B_ADDRESS_PYTHON_RANDOM_BOX_MULLER,repair_c44_fault_burst_B__a7ffb5b3c540f36a,3,-1,3,3,cd41f9662bc16e0c42fef83cd2dec1ed357bd2d8c10d1bfd6de96f8fac5e8b2d,0.003975992741834091,-0.001792651914441713,0.9883025498223453,0.011214138419287631,0.0004833117583670601,1.0,3.2065154577943625e-21,4.870702611515821e-20,-0.7195865435097699,-0.12885250312243451,0.0,0.0,-13.145989767693392,-13.145989767693392,4.43146293837149,1.0,3.2065154577943625e-21,4.870702611515821e-20,1.0,3.2065154577943625e-21,4.870702611515821e-20,3.499208584933829,False,False,none,,False,4.870702611515821e-20,0,-0.8265491569507649,-0.0012368433923195942,0.061178782982665776,0.00046161295603589517,0.02943887087732717,-16.065850451282213,-2.0082313064102766,-6.162899820845198,-1.2728880533737383,4.89001176747146,0.0056003225049036124,0.009483464844869931,0.009425659935240551,-0.0034817932899236523,0.00704183357749522,0.401374161563581,0.0004700877863243604,0.0,0.001994692057234718,-0.006524806892019952,0.001994692057234718,0.006524806892019952,0.4009040737772566,0.0,4.440892098500626e-16,0.0,-5.115716822616721e-17,,,,0.0,0.0,4.265633900263917e-34,0.0,True,,
fault|burst|c44|B|p0000|r004,PHASE9-FRESH-TWIN-ROUND-LEDGER-V1,fault,fault|burst,ab/c44/fault/burst,B,PHASE9-BACKEND-B-DENSE-STRANG-ANALYTIC-KRAUS-V1,44,fresh_cutoff36_40_44_bounded_repair,1801000,0,fault|burst|c44|B|p0000,4,False,IDLE,,burst,,0,BLAKE2B_ADDRESS_PYTHON_RANDOM_BOX_MULLER,repair_c44_fault_burst_B__a7ffb5b3c540f36a,4,-1,4,4,3c9eea8a05d2a5344c71ecfaf77652b99d6e709bf41bb1e168375f0f23624a99,0.16942565993524056,0.11651820671007634,0.9888152293400807,0.010702057778810595,0.0004827128811086969,1.0,2.128304599270979e-24,6.7671086775463275e-18,-0.6773052685160568,0.20410457113259656,1.1102230246251565e-16,0.0,-9.699614094698168,-9.69961409469817,3.0392006448759554,1.0,2.128304599270979e-24,6.7671086775463275e-18,1.0,2.128304599270979e-24,6.7671086775463275e-18,3.409028912156408,False,False,none,,False,6.7671086775463275e-18,0,-0.6619705358918391,0.11707332652335134,0.05973160550765928,0.0004615245009850749,0.02943807962725916,-15.840781300263957,-1.9800976625329947,-2.612202648562958,0.3500211998669691,2.962223848429927,0.1246246241317306,-0.08772851432161508,0.17009917315342313,0.11733327538322276,0.095198589531226,0.42066360047045315,0.41981222021785547,0.0,-0.003931044936416373,-0.009525021885708893,-0.003931044936416373,0.009525021885708893,0.0008513802525976852,0.0,2.220446049250313e-16,0.0,-5.3501217276526124e-17,,,,0.0,0.0,6.933380493230681e-33,1.7763568394002505e-15,True,,
fault|burst|c44|B|p0000|r005,PHASE9-FRESH-TWIN-ROUND-LEDGER-V1,fault,fault|burst,ab/c44/fault/burst,B,PHASE9-BACKEND-B-DENSE-STRANG-ANALYTIC-KRAUS-V1,44,fresh_cutoff36_40_44_bounded_repair,1801000,0,fault|burst|c44|B|p0000,5,False,HOLD,,burst,,0,BLAKE2B_ADDRESS_PYTHON_RANDOM_BOX_MULLER,repair_c44_fault_burst_B__a7ffb5b3c540f36a,5,-1,5,5,13534d50d5c64db70d79b7b633fd6e51dabcd3135f0db0dc906be8b4d20748dc,0.17009917315342313,0.11733327538322276,0.9892806979091326,0.01023698317384695,0.00048231891702046724,1.0,5.257983636543303e-21,3.032448749381025e-20,-0.5435236291525612,-0.028864359823076273,0.0,3.469446951953614e-18,-8.025083197105834,-8.025083197105833,2.00947022604365,1.0,5.257983636543303e-21,3.032448749381025e-20,1.0,5.257983636543303e-21,3.032448749381025e-20,3.3265455117398552,False,False,none,,False,3.032448749381025e-20,0,-0.6620879843715697,0.1178879421377963,0.05841605943292555,0.0004615865498621648,0.02943755911255094,-11.834268603922094,-1.4792835754902618,6.74996610939011,5.538142454436045,-1.211823654954065,0.12479274165120753,-0.08738377385082777,0.16839979765262447,0.11960062676513822,0.09310511068717171,0.4292309005473667,0.42795651742300356,0.0,-0.005222564896890431,-0.011178999711635993,-0.005222564896890431,0.011178999711635993,0.0012743831243631717,0.0,0.0,0.0,-2.8598590419279453e-19,,,,0.0,0.0,1.2488451983135982e-34,1.7763568394002505e-15,True,,
fault|burst|c44|B|p0000|r006,PHASE9-FRESH-TWIN-ROUND-LEDGER-V1,fault,fault|burst,ab/c44/fault/burst,B,PHASE9-BACKEND-B-DENSE-STRANG-ANALYTIC-KRAUS-V1,44,fresh_cutoff36_40_44_bounded_repair,1801000,0,fault|burst|c44|B|p0000,6,False,XZ,,burst,,0,BLAKE2B_ADDRESS_PYTHON_RANDOM_BOX_MULLER,repair_c44_fault_burst_B__a7ffb5b3c540f36a,6,-1,6,6,7cbb4f0ff0ed9381ab7c804f8b680dff32a55413ecdf6f71bf20e1c890816398,0.16839979765262447,0.11960062676513822,0.9892344533359544,0.010283097062560273,0.0004824496014853152,1.0,8.308569261021739e-27,2.3256612157527558e-20,-0.7715996788181856,0.13407123646422753,0.0,0.0,-5.700415534528345,-5.700415534528346,1.191547300472748,1.0,8.308569261021739e-27,2.3256612157527558e-20,1.0,8.308569261021739e-27,2.3256612157527558e-20,3.343260107101867,False,False,none,,False,2.3256612157527558e-20,0,-0.6637088551797605,0.12015544380684633,0.0585466200444002,0.00046166806114418654,0.02943773177601456,-20.75351729984431,-2.594189662480539,3.600128293532407,-3.2754681745820395,-6.875596468114447,0.12832720851789917,-0.08456560756482481,0.17056222124553788,0.1169288964467298,0.09341668525478619,0.26013859524235594,0.003345067776396031,0.0,-0.00844536450404271,-0.018278133354202364,-0.00844536450404271,0.018278133354202364,0.2567935274659599,0.0,0.0,0.0,-3.3769328968202965e-17,,,,0.0,0.0,1.0833364403263004e-34,8.881784197001252e-16,True,,
fault|burst|c44|B|p0000|r007,PHASE9-FRESH-TWIN-ROUND-LEDGER-V1,fault,fault|burst,ab/c44/fault/burst,B,PHASE9-BACKEND-B-DENSE-STRANG-ANALYTIC-KRAUS-V1,44,fresh_cutoff36_40_44_bounded_repair,1801000,0,fault|burst|c44|B|p0000,7,False,IDLE,,burst,,0,BLAKE2B_ADDRESS_PYTHON_RANDOM_BOX_MULLER,repair_c44_fault_burst_B__a7ffb5b3c540f36a,7,-1,7,7,46fc3c09c1487f87c4d7ab823988351b22b3b840e7853b7946c19726290a90b1,0.010562221245537878,-0.003071103553270199,0.9896193201977214,0.009898577281011045,0.0004821025212675785,1.0,1.6175708684506963e-30,9.845612004987542e-24,-1.0735324259293046,-0.07658828498084863,0.0,0.0,-7.976600277442059,-7.97660027744206,1.8254262678762412,1.0,1.6175708684506963e-30,9.845612004987542e-24,1.0,1.6175708684506963e-30,9.845612004987542e-24,3.2767200718195753,False,False,none,,False,9.845612004987542e-24,0,-0.8222004102336659,-0.002516685653812484,0.057458080540216006,0.0004616985088915796,0.02943727320516913,-12.354866039217518,-1.5443582549021897,-5.093159285236203,-2.2460809211083963,2.8470783641278063,0.008730780937479882,0.015421765868960952,0.011256671395746173,-0.004209483476709229,0.0034483049924458327,0.2566776070629064,0.25241142165843716,0.0,0.011222741895480821,-0.018322613536620687,0.011222741895480821,0.018322613536620687,0.004266185404469225,0.0,0.0,0.0,-3.3458996019663243e-18,,,,0.0,0.0,2.3509890870016527e-38,8.881784197001252e-16,True,,
fault|burst|c44|B|p0000|r008,PHASE9-FRESH-TWIN-ROUND-LEDGER-V1,fault,fault|burst,ab/c44/fault/burst,B,PHASE9-BACKEND-B-DENSE-STRANG-ANALYTIC-KRAUS-V1,44,fresh_cutoff36_40_44_bounded_repair,1801000,0,fault|burst|c44|B|p0000,8,False,HOLD,,burst,,0,BLAKE2B_ADDRESS_PYTHON_RANDOM_BOX_MULLER,repair_c44_fault_burst_B__a7ffb5b3c540f36a,8,-1,8,8,54f677dab66428d2dec13eea5f29d4a18f6dece590aa2cabe94dbaf9758288e8,0.011256671395746173,-0.004209483476709229,0.9899433756807047,0.00957480627996817,0.00048181803932708744,1.0,3.136786222345137e-28,4.819204016323839e-20,-0.9830323496624174,0.06868571477465629,0.0,0.0,-10.497973213090939,-10.49797321309094,3.260002169242109,1.0,3.136786222345137e-28,4.819204016323839e-20,1.0,3.136786222345137e-28,4.819204016323839e-20,3.213958876691252,False,False,none,,False,4.819204016323839e-20,0,-0.8220566125948798,-0.003655392731483078,0.05654085719134433,0.0004617311785332168,0.029436897340456125,-14.868360797993994,-1.8585450997492492,-8.333109514319041,-3.6944670295040947,4.638642484814946,0.009714971896731614,0.015075480563608714,0.010594047891755113,-0.006199615674111425,0.002351187837726384,0.2518328336909521,0.24672848092854327,0.0,0.013039509013745622,-0.01690266631962918,0.013039509013745622,0.01690266631962918,0.005104352762408789,0.0,0.0,0.0,-1.1371579964494196e-16,,,,0.0,0.0,1.8657447071652781e-34,1.7763568394002505e-15,True,,
fault|burst|c44|B|p0000|r009,PHASE9-FRESH-TWIN-ROUND-LEDGER-V1,fault,fault|burst,ab/c44/fault/burst,B,PHASE9-BACKEND-B-DENSE-STRANG-ANALYTIC-KRAUS-V1,44,fresh_cutoff36_40_44_bounded_repair,1801000,0,fault|burst|c44|B|p0000,9,False,XZ,,burst,,0,BLAKE2B_ADDRESS_PYTHON_RANDOM_BOX_MULLER,repair_c44_fault_burst_B__a7ffb5b3c540f36a,9,-1,9,9,54b1e059dbd46c11362f1ae1c042297aa468e5d09b2076338608346ec1cdf59b,0.010594047891755113,-0.006199615674111425,0.9896309818329451,0.009886837223328882,0.0004821809437260511,1.0,3.113068971284491e-29,9.351368319245308e-26,-1.0233806860131844,-0.23338502735204983,0.0,2.7755575615628914e-17,-15.536093685324348,-15.536093685324348,5.1068075866959335,1.0,3.113068971284491e-29,9.351368319245308e-26,1.0,3.113068971284491e-29,9.351368319245308e-26,3.289480935697971,False,False,none,,False,9.351368319245308e-26,0,-0.8221884750264187,-0.005645107588826466,0.05742489379019933,0.0004617846422421338,0.029437376818861057,-15.108503145450166,-1.8885628931812708,-5.776679810077209,-1.4896048350033757,4.287074975073834,0.011718917399433076,0.018753720091714204,0.01647998690880477,-0.006147384361100498,0.004394585200759186,0.1777434922028799,0.006431900466051085,0.0,-0.0210658334095219,-0.012234510758408682,-0.0210658334095219,0.012234510758408682,0.17131159173682883,0.0,0.0,0.0,-4.738366975789863e-18,,,,0.0,0.0,1.1742881131041967e-41,0.0,True,,
