row_id,row_schema,layer,cell_base,cell_id,backend,backend_id,cutoff,convergence_role,seed,seed_position,trajectory_id,round_index,terminal_round,action,probe_id,scenario,initial_state,logical_label,rng_namespace,archive_chunk,archive_row_index,density_index,raw_iq_index,heldout_iq_index,heldout_window_sha256,pre_readout_i,pre_readout_q,pre_measurement_g,pre_measurement_e,pre_measurement_f,pre_reset_g,pre_reset_e,pre_reset_f,integrated_i,integrated_q,integrated_i_mean_error,integrated_q_mean_error,raw_log_evidence,raw_reference_log_evidence,raw_within_window_residual,posterior_g,posterior_e,posterior_f,level_g,level_e,level_f,mean_photon,reset_requested,reset_hidden_success,reset_ack,rao_blackwell_reset_success,leakage_resident,leakage_residence_probability,leakage_age,predictive_mean_i,predictive_mean_q,predictive_cov_ii,predictive_cov_iq,predictive_cov_qq,heldout_reference_log_evidence,heldout_proper_score_per_sample,heldout_llr_ge_per_sample,heldout_llr_gf_per_sample,heldout_llr_ef_per_sample,drift_0,drift_1,drift_2,drift_3,drift_4,logical_survival,logical_block_00_real,logical_block_00_imag,logical_block_01_real,logical_block_01_imag,logical_block_10_real,logical_block_10_imag,logical_block_11_real,logical_block_11_imag,density_trace_error,density_hermiticity_frobenius,density_minimum_eigenvalue,density_quantization_frobenius_error,density_quantization_certified_frobenius_bound,density_quantization_trace_distance_bound,posterior_normalization_error,level_normalization_error,reference_posterior_l1_error,reference_log_evidence_error,conservation_pass,exception_type,exception_message
fault|compound|c44|A|p0000|r000,PHASE9-FRESH-TWIN-ROUND-LEDGER-V1,fault,fault|compound,ab/c44/fault/compound,A,PHASE9-BACKEND-A-JOINT-FOCK-QUTRIT-GKSL-V1,44,fresh_cutoff36_40_44_bounded_repair,1800000,0,fault|compound|c44|A|p0000,0,False,X,,compound,,0,NUMPY_SEEDSEQUENCE_ADDRESSED,repair_c44_fault_compound_A__7e0594384482811b,0,-1,0,0,4cf69f7cf3052520fe13bdccd9160cb4eb913a07b45deda6c6709eb4b59c2f8c,0.0,0.0,0.9869353449028053,0.012580294299507008,0.0004843607976876514,1.0,1.1150502825576718e-19,8.445402513034177e-18,-0.6654111989278816,-0.0410172323185217,0.0,0.0,-14.503253763816277,-14.503253763816279,5.027253875307156,1.0,1.1150502825576718e-19,8.445402513034177e-18,1.0,1.1150502825576718e-19,8.445402513034177e-18,3.6846730563571692,False,False,none,,False,8.445402513034177e-18,0,-0.8282017930128035,0.0005570149173407991,0.06503183937404791,0.0004613207532765284,0.02944025688932378,-20.297225666276738,-2.5371532082845922,0.3077768655965478,-3.8208225770479873,-4.128599442644536,0.004928823420025182,-0.00015255219688865292,0.0012597444654646752,-0.0019393473534301542,0.0005213498590539588,0.8641655716248704,7.4377384906024586e-06,0.0,0.0011108052538454276,0.00018023087808069624,0.0011108052538454276,-0.00018023087808069624,0.8641581338863797,0.0,2.220446049250313e-16,0.0,-7.993535794672025e-17,,,,0.0,0.0,6.875569901462432e-32,1.7763568394002505e-15,True,,
fault|compound|c44|A|p0000|r001,PHASE9-FRESH-TWIN-ROUND-LEDGER-V1,fault,fault|compound,ab/c44/fault/compound,A,PHASE9-BACKEND-A-JOINT-FOCK-QUTRIT-GKSL-V1,44,fresh_cutoff36_40_44_bounded_repair,1800000,0,fault|compound|c44|A|p0000,1,False,Z,,compound,,0,NUMPY_SEEDSEQUENCE_ADDRESSED,repair_c44_fault_compound_A__7e0594384482811b,1,-1,1,1,8cbac80eb7b7fa2aa5bff7d092a52b66bbfa29488a33e1be58ab460af9199be9,0.0012597444654646752,-0.0019393473534301542,0.9875661226089474,0.011950017587817338,0.0004838598032352889,0.9999999999988596,7.184131916198165e-20,1.1404718176849174e-12,-0.6707173814886868,0.2577852976153128,0.0,0.0,-11.466005591491015,-11.466005591491015,3.120835564989636,0.9999999999988596,7.184131916198165e-20,1.1404718176849174e-12,0.9999999999988596,7.184131916198165e-20,1.1404718176849174e-12,3.598946350666828,False,False,none,,False,1.1404718176849174e-12,0,-0.8280139448024958,-0.0013829085797095722,0.06325555958006854,0.000461440034735007,0.02943959496566977,-17.401790141615813,-2.1752237677019766,-7.856846554249853,-3.64947994596713,4.207366608282723,0.005033787308743832,0.002857774655383741,0.0007784992911766806,-0.0034754568533189134,0.0007873362844668058,0.7491715246038456,0.749158611427415,0.0,-0.00036567057309755543,-0.00034396647248002203,-0.00036567057309755543,0.00034396647248002203,1.2913176430567489e-05,0.0,0.0,0.0,-7.335166596915003e-17,,,,0.0,0.0,4.240916407024092e-27,0.0,True,,
fault|compound|c44|A|p0000|r002,PHASE9-FRESH-TWIN-ROUND-LEDGER-V1,fault,fault|compound,ab/c44/fault/compound,A,PHASE9-BACKEND-A-JOINT-FOCK-QUTRIT-GKSL-V1,44,fresh_cutoff36_40_44_bounded_repair,1800000,0,fault|compound|c44|A|p0000,2,False,IDLE,,compound,,0,NUMPY_SEEDSEQUENCE_ADDRESSED,repair_c44_fault_compound_A__7e0594384482811b,2,-1,2,2,de6babf747944ca7591cbc7daa8ee938a03914ed70a75239e1313dc6e40132a3,0.0007784992911766806,-0.0034754568533189134,0.9881555156170694,0.01136110712245892,0.0004833772604716711,1.0,6.651369246860683e-18,1.0739547621505468e-16,-0.5936207147093994,-0.03321500418244268,0.0,6.938893903907228e-18,-11.159795144362468,-11.159795144362468,3.243471379950726,1.0,6.651369246860683e-18,1.0739547621505468e-16,1.0,6.651369246860683e-18,1.0739547621505468e-16,3.510716190119323,False,False,none,,False,1.0739547621505468e-16,0,-0.8294967479292422,-0.0029195730037764917,0.06159377378238146,0.00046153660060467235,0.0294389574201196,-13.24470230888621,-1.6555877886107762,-4.724893496432445,-1.4150133650184875,3.3098801314139576,0.005510367249484312,0.003677362483053095,0.0025675555831044293,-0.0025995389221079527,-0.00034536277916071315,0.7072756795125806,0.7072278751171057,0.0,-0.001126393860552178,0.0015372444959613066,-0.001126393860552178,-0.0015372444959613066,4.780439547499067e-05,0.0,2.220446049250313e-16,0.0,-1.2890018098200435e-18,,,,2.220446049250313e-16,2.220446049250313e-16,2.203263856378998e-31,0.0,True,,
fault|compound|c44|A|p0000|r003,PHASE9-FRESH-TWIN-ROUND-LEDGER-V1,fault,fault|compound,ab/c44/fault/compound,A,PHASE9-BACKEND-A-JOINT-FOCK-QUTRIT-GKSL-V1,44,fresh_cutoff36_40_44_bounded_repair,1800000,0,fault|compound|c44|A|p0000,3,False,XZ,,compound,,0,NUMPY_SEEDSEQUENCE_ADDRESSED,repair_c44_fault_compound_A__7e0594384482811b,3,-1,3,3,d07964aac53c0040bb298fd4f5f532f05eb9994782a70518014d94e88b548d27,0.18256755558310442,-0.14259953892210797,0.9883043330535052,0.011212463052017773,0.0004832038944770398,0.9999999999999984,7.016629487204222e-18,1.4552063684719572e-15,-0.4107003137482962,-0.10788959797113301,0.0,0.0,-10.526022538510247,-10.526022538510247,2.9442986394791,0.9999999999999984,7.016629487204222e-18,1.4552063684719572e-15,0.9999999999999984,7.016629487204222e-18,1.4552063684719572e-15,3.498702070485388,False,False,none,,False,1.4552063684719572e-15,0,-0.6479605339181599,-0.14204385444345938,0.06117397773562025,0.0004615115684175243,0.029438728365206075,-13.250622890327426,-1.6563278612909282,8.801530665706636,4.501124085091248,-4.300406580615389,0.10435792206688414,0.0825029279242754,0.18696372948231219,-0.14719079244961872,0.12020253875755971,0.4047510236993006,0.0005388759665021914,0.0,0.0014650981281588752,-0.007483829599157754,0.0014650981281588752,0.007483829599157754,0.4042121477327984,0.0,1.1102230246251565e-16,0.0,-3.186792567222149e-17,,,,1.1102230246251565e-16,1.1102230246251565e-16,2.220446049250357e-16,0.0,True,,
fault|compound|c44|A|p0000|r004,PHASE9-FRESH-TWIN-ROUND-LEDGER-V1,fault,fault|compound,ab/c44/fault/compound,A,PHASE9-BACKEND-A-JOINT-FOCK-QUTRIT-GKSL-V1,44,fresh_cutoff36_40_44_bounded_repair,1800000,0,fault|compound|c44|A|p0000,4,False,RESET,,compound,,0,NUMPY_SEEDSEQUENCE_ADDRESSED,repair_c44_fault_compound_A__7e0594384482811b,4,-1,4,4,e3ce7fa89a1db07ff0fd6a3c2c36f981a0350e007bb84e9df2d1b87a4fd3945c,0.18696372948231219,-0.14719079244961872,0.9887760936741566,0.010741120141062408,0.00048278618478101847,1.0,1.6654100555398638e-26,4.369277079552812e-17,-0.7420014896065156,0.047881455278560976,0.0,6.938893903907228e-18,-10.260503068013708,-10.260503068013708,3.004787008936088,1.0,1.6654100555398638e-26,4.369277079552812e-17,1.0,0.0,0.0,3.420825299656996,True,True,success,1.0,False,0.0,0,-0.6443659980208178,-0.14663558833712056,0.05984207115106726,0.00046155768355172187,0.02943817647776636,-14.630361051668942,-1.8287951314586177,-4.6276689384029694,-1.8500193323574283,2.7776496060455416,0.10286894663277768,0.07994194391977096,0.18726031991442935,-0.1493174238319007,0.118980312209479,0.3910813240446817,0.38977545900890953,0.0,-0.001690197398075495,-0.013660894912425723,-0.001690197398075495,0.013660894912425723,0.0013058650357721535,0.0,0.0,0.0,-1.1136077154288328e-19,,,,0.0,0.0,2.958228394750986e-31,0.0,True,,
fault|compound|c44|A|p0000|r005,PHASE9-FRESH-TWIN-ROUND-LEDGER-V1,fault,fault|compound,ab/c44/fault/compound,A,PHASE9-BACKEND-A-JOINT-FOCK-QUTRIT-GKSL-V1,44,fresh_cutoff36_40_44_bounded_repair,1800000,0,fault|compound|c44|A|p0000,5,False,HOLD,,compound,,0,NUMPY_SEEDSEQUENCE_ADDRESSED,repair_c44_fault_compound_A__7e0594384482811b,5,-1,5,5,7fa09c7ee9fea7811afc64d4e0bb91aca27138093cbe21d7ad1f0eba4807fdca,0.18726031991442935,-0.1493174238319007,0.989186865106651,0.010330756737433628,0.0004823781559152881,1.0,3.3666941399188943e-25,1.3986392845578368e-23,-0.6901052231994881,-0.3668678986148639,0.0,5.551115123125783e-17,-8.003184219694683,-8.003184219694683,1.9344987210199986,1.0,3.3666941399188943e-25,1.3986392845578368e-23,1.0,3.3666941399188943e-25,1.3986392845578368e-23,3.34930935755862,False,False,none,,False,1.3986392845578368e-23,0,-0.6447673721994054,-0.1487626889525981,0.05868140133807686,0.00046155478136117344,0.029437637380411653,-8.905500567787374,-1.1131875709734218,6.243197051439446,3.0244268845906337,-3.2187701668488122,0.10211528717840745,0.08107990126314774,0.18529555865546823,-0.14957805234802626,0.11552433032608275,0.3737260413094917,0.37124693047706864,0.0,0.0002798275421796408,-0.019679988775866124,0.0002798275421796408,0.019679988775866124,0.002479110832423095,0.0,0.0,0.0,-4.110683792759472e-17,,,,0.0,0.0,5.882063528919337e-38,0.0,True,,
fault|compound|c44|A|p0000|r006,PHASE9-FRESH-TWIN-ROUND-LEDGER-V1,fault,fault|compound,ab/c44/fault/compound,A,PHASE9-BACKEND-A-JOINT-FOCK-QUTRIT-GKSL-V1,44,fresh_cutoff36_40_44_bounded_repair,1800000,0,fault|compound|c44|A|p0000,6,False,X,,compound,,0,NUMPY_SEEDSEQUENCE_ADDRESSED,repair_c44_fault_compound_A__7e0594384482811b,6,-1,6,6,234173de1bafe7f75330d3d09e2d93045fa0a87c0a0d34cab2ab37914e0556ac,0.36529555865546826,-0.28957805234802625,0.989185155509162,0.010332557966626561,0.0004822865242115443,0.999999999996219,1.72181584457542e-16,3.780859424313824e-12,-0.17235640070489766,-0.098999799654413,0.0,0.0,-8.640919217347175,-8.640919217347177,1.5419319166416283,0.999999999996219,1.72181584457542e-16,3.780859424313824e-12,0.999999999996219,1.72181584457542e-16,3.780859424313824e-12,3.359323992137452,False,False,none,,False,3.780859424313824e-12,0,-0.4667291492556868,-0.28902342284518295,0.058686433411614315,0.00046146545010208574,0.029437516314384342,-15.994526747428482,-1.9993158434285603,-4.26936599122794,-3.0650783979880454,1.204287593239895,0.20120065823787237,0.15990493134956274,0.3645939287531245,-0.28833816579554594,0.22922964284815578,0.23509105955492207,0.013639343335664493,0.0,0.028306822520159976,0.03286491664119778,0.028306822520159976,-0.03286491664119778,0.2214517162192576,0.0,0.0,0.0,-9.039570597292557e-19,,,,0.0,0.0,8.881784197170899e-16,1.7763568394002505e-15,True,,
fault|compound|c44|A|p0000|r007,PHASE9-FRESH-TWIN-ROUND-LEDGER-V1,fault,fault|compound,ab/c44/fault/compound,A,PHASE9-BACKEND-A-JOINT-FOCK-QUTRIT-GKSL-V1,44,fresh_cutoff36_40_44_bounded_repair,1800000,0,fault|compound|c44|A|p0000,7,False,Z,,compound,,0,NUMPY_SEEDSEQUENCE_ADDRESSED,repair_c44_fault_compound_A__7e0594384482811b,7,-1,7,7,a39c28bf301c3922b9af515f37d48825115a84c49d2ea5d8079925f2618cdb3a,0.3645939287531245,-0.28833816579554594,0.9893744955497332,0.010143300010508829,0.00048220443975790806,1.0,2.9329449098915673e-32,7.694038750561166e-20,-0.7878542744337975,-0.08686090655273812,1.1102230246251565e-16,0.0,-16.684092116689538,-16.684092116689538,5.262821120301211,1.0,2.9329449098915673e-32,7.694038750561166e-20,1.0,2.9329449098915673e-32,7.694038750561166e-20,3.3298297037175697,False,False,none,,False,7.694038750561166e-20,0,-0.4677525874552162,-0.2877836306898243,0.058150884248113224,0.0004615653633625929,0.029437407862396354,-25.285002424495463,-3.160625303061933,1.997232657986757,-6.36587986511382,-8.363112523100577,0.1981144519335682,0.16138808120152845,0.3628833885128984,-0.28322064800817603,0.22435302671117402,0.1911573538473205,0.17675829713839453,0.0,-0.03170209221493055,0.024349394003599516,-0.03170209221493055,-0.024349394003599516,0.014399056708925941,0.0,0.0,0.0,-6.8011830033011806e-18,,,,0.0,0.0,2.768524295057418e-34,0.0,True,,
fault|compound|c44|A|p0000|r008,PHASE9-FRESH-TWIN-ROUND-LEDGER-V1,fault,fault|compound,ab/c44/fault/compound,A,PHASE9-BACKEND-A-JOINT-FOCK-QUTRIT-GKSL-V1,44,fresh_cutoff36_40_44_bounded_repair,1800000,0,fault|compound|c44|A|p0000,8,False,IDLE,,compound,,0,NUMPY_SEEDSEQUENCE_ADDRESSED,repair_c44_fault_compound_A__7e0594384482811b,8,-1,8,8,20df07c4091983e2c3c60d80be0a76a413da81fda2928cdf6281bf5884dad045,0.3628833885128984,-0.28322064800817603,0.9896737737759634,0.009844385182069206,0.0004818410419673544,1.0,3.088933882468971e-28,2.271873708354195e-20,-0.6321410677425802,-0.22862267639304756,0.0,0.0,-12.783421885730116,-12.783421885730116,4.329971406767402,1.0,3.088933882468971e-28,2.271873708354195e-20,1.0,3.088933882468971e-28,2.271873708354195e-20,3.273563901939835,False,False,none,,False,2.271873708354195e-20,0,-0.46997159179191167,-0.2826665308099136,0.05730445162865297,0.0004614992682454356,0.029436927732132415,-18.915812447998466,-2.364476555999808,3.1276855668921826,-2.723534381005406,-5.851219947897588,0.19484716984541922,0.1580050372013883,0.35703281690498684,-0.28023084381352437,0.21685573974795244,0.18498185205582843,0.16348911782122258,0.0,0.040783876337036604,-0.023294356522234747,0.040783876337036604,0.023294356522234747,0.021492734234605848,0.0,0.0,0.0,-5.364408170452472e-17,,,,0.0,0.0,2.106485917030935e-35,0.0,True,,
fault|compound|c44|A|p0000|r009,PHASE9-FRESH-TWIN-ROUND-LEDGER-V1,fault,fault|compound,ab/c44/fault/compound,A,PHASE9-BACKEND-A-JOINT-FOCK-QUTRIT-GKSL-V1,44,fresh_cutoff36_40_44_bounded_repair,1800000,0,fault|compound|c44|A|p0000,9,False,XZ,,compound,,0,NUMPY_SEEDSEQUENCE_ADDRESSED,repair_c44_fault_compound_A__7e0594384482811b,9,-1,9,9,27ea2275730f81bf52afbbd624df5400f3c9b1bd12fb3aa62f8e4d22c0c20e6c,0.17703281690498684,-0.14023084381352435,0.9893108710802726,0.01020674696266498,0.0004823819570623611,1.0,1.2790795172236483e-21,4.964537398285229e-21,-0.5604875211012895,-0.31408715791097036,0.0,5.551115123125783e-17,-11.427322882323576,-11.427322882323578,3.5539946974449452,1.0,1.2790795172236483e-21,4.964537398285229e-21,1.0,1.2790795172236483e-21,4.964537398285229e-21,3.35854011526839,False,False,none,,False,4.964537398285229e-21,0,-0.6552056885949796,-0.13967610456290264,0.05833054899920463,0.00046167536487958774,0.02943764240257879,-18.141976890746637,-2.2677471113433296,0.21204811252240052,-3.6076805678949593,-3.81972868041736,0.09618450868350314,0.07804516638076711,0.18175076457386233,-0.14184472263930376,0.09734953070430989,0.1255064956048298,0.029831266402684593,0.0,-0.04364104138807909,-0.0012520333075550037,-0.04364104138807909,0.0012520333075550037,0.09567522920214522,0.0,2.220446049250313e-16,0.0,-7.367803747591775e-18,,,,0.0,0.0,3.347807911141875e-35,1.7763568394002505e-15,True,,
