row_id,row_schema,layer,cell_base,cell_id,backend,backend_id,cutoff,convergence_role,seed,seed_position,trajectory_id,round_index,terminal_round,action,probe_id,scenario,initial_state,logical_label,rng_namespace,archive_chunk,archive_row_index,density_index,raw_iq_index,heldout_iq_index,heldout_window_sha256,pre_readout_i,pre_readout_q,pre_measurement_g,pre_measurement_e,pre_measurement_f,pre_reset_g,pre_reset_e,pre_reset_f,integrated_i,integrated_q,integrated_i_mean_error,integrated_q_mean_error,raw_log_evidence,raw_reference_log_evidence,raw_within_window_residual,posterior_g,posterior_e,posterior_f,level_g,level_e,level_f,mean_photon,reset_requested,reset_hidden_success,reset_ack,rao_blackwell_reset_success,leakage_resident,leakage_residence_probability,leakage_age,predictive_mean_i,predictive_mean_q,predictive_cov_ii,predictive_cov_iq,predictive_cov_qq,heldout_reference_log_evidence,heldout_proper_score_per_sample,heldout_llr_ge_per_sample,heldout_llr_gf_per_sample,heldout_llr_ef_per_sample,drift_0,drift_1,drift_2,drift_3,drift_4,logical_survival,logical_block_00_real,logical_block_00_imag,logical_block_01_real,logical_block_01_imag,logical_block_10_real,logical_block_10_imag,logical_block_11_real,logical_block_11_imag,density_trace_error,density_hermiticity_frobenius,density_minimum_eigenvalue,density_quantization_frobenius_error,density_quantization_certified_frobenius_bound,density_quantization_trace_distance_bound,posterior_normalization_error,level_normalization_error,reference_posterior_l1_error,reference_log_evidence_error,conservation_pass,exception_type,exception_message
fault|step|c44|B|p0000|r000,PHASE9-FRESH-TWIN-ROUND-LEDGER-V1,fault,fault|step,ab/c44/fault/step,B,PHASE9-BACKEND-B-DENSE-STRANG-ANALYTIC-KRAUS-V1,44,fresh_cutoff36_40_44_bounded_repair,1801000,0,fault|step|c44|B|p0000,0,False,IDLE,,step,,0,BLAKE2B_ADDRESS_PYTHON_RANDOM_BOX_MULLER,repair_c44_fault_step_B__e07e7eaaa0740c75,0,-1,0,0,7ee3b84924c4ee86d757ca9cf791f73970256380bba85885d94e43b67450fbf4,0.0,0.0,0.9870037044628756,0.012512032208379108,0.0004842633287453629,1.0,5.072041446619878e-30,4.938657096296097e-21,-1.0687481172658122,0.07067736860532675,0.0,0.0,-8.415589978330903,-8.415589978330905,2.0853655956250123,1.0,5.072041446619878e-30,4.938657096296097e-21,1.0,5.072041446619878e-30,4.938657096296097e-21,3.672714365220168,False,False,none,,False,4.938657096296097e-21,0,-0.828317921416322,0.0005569028280571673,0.06483954080552534,0.0004612925929671841,0.029440128111505842,-18.12581118925507,-2.265726398656884,1.0400106121188424,-4.70795483334632,-5.747965445465162,0.0024518181107146633,-0.001652387798850145,-0.0030413386362040467,-0.0015008962847809025,0.0002922754428865036,0.960698858756153,0.9606965451107778,0.0,-0.00032218047456135054,0.00021018234359231427,-0.00032218047456135054,-0.00021018234359231427,2.313645375275602e-06,0.0,1.1102230246251565e-16,0.0,-2.97463952485159e-17,,,,0.0,0.0,3.00926556192713e-36,1.7763568394002505e-15,True,,
fault|step|c44|B|p0000|r001,PHASE9-FRESH-TWIN-ROUND-LEDGER-V1,fault,fault|step,ab/c44/fault/step,B,PHASE9-BACKEND-B-DENSE-STRANG-ANALYTIC-KRAUS-V1,44,fresh_cutoff36_40_44_bounded_repair,1801000,0,fault|step|c44|B|p0000,1,False,X,,step,,0,BLAKE2B_ADDRESS_PYTHON_RANDOM_BOX_MULLER,repair_c44_fault_step_B__e07e7eaaa0740c75,1,-1,1,1,710ab3630c9367b195241667c6ed6d419a8a9a72ab26f600a3fe1bf2e5b659b1,-0.0030413386362040467,-0.0015008962847809025,0.9876214725127876,0.011894716362431775,0.00048381112478056946,1.0,3.867651621151526e-23,8.597801449355384e-19,-0.8024548725305078,-0.0006439378497791071,0.0,4.336808689942018e-19,-4.374220221109203,-4.374220221109204,0.6256811716058,1.0,3.867651621151526e-23,8.597801449355384e-19,1.0,3.867651621151526e-23,8.597801449355384e-19,3.588636499549293,False,False,none,,False,8.597801449355384e-19,0,-0.8324090813640065,-0.0009445134912832477,0.06309959378493564,0.0004614459415357391,0.0294395306507094,-21.526625131028343,-2.690828141378543,-2.0842468273326302,-5.169506572361761,-3.0852597450291306,0.004936966357182857,-0.00027119109742012584,-0.0027107931263553155,-0.004274279951658548,0.0009423966435968317,0.8193456943493129,1.3664364941108437e-05,0.0,0.00042383990326640467,-0.00031739612750633644,0.00042383990326640467,0.00031739612750633644,0.8193320299843718,0.0,1.1102230246251565e-16,0.0,-5.535491475238394e-21,,,,0.0,0.0,5.8744624885733325e-33,8.881784197001252e-16,True,,
fault|step|c44|B|p0000|r002,PHASE9-FRESH-TWIN-ROUND-LEDGER-V1,fault,fault|step,ab/c44/fault/step,B,PHASE9-BACKEND-B-DENSE-STRANG-ANALYTIC-KRAUS-V1,44,fresh_cutoff36_40_44_bounded_repair,1801000,0,fault|step|c44|B|p0000,2,False,Z,,step,,0,BLAKE2B_ADDRESS_PYTHON_RANDOM_BOX_MULLER,repair_c44_fault_step_B__e07e7eaaa0740c75,2,-1,2,2,ba2d66937c0504dc0be3c134818489af6a7fb81d8451c3f92249f40981076dc0,-0.0027107931263553155,-0.004274279951658548,0.9881456754397895,0.011370939870943732,0.000483384689266837,1.0,1.0486423192870039e-27,8.871924400392895e-24,-0.9794972184041243,-0.1598179509626868,1.1102230246251565e-16,2.7755575615628914e-17,-9.280965992385688,-9.28096599238569,2.585282888012947,1.0,1.0486423192870039e-27,8.871924400392895e-24,1.0,1.0486423192870039e-27,8.871924400392895e-24,3.5121841167545704,False,False,none,,False,8.871924400392895e-24,0,-0.8329693183598742,-0.0037183875590016853,0.06162153583906706,0.0004615343981158188,0.029438967235203176,-6.721462858012511,-0.8401828572515638,4.158890077930771,3.437479776009933,-0.7214103019208382,0.005658465778236017,0.004842067214860823,0.003928962341834092,-0.001769136714441713,0.0025879400298524486,0.7066773980328013,0.7066333966118052,0.0,0.0008125523446363219,-0.0016054637520540465,0.0008125523446363219,0.0016054637520540465,4.400142099601251e-05,0.0,2.220446049250313e-16,0.0,-6.95058091679433e-17,,,,0.0,0.0,1.1759607029512148e-38,1.7763568394002505e-15,True,,
fault|step|c44|B|p0000|r003,PHASE9-FRESH-TWIN-ROUND-LEDGER-V1,fault,fault|step,ab/c44/fault/step,B,PHASE9-BACKEND-B-DENSE-STRANG-ANALYTIC-KRAUS-V1,44,fresh_cutoff36_40_44_bounded_repair,1801000,0,fault|step|c44|B|p0000,3,False,XZ,,step,,0,BLAKE2B_ADDRESS_PYTHON_RANDOM_BOX_MULLER,repair_c44_fault_step_B__e07e7eaaa0740c75,3,-1,3,3,b1b013019dd61a531343027df2c9b812ffed7104f736722516b75f9b754997bd,0.003928962341834092,-0.001769136714441713,0.9882851517063428,0.011231522556151516,0.0004833257375055502,1.0,3.211542728312847e-21,4.870929238021859e-20,-0.7196335739097701,-0.1288289879224345,0.0,2.7755575615628914e-17,-13.146007371886709,-13.14600737188671,4.4314629383714905,1.0,3.211542728312847e-21,4.870929238021859e-20,1.0,3.211542728312847e-21,4.870929238021859e-20,3.5015229103203507,False,False,none,,False,4.870929238021859e-20,0,-0.8265666224358286,-0.00121331211631033,0.06122788081946029,0.00046160987465893207,0.0294388893468672,-14.759608895249386,-1.8449511119061732,-5.264615357957776,-2.5297936038675024,2.734821754090274,0.005636705942403611,0.009556785782369933,0.009379005778440551,-0.003458466211523652,0.00706962107749522,0.4029965955843036,0.00039221459298928685,0.0,0.0014067633454000748,-0.005745137736568406,0.0014067633454000748,0.005745137736568406,0.4026043809913143,0.0,0.0,0.0,-2.4037175724366406e-17,,,,0.0,0.0,8.275480229788904e-35,1.7763568394002505e-15,True,,
fault|step|c44|B|p0000|r004,PHASE9-FRESH-TWIN-ROUND-LEDGER-V1,fault,fault|step,ab/c44/fault/step,B,PHASE9-BACKEND-B-DENSE-STRANG-ANALYTIC-KRAUS-V1,44,fresh_cutoff36_40_44_bounded_repair,1801000,0,fault|step|c44|B|p0000,4,False,IDLE,,step,,0,BLAKE2B_ADDRESS_PYTHON_RANDOM_BOX_MULLER,repair_c44_fault_step_B__e07e7eaaa0740c75,4,-1,4,4,1597f3155c8cadbdb9d8a3287974d2e3ffe970ce4037476ca583b50abc13ac4f,0.10937900577844056,-0.06345846621152365,0.9887810556748796,0.010736156935651164,0.00048278738946932423,1.0,2.135159646732565e-24,6.768387120487788e-18,-0.7373519226728564,0.024127898210996562,1.1102230246251565e-16,6.938893903907228e-18,-9.699648655508646,-9.699648655508648,3.039200644875955,1.0,2.135159646732565e-24,6.768387120487788e-18,1.0,2.135159646732565e-24,6.768387120487788e-18,3.4170256113136785,False,False,none,,False,6.768387120487788e-18,0,-0.7219591581499035,-0.06290326071363393,0.05982804330735809,0.0004615635192185643,0.029438178069428292,-14.598668439506135,-1.8248335549382668,5.075124893756586,4.248174239003394,-0.8269506547531922,0.07541046181766811,-0.028556293198177568,0.11053289222987753,-0.06120358415500445,0.04647568234372601,0.40564884923002,0.4048598430035885,0.0,-0.0028567430856847676,-0.009122072147110086,-0.0028567430856847676,0.009122072147110086,0.0007890062264314923,0.0,2.220446049250313e-16,0.0,-1.3381573946247647e-16,,,,0.0,0.0,6.08594137932855e-32,1.7763568394002505e-15,True,,
fault|step|c44|B|p0000|r005,PHASE9-FRESH-TWIN-ROUND-LEDGER-V1,fault,fault|step,ab/c44/fault/step,B,PHASE9-BACKEND-B-DENSE-STRANG-ANALYTIC-KRAUS-V1,44,fresh_cutoff36_40_44_bounded_repair,1801000,0,fault|step|c44|B|p0000,5,False,X,,step,,0,BLAKE2B_ADDRESS_PYTHON_RANDOM_BOX_MULLER,repair_c44_fault_step_B__e07e7eaaa0740c75,5,-1,5,5,0a1c55ac87e471a7a2e2009feb65f78b2e24a031baf3a4c8ccb07bcda224c665,0.11053289222987753,-0.06120358415500445,0.9889224548333888,0.01059483388062333,0.0004827112859878969,1.0,5.4437564848599334e-21,3.036015078691319e-20,-0.6030899100761069,-0.20740121936130346,0.0,2.7755575615628914e-17,-8.025445387489732,-8.02544538748973,2.00947022604365,1.0,5.4437564848599334e-21,3.036015078691319e-20,1.0,5.4437564848599334e-21,3.036015078691319e-20,3.398243849108149,False,False,none,,False,3.036015078691319e-20,0,-0.7210455855799732,-0.06064846617611837,0.059428476339325506,0.0004616241638869684,0.02943807751974851,-13.194497646874247,-1.6493122058592808,-6.70235149329321,-2.1876602902872992,4.514691203005911,0.07881679177185598,-0.029099136044241827,0.11102004697646722,-0.05836293789678317,0.04674027617935924,0.2816402352605926,0.00479585308763232,0.0,0.010424340912787083,0.024872997692348166,0.010424340912787083,-0.024872997692348166,0.2768443821729603,0.0,0.0,0.0,-3.0286745103791966e-17,,,,0.0,0.0,4.363435030252331e-35,1.7763568394002505e-15,True,,
fault|step|c44|B|p0000|r006,PHASE9-FRESH-TWIN-ROUND-LEDGER-V1,fault,fault|step,ab/c44/fault/step,B,PHASE9-BACKEND-B-DENSE-STRANG-ANALYTIC-KRAUS-V1,44,fresh_cutoff36_40_44_bounded_repair,1801000,0,fault|step|c44|B|p0000,6,False,Z,,step,,0,BLAKE2B_ADDRESS_PYTHON_RANDOM_BOX_MULLER,repair_c44_fault_step_B__e07e7eaaa0740c75,6,-1,6,6,1d802d34855feedca65a053c30dbaae5e5d39413099c44f5f3b1b053bb8af557,0.11102004697646722,-0.05836293789678317,0.9891378087838901,0.010379661507212673,0.0004825297088972412,1.0,8.387411125258383e-27,2.326274644115796e-20,-0.8289794294943429,-0.04389232819769384,0.0,6.938893903907228e-18,-5.700513235607147,-5.700513235607148,1.1915473004727481,1.0,8.387411125258383e-27,2.326274644115796e-20,1.0,8.387411125258383e-27,2.326274644115796e-20,3.36545863992756,False,False,none,,False,2.326274644115796e-20,0,-0.7209243782087087,-0.057808028731551345,0.05881984568862916,0.00046165358649877844,0.029437837615834943,-13.584969175465277,-1.6981211469331596,-3.552892318677709,-1.2865437681316085,2.2663485505461,0.08054089788673788,-0.027155239325337675,0.11184150857478989,-0.05871095969789623,0.04701097160966903,0.23376972661285625,0.230205390735791,0.0,-0.01043331814692909,0.017478703978197813,-0.01043331814692909,-0.017478703978197813,0.0035643358770652864,0.0,2.220446049250313e-16,0.0,-5.147056130694093e-17,,,,0.0,0.0,7.824095564819805e-35,8.881784197001252e-16,True,,
fault|step|c44|B|p0000|r007,PHASE9-FRESH-TWIN-ROUND-LEDGER-V1,fault,fault|step,ab/c44/fault/step,B,PHASE9-BACKEND-B-DENSE-STRANG-ANALYTIC-KRAUS-V1,44,fresh_cutoff36_40_44_bounded_repair,1801000,0,fault|step|c44|B|p0000,7,False,XZ,,step,,0,BLAKE2B_ADDRESS_PYTHON_RANDOM_BOX_MULLER,repair_c44_fault_step_B__e07e7eaaa0740c75,7,-1,7,7,d96cda0cfbd4e06b41e4f181ea5d9b6564c0aec1de67bea2f9dabf34f98202c8,0.11184150857478989,-0.05871095969789623,0.988840691277115,0.010676468285548357,0.00048284043733656297,1.0,1.7460633195250603e-30,9.86844636001289e-24,-0.9722531386000526,-0.13222814112547465,0.0,0.0,-7.977387383530926,-7.977387383530926,1.8254262678762414,1.0,1.7460633195250603e-30,9.86844636001289e-24,1.0,1.7460633195250603e-30,9.86844636001289e-24,3.4344540678827515,False,False,none,,False,9.86844636001289e-24,0,-0.7195980809680418,-0.058155693194959175,0.05965935672487185,0.00046167055328886217,0.02943824815748832,-16.377851814667387,-2.0472314768334234,7.212045733586316,4.300475885216522,-2.911569848369794,0.08236126496578601,-0.02402902141514422,0.11532572442636417,-0.06120422077217825,0.0483527341884566,0.14639559982293873,0.005617305413567849,0.0,-0.017793395468274548,-0.014154703427029939,-0.017793395468274548,0.014154703427029939,0.1407782944093709,0.0,0.0,0.0,-1.6232498436292198e-16,,,,0.0,0.0,3.085673721882353e-38,0.0,True,,
fault|step|c44|B|p0000|r008,PHASE9-FRESH-TWIN-ROUND-LEDGER-V1,fault,fault|step,ab/c44/fault/step,B,PHASE9-BACKEND-B-DENSE-STRANG-ANALYTIC-KRAUS-V1,44,fresh_cutoff36_40_44_bounded_repair,1801000,0,fault|step|c44|B|p0000,8,False,IDLE,,step,,0,BLAKE2B_ADDRESS_PYTHON_RANDOM_BOX_MULLER,repair_c44_fault_step_B__e07e7eaaa0740c75,8,-1,8,8,fc00e470ad81c41941337e920ce17632945b6b409861e1bf9ec9a4f9d3b95111,0.11532572442636417,-0.06120422077217825,0.9892808154409254,0.010236814207775167,0.0004823703512995473,1.0,3.3559116105661854e-28,4.827959619591506e-20,-0.8789632966317993,0.01169097747918729,0.0,0.0,-10.498642728214593,-10.498642728214593,3.2600021692421084,1.0,3.3559116105661854e-28,4.827959619591506e-20,1.0,3.3559116105661854e-28,4.827959619591506e-20,3.3526321634884177,False,False,none,,False,4.827959619591506e-20,0,-0.7168616766218135,-0.06064949486818378,0.05841561695786569,0.00046163590833926655,0.02943762706876509,-17.12494324304217,-2.1406179053802714,-0.5799493244384957,-5.069950562780724,-4.490001238342228,0.08224099866461315,-0.02378354491123488,0.11374054849812817,-0.0626933950712167,0.046073006303836886,0.16117343733708417,0.15417195257584282,0.0,0.02179098719785897,-0.013724690214869283,0.02179098719785897,0.013724690214869283,0.0070014847612413465,0.0,0.0,0.0,-3.651116732703791e-17,,,,0.0,0.0,2.1064858990943146e-34,0.0,True,,
fault|step|c44|B|p0000|r009,PHASE9-FRESH-TWIN-ROUND-LEDGER-V1,fault,fault|step,ab/c44/fault/step,B,PHASE9-BACKEND-B-DENSE-STRANG-ANALYTIC-KRAUS-V1,44,fresh_cutoff36_40_44_bounded_repair,1801000,0,fault|step|c44|B|p0000,9,False,X,,step,,0,BLAKE2B_ADDRESS_PYTHON_RANDOM_BOX_MULLER,repair_c44_fault_step_B__e07e7eaaa0740c75,9,-1,9,9,613e4be318e25e91db91ed391ed762a83652d39d5b0fd55e3ff423ffbd87c28a,0.11374054849812817,-0.0626933950712167,0.9891680774202428,0.010349413956146929,0.00048250862361018084,1.0,3.260245526906591e-29,9.362102475886732e-26,-0.9202341854068112,-0.2898788067491551,0.0,0.0,-15.53656154932396,-15.536561549323961,5.1068075866959335,1.0,3.260245526906591e-29,9.362102475886732e-26,1.0,3.260245526906591e-29,9.362102475886732e-26,3.381551369831429,False,False,none,,False,9.362102475886732e-26,0,-0.7182553154463533,-0.062138510154064984,0.058734269898717356,0.00046166195603539726,0.029437809757453182,-12.55608210260242,-1.5695102628253026,-6.492553196800692,-3.1193825971299995,3.373170599670692,0.0831570537657964,-0.022022420001006737,0.11700131551032684,-0.061289213523028935,0.04582335820521692,0.12547163739388031,0.018044264671525288,0.0,0.0363060162042826,0.005960610419659997,0.0363060162042826,-0.005960610419659997,0.10742737272235502,0.0,3.3306690738754696e-16,0.0,-1.059150368297637e-16,,,,0.0,0.0,2.526877442809083e-40,1.7763568394002505e-15,True,,
