row_id,row_schema,layer,cell_base,cell_id,backend,backend_id,cutoff,convergence_role,seed,seed_position,trajectory_id,round_index,terminal_round,action,probe_id,scenario,initial_state,logical_label,rng_namespace,archive_chunk,archive_row_index,density_index,raw_iq_index,heldout_iq_index,heldout_window_sha256,pre_readout_i,pre_readout_q,pre_measurement_g,pre_measurement_e,pre_measurement_f,pre_reset_g,pre_reset_e,pre_reset_f,integrated_i,integrated_q,integrated_i_mean_error,integrated_q_mean_error,raw_log_evidence,raw_reference_log_evidence,raw_within_window_residual,posterior_g,posterior_e,posterior_f,level_g,level_e,level_f,mean_photon,reset_requested,reset_hidden_success,reset_ack,rao_blackwell_reset_success,leakage_resident,leakage_residence_probability,leakage_age,predictive_mean_i,predictive_mean_q,predictive_cov_ii,predictive_cov_iq,predictive_cov_qq,heldout_reference_log_evidence,heldout_proper_score_per_sample,heldout_llr_ge_per_sample,heldout_llr_gf_per_sample,heldout_llr_ef_per_sample,drift_0,drift_1,drift_2,drift_3,drift_4,logical_survival,logical_block_00_real,logical_block_00_imag,logical_block_01_real,logical_block_01_imag,logical_block_10_real,logical_block_10_imag,logical_block_11_real,logical_block_11_imag,density_trace_error,density_hermiticity_frobenius,density_minimum_eigenvalue,density_quantization_frobenius_error,density_quantization_certified_frobenius_bound,density_quantization_trace_distance_bound,posterior_normalization_error,level_normalization_error,reference_posterior_l1_error,reference_log_evidence_error,conservation_pass,exception_type,exception_message
fault|telegraph|c44|B|p0000|r000,PHASE9-FRESH-TWIN-ROUND-LEDGER-V1,fault,fault|telegraph,ab/c44/fault/telegraph,B,PHASE9-BACKEND-B-DENSE-STRANG-ANALYTIC-KRAUS-V1,44,fresh_cutoff36_40_44_bounded_repair,1801000,0,fault|telegraph|c44|B|p0000,0,False,X,,telegraph,,0,BLAKE2B_ADDRESS_PYTHON_RANDOM_BOX_MULLER,repair_c44_fault_telegraph_B__57ca83004f408826,0,-1,0,0,493469c2752a545cefc038320ce4d3d7632b243d9b4a54ec8ad3b1a733ce743d,-0.08,0.05,0.9869323249557668,0.012583339335753438,0.0004843357084798454,1.0,5.1013163629188964e-30,4.9397524855967436e-21,-1.148748117265812,0.12067736860532674,0.0,0.0,-8.415662300337367,-8.415662300337369,2.0853655956250123,1.0,5.1013163629188964e-30,4.9397524855967436e-21,1.0,5.1013163629188964e-30,4.9397524855967436e-21,3.685665406396262,False,False,none,,False,4.9397524855967436e-21,0,-0.9081966377770113,0.05055698606475183,0.06504039662547728,0.00046129398611610776,0.029440223740988265,-22.942203939557867,-2.8677754924447334,-8.820578930234904,-4.7656338333003605,4.054945096934542,0.054201818110714665,0.027897612201149856,-0.08060133863620406,0.047199103715219105,0.0307422754428865,0.8567751020296027,8.133284085313713e-06,0.0,0.0012226812420649581,0.00020913398218784667,0.0012226812420649581,-0.00020913398218784667,0.8567669687455174,0.0,0.0,0.0,-7.400433012243605e-20,,,,0.0,0.0,5.266214709200079e-36,1.7763568394002505e-15,True,,
fault|telegraph|c44|B|p0000|r001,PHASE9-FRESH-TWIN-ROUND-LEDGER-V1,fault,fault|telegraph,ab/c44/fault/telegraph,B,PHASE9-BACKEND-B-DENSE-STRANG-ANALYTIC-KRAUS-V1,44,fresh_cutoff36_40_44_bounded_repair,1801000,0,fault|telegraph|c44|B|p0000,1,False,Z,,telegraph,,0,BLAKE2B_ADDRESS_PYTHON_RANDOM_BOX_MULLER,repair_c44_fault_telegraph_B__57ca83004f408826,1,-1,1,1,75e7f2ffc2cb8dc69e73cec8c59fa87218bb76590cb6cce193da3e469b62fa81,-0.08060133863620406,0.047199103715219105,0.9875714284968556,0.011944742947173433,0.00048382855597096285,1.0,3.884114933936545e-23,8.598546917954624e-19,-0.8800148725305077,0.0480560621502209,0.0,0.0,-4.374270893644446,-4.374270893644446,0.6256811716058001,1.0,3.884114933936545e-23,8.598546917954624e-19,1.0,3.884114933936545e-23,8.598546917954624e-19,3.5979768748006578,False,False,none,,False,8.598546917954624e-19,0,-0.9098840213534338,0.047755506554585714,0.06324066601362527,0.0004614152393014238,0.02943955368115194,-12.795441912726979,-1.5994302390908723,-6.699520330162403,-2.4558157304017456,4.243704599760657,0.05341071635718286,0.03133555890257987,-0.07965031312635533,0.04403612004834146,0.030631146643596827,0.7543924977320958,0.7543774507174246,0.0,-0.0004878642645292852,-0.00020358634567534107,-0.0004878642645292852,0.00020358634567534107,1.5047014671173454e-05,0.0,0.0,0.0,-3.1567474182433863e-20,,,,0.0,0.0,1.001504142232502e-32,0.0,True,,
fault|telegraph|c44|B|p0000|r002,PHASE9-FRESH-TWIN-ROUND-LEDGER-V1,fault,fault|telegraph,ab/c44/fault/telegraph,B,PHASE9-BACKEND-B-DENSE-STRANG-ANALYTIC-KRAUS-V1,44,fresh_cutoff36_40_44_bounded_repair,1801000,0,fault|telegraph|c44|B|p0000,2,False,IDLE,,telegraph,,0,BLAKE2B_ADDRESS_PYTHON_RANDOM_BOX_MULLER,repair_c44_fault_telegraph_B__57ca83004f408826,2,-1,2,2,bd0f41fc564202e5b35da436aba2fe3c858ee413f7738d28c38caaf7e72487e8,-0.07965031312635533,0.04403612004834146,0.9881613831988746,0.011355308154714493,0.0004833086464108565,1.0,1.0471840965889572e-27,8.870387722968969e-24,-1.0564367384041242,-0.1115075509626868,0.0,0.0,-9.280950096314259,-9.28095009631426,2.585282888012947,1.0,1.0471840965889572e-27,8.870387722968969e-24,1.0,1.0471840965889572e-27,8.870387722968969e-24,3.5096595337649137,False,False,none,,False,8.870387722968969e-24,0,-0.9099354769138913,0.044591924991713945,0.06157735629727245,0.00046147659844194584,0.02943886676574328,-19.388125851821652,-2.4235157314777065,-0.851422807327257,-4.345851143551166,-3.4944283362239092,0.05340510952823602,0.03347471596486082,-0.07419504149816593,0.047054780085558294,0.03033447127985244,0.7130438985834409,0.7129901470833016,0.0,-0.0011711096638307781,0.001089291753515396,-0.0011711096638307781,-0.001089291753515396,5.375150013925126e-05,0.0,2.220446049250313e-16,0.0,-2.4578485609960097e-17,,,,0.0,0.0,2.0578505153730808e-38,1.7763568394002505e-15,True,,
fault|telegraph|c44|B|p0000|r003,PHASE9-FRESH-TWIN-ROUND-LEDGER-V1,fault,fault|telegraph,ab/c44/fault/telegraph,B,PHASE9-BACKEND-B-DENSE-STRANG-ANALYTIC-KRAUS-V1,44,fresh_cutoff36_40_44_bounded_repair,1801000,0,fault|telegraph|c44|B|p0000,3,False,X,,telegraph,,0,BLAKE2B_ADDRESS_PYTHON_RANDOM_BOX_MULLER,repair_c44_fault_telegraph_B__57ca83004f408826,3,-1,3,3,9600054d6d778de4aeee213673a6c4e3f3dad8c1ab763c94f85ef6d666a9ced4,0.005804958501834073,-0.0029452199144417088,0.9884648604986653,0.01105201316718909,0.0004831263341455914,1.0,3.1596392492864913e-21,4.86803446376286e-20,-0.7177575777497701,-0.1300050711224345,0.0,0.0,-13.145825549408693,-13.145825549408695,4.4314629383714905,1.0,3.1596392492864913e-21,4.86803446376286e-20,1.0,3.1596392492864913e-21,4.86803446376286e-20,3.4675629689000145,False,False,none,,False,4.86803446376286e-20,0,-0.8249959617299207,-0.0023896246301742786,0.060720772165649216,0.0004615890734458043,0.029438625890787645,-11.323652058928728,-1.415456507366091,6.780816491438128,5.000833917914297,-1.7799825735238315,0.0034171500361536086,0.005709944801119929,0.009439993969160534,-0.0037251407459236484,0.0036724890462452144,0.5081960260460181,0.0006881946452525996,0.0,-0.002112167647494261,0.009520077163475946,-0.002112167647494261,-0.009520077163475946,0.5075078314007655,0.0,2.220446049250313e-16,0.0,-1.1873419653381877e-19,,,,0.0,0.0,2.783570622747177e-35,1.7763568394002505e-15,True,,
fault|telegraph|c44|B|p0000|r004,PHASE9-FRESH-TWIN-ROUND-LEDGER-V1,fault,fault|telegraph,ab/c44/fault/telegraph,B,PHASE9-BACKEND-B-DENSE-STRANG-ANALYTIC-KRAUS-V1,44,fresh_cutoff36_40_44_bounded_repair,1801000,0,fault|telegraph|c44|B|p0000,4,False,Z,,telegraph,,0,BLAKE2B_ADDRESS_PYTHON_RANDOM_BOX_MULLER,repair_c44_fault_telegraph_B__57ca83004f408826,4,-1,4,4,0474f16577b9354a31e24853f5dd2c5c36dcc6f3ec80f4f0130f764e6f2d7f2b,0.009439993969160534,-0.0037251407459236484,0.9887936841260563,0.01072346573159794,0.00048285014234573215,1.0,2.132608438805098e-24,6.76918042366116e-18,-0.8372909344821367,0.08386122367659656,0.0,1.3877787807814457e-17,-9.699635883853626,-9.699635883853627,3.039200644875955,1.0,2.132608438805098e-24,6.76918042366116e-18,1.0,2.132608438805098e-24,6.76918042366116e-18,3.4176569467993625,False,False,none,,False,6.76918042366116e-18,0,-0.821919691666129,-0.003169863082226056,0.05979221387254761,0.0004616354639319281,0.02943826097996843,-11.961656344939643,-1.4952070431174553,4.857686358815474,4.130508706715691,-0.7271776520997832,0.004274199250011867,0.00955456843529118,0.013193392515071727,-0.002848125293129244,0.005363478613257253,0.40052412749262395,0.3995170175530043,0.0,0.0021683203447384553,0.011338468520790457,0.0021683203447384553,-0.011338468520790457,0.0010071099396197001,0.0,1.1102230246251565e-16,0.0,-3.1729736661116794e-17,,,,0.0,0.0,3.3125998716880303e-32,1.7763568394002505e-15,True,,
fault|telegraph|c44|B|p0000|r005,PHASE9-FRESH-TWIN-ROUND-LEDGER-V1,fault,fault|telegraph,ab/c44/fault/telegraph,B,PHASE9-BACKEND-B-DENSE-STRANG-ANALYTIC-KRAUS-V1,44,fresh_cutoff36_40_44_bounded_repair,1801000,0,fault|telegraph|c44|B|p0000,5,False,IDLE,,telegraph,,0,BLAKE2B_ADDRESS_PYTHON_RANDOM_BOX_MULLER,repair_c44_fault_telegraph_B__57ca83004f408826,5,-1,5,5,7fac0aff6fba979cc0f2557da1cb7f25c39d6a5ec1bf8f57234bf370c83bab33,0.013193392515071727,-0.002848125293129244,0.9892081577489992,0.010309387380063319,0.00048245487093757016,1.0,5.295560643151859e-21,3.033525959411099e-20,-0.7004294097909127,-0.14904576049942825,0.0,0.0,-8.02515652595978,-8.02515652595978,2.00947022604365,1.0,5.295560643151859e-21,3.033525959411099e-20,1.0,5.295560643151859e-21,3.033525959411099e-20,3.345430733863168,False,False,none,,False,3.033525959411099e-20,0,-0.8188705622985237,-0.0022933021915510386,0.05862100145570663,0.000461648304121107,0.02943773873814089,-10.355443475595074,-1.2944304344493842,6.5931248421740705,3.7259128281159004,-2.86721201405817,0.006247573142714583,0.00844006266472489,0.01265926325937987,0.0004256772941970289,0.005455877542152199,0.38362668853284304,0.38197195380051463,0.0,-0.0015765575479125273,-0.014744930851820397,-0.0015765575479125273,0.014744930851820397,0.0016547347323283969,0.0,2.220446049250313e-16,0.0,-4.142574642626485e-18,,,,0.0,0.0,5.288784183219636e-34,0.0,True,,
fault|telegraph|c44|B|p0000|r006,PHASE9-FRESH-TWIN-ROUND-LEDGER-V1,fault,fault|telegraph,ab/c44/fault/telegraph,B,PHASE9-BACKEND-B-DENSE-STRANG-ANALYTIC-KRAUS-V1,44,fresh_cutoff36_40_44_bounded_repair,1801000,0,fault|telegraph|c44|B|p0000,6,False,X,,telegraph,,0,BLAKE2B_ADDRESS_PYTHON_RANDOM_BOX_MULLER,repair_c44_fault_telegraph_B__57ca83004f408826,6,-1,6,6,845df0a9c206bbfc92c5156876b6bb3f36e133b2256a6f3971f5a4f4f5e8ca9d,-0.06734073674062013,0.05042567729419703,0.9892637604164459,0.010253813139997525,0.00048242644355661884,1.0,8.284662903131603e-27,2.3254806875984604e-20,-1.0073402132114302,0.06489628699328637,0.0,1.3877787807814457e-17,-5.700385908946386,-5.700385908946386,1.1915473004727481,1.0,8.284662903131603e-27,2.3254806875984604e-20,1.0,8.284662903131603e-27,2.3254806875984604e-20,3.3416583495959373,False,False,none,,False,2.3254806875984604e-20,0,-0.8994991919256012,0.05098046770428715,0.05846375235867617,0.0004616735306120295,0.0294377011792045,-16.647295446070128,-2.080911930758766,-5.787585167503199,-2.356470818500049,3.4311143490031504,0.06081021753703361,0.03687087140299454,-0.06509238887256076,0.049207346571556135,0.036008682938392156,0.2553829569044731,0.008435104048506854,0.0,0.018922763673899164,0.02919380913491291,0.018922763673899164,-0.02919380913491291,0.24694785285596624,0.0,0.0,0.0,-1.423677305409921e-19,,,,0.0,0.0,1.4745404724038843e-34,0.0,True,,
fault|telegraph|c44|B|p0000|r007,PHASE9-FRESH-TWIN-ROUND-LEDGER-V1,fault,fault|telegraph,ab/c44/fault/telegraph,B,PHASE9-BACKEND-B-DENSE-STRANG-ANALYTIC-KRAUS-V1,44,fresh_cutoff36_40_44_bounded_repair,1801000,0,fault|telegraph|c44|B|p0000,7,False,Z,,telegraph,,0,BLAKE2B_ADDRESS_PYTHON_RANDOM_BOX_MULLER,repair_c44_fault_telegraph_B__57ca83004f408826,7,-1,7,7,f70965c1cf55909edd75fdb7fdedb53d582c9c4e84d4c44f18eecb7aa4827dff,-0.06509238887256076,0.049207346571556135,0.9894374712161563,0.010080250990678115,0.0004822777931655139,1.0,1.6475617335928633e-30,9.851001634818963e-24,-1.1491870360474032,-0.02430983485602229,0.0,6.938893903907228e-18,-7.976784050826296,-7.976784050826296,1.8254262678762414,1.0,1.6475617335928633e-30,9.851001634818963e-24,1.0,1.6475617335928633e-30,9.851001634818963e-24,3.315695214113719,False,False,none,,False,9.851001634818963e-24,0,-0.8975460260642172,0.049761966033696474,0.05797249622081982,0.000461694988516007,0.029437504778713607,-19.14487765632017,-2.393109707040021,-8.391526288342236,-3.177419434730898,5.214106853611338,0.060426544821327303,0.03903669765226301,-0.061992701841407684,0.046750739047118496,0.03642550273396165,0.21258021402876076,0.20617445867891532,0.0,-0.0183496489023987,0.019242419210312826,-0.0183496489023987,-0.019242419210312826,0.006405755349845437,0.0,2.220446049250313e-16,0.0,-2.235080197063266e-18,,,,0.0,0.0,4.2611685281266414e-38,0.0,True,,
fault|telegraph|c44|B|p0000|r008,PHASE9-FRESH-TWIN-ROUND-LEDGER-V1,fault,fault|telegraph,ab/c44/fault/telegraph,B,PHASE9-BACKEND-B-DENSE-STRANG-ANALYTIC-KRAUS-V1,44,fresh_cutoff36_40_44_bounded_repair,1801000,0,fault|telegraph|c44|B|p0000,8,False,IDLE,,telegraph,,0,BLAKE2B_ADDRESS_PYTHON_RANDOM_BOX_MULLER,repair_c44_fault_telegraph_B__57ca83004f408826,8,-1,8,8,7d247670e6478fb43415f85aab24c57ed200c33c5ff67fb18380fde01c8eebd9,-0.061992701841407684,0.046750739047118496,0.989779709789453,0.009738353003480608,0.0004819372070664513,1.0,3.1908930357445685e-28,4.821193027685454e-20,-1.0562817228995711,0.11964593729848404,0.0,0.0,-10.498138555297459,-10.498138555297459,3.260002169242108,1.0,3.1908930357445685e-28,4.821193027685454e-20,1.0,3.1908930357445685e-28,4.821193027685454e-20,3.2502359823087947,False,False,none,,False,4.821193027685454e-20,0,-0.8950278551094841,0.04730496683524492,0.05700423378752681,0.0004616912304273184,0.02943705478790425,-13.271659755657934,-1.6589574694572418,-5.239550059238804,-1.3895653129476262,3.849984746291178,0.060635299322321326,0.03833618837016124,-0.06215933035950152,0.044397925069525675,0.03444395563570431,0.21198544708846534,0.20380601073867433,0.0,0.0221309953091297,-0.018400987646631867,0.0221309953091297,0.018400987646631867,0.008179436349791003,0.0,1.1102230246251565e-16,0.0,-4.108455113568727e-19,,,,0.0,0.0,2.106485920618259e-34,0.0,True,,
fault|telegraph|c44|B|p0000|r009,PHASE9-FRESH-TWIN-ROUND-LEDGER-V1,fault,fault|telegraph,ab/c44/fault/telegraph,B,PHASE9-BACKEND-B-DENSE-STRANG-ANALYTIC-KRAUS-V1,44,fresh_cutoff36_40_44_bounded_repair,1801000,0,fault|telegraph|c44|B|p0000,9,False,X,,telegraph,,0,BLAKE2B_ADDRESS_PYTHON_RANDOM_BOX_MULLER,repair_c44_fault_telegraph_B__57ca83004f408826,9,-1,9,9,4bcb05d51cdef9bd7471d3e78c0e0540f4616f47aabf678593ddbaafab7f5e2d,0.017840669640498484,-0.005602074930474328,0.9896669513079994,0.009850951156762627,0.0004820975352379352,1.0,3.101656789657309e-29,9.349410886516328e-26,-1.016134064264441,-0.2327874866084128,0.0,5.551115123125783e-17,-15.536057339633832,-15.536057339633832,5.1068075866959335,1.0,3.101656789657309e-29,9.349410886516328e-26,1.0,3.101656789657309e-29,9.349410886516328e-26,3.278743167096172,False,False,none,,False,9.349410886516328e-26,0,-0.8150029304880528,-0.005047662764950702,0.057323222255704354,0.0004617386238897625,0.02943726661750289,-14.30045018222927,-1.7875562727786587,-4.609634362375228,-2.1813053966417146,2.428328965733513,0.01262543991363894,0.009615517281168445,0.021868635683558194,-0.004654623943412498,0.0052350338037876615,0.15571192817310242,0.020762325419376632,0.0,0.040406065167188615,0.010770406579184964,0.040406065167188615,-0.010770406579184964,0.13494960275372578,0.0,0.0,0.0,-6.297489968853667e-17,,,,0.0,0.0,9.643063408220515e-40,0.0,True,,
